Date Time, Prediction, Type
2017-11-01 01:58,1.858,H
2017-11-01 07:12,0.748,L
2017-11-01 14:03,2.445,H
2017-11-01 20:09,0.466,L
2017-11-02 02:58,2.045,H
2017-11-02 07:58,0.873,L
2017-11-02 14:31,2.482,H
2017-11-02 20:41,0.161,L
2017-11-03 03:52,2.232,H
2017-11-03 08:43,1.022,L
2017-11-03 15:01,2.516,H
2017-11-03 21:17,-0.127,L
2017-11-04 04:45,2.397,H
2017-11-04 09:29,1.186,L
2017-11-04 15:33,2.532,H
2017-11-04 21:57,-0.362,L
2017-11-05 05:39,2.525,H
2017-11-05 10:16,1.352,L
2017-11-05 16:08,2.519,H
2017-11-05 22:40,-0.515,L
2017-11-06 06:34,2.608,H
2017-11-06 11:08,1.500,L
2017-11-06 16:46,2.466,H
2017-11-06 23:26,-0.567,L
2017-11-07 07:31,2.647,H
2017-11-07 12:06,1.613,L
2017-11-07 17:29,2.366,H
2017-11-08 00:15,-0.515,L
2017-11-08 08:30,2.653,H
2017-11-08 13:14,1.667,L
2017-11-08 18:19,2.214,H
2017-11-09 01:08,-0.370,L
2017-11-09 09:31,2.642,H
2017-11-09 14:42,1.633,L
2017-11-09 19:20,2.024,H
2017-11-10 02:06,-0.155,L
2017-11-10 10:32,2.628,H
2017-11-10 16:35,1.480,L
2017-11-10 20:37,1.825,H
2017-11-11 03:09,0.099,L
2017-11-11 11:28,2.616,H
2017-11-11 17:56,1.237,L
2017-11-11 22:11,1.679,H
2017-11-12 04:15,0.363,L
2017-11-12 12:18,2.605,H
2017-11-12 18:48,0.966,L
2017-11-13 00:03,1.665,H
2017-11-13 05:22,0.612,L
2017-11-13 12:59,2.586,H
2017-11-13 19:27,0.700,L
2017-11-14 01:40,1.796,H
2017-11-14 06:24,0.842,L
2017-11-14 13:34,2.555,H
2017-11-14 19:59,0.455,L
2017-11-15 02:51,1.985,H
2017-11-15 07:20,1.052,L
2017-11-15 14:04,2.513,H
2017-11-15 20:27,0.244,L
2017-11-16 03:49,2.168,H
2017-11-16 08:10,1.241,L
2017-11-16 14:29,2.465,H
2017-11-16 20:54,0.069,L
2017-11-17 04:38,2.321,H
2017-11-17 08:56,1.405,L
2017-11-17 14:52,2.417,H
2017-11-17 21:22,-0.067,L
2017-11-18 05:23,2.437,H
2017-11-18 09:41,1.541,L
2017-11-18 15:15,2.366,H
2017-11-18 21:52,-0.159,L
2017-11-19 06:04,2.517,H
2017-11-19 10:26,1.646,L
2017-11-19 15:40,2.307,H
2017-11-19 22:25,-0.206,L
2017-11-20 06:44,2.566,H
2017-11-20 11:14,1.720,L
2017-11-20 16:09,2.233,H
2017-11-20 22:59,-0.207,L
2017-11-21 07:22,2.588,H
2017-11-21 12:07,1.763,L
2017-11-21 16:40,2.140,H
2017-11-21 23:36,-0.164,L
2017-11-22 08:02,2.590,H
2017-11-22 13:12,1.769,L
2017-11-22 17:15,2.029,H
2017-11-23 00:16,-0.080,L
2017-11-23 08:42,2.578,H
2017-11-23 14:54,1.726,L
2017-11-23 17:55,1.900,H
2017-11-24 00:58,0.038,L
2017-11-24 09:23,2.559,H
2017-11-24 17:00,1.610,L
2017-11-24 18:47,1.758,H
2017-11-25 01:44,0.187,L
2017-11-25 10:05,2.540,H
2017-11-25 17:48,1.459,L
2017-11-25 19:59,1.615,H
2017-11-26 02:34,0.359,L
2017-11-26 10:44,2.526,H
2017-11-26 18:11,1.280,L
2017-11-26 21:25,1.511,H
2017-11-27 03:30,0.548,L
2017-11-27 11:21,2.520,H
2017-11-27 18:22,1.059,L
2017-11-27 23:02,1.495,H
2017-11-28 04:30,0.745,L
2017-11-28 11:56,2.527,H
2017-11-28 18:40,0.785,L
2017-11-29 00:42,1.610,H
2017-11-29 05:30,0.939,L
2017-11-29 12:29,2.547,H
2017-11-29 19:06,0.467,L
2017-11-30 02:05,1.830,H
2017-11-30 06:27,1.125,L
2017-11-30 13:01,2.578,H
2017-11-30 19:38,0.127,L
