Date Time, Prediction, Type
2017-10-01 06:50,0.416,L
2017-10-01 14:36,2.234,H
2017-10-01 20:22,1.433,L
2017-10-02 01:06,1.804,H
2017-10-02 07:37,0.407,L
2017-10-02 14:58,2.256,H
2017-10-02 20:41,1.238,L
2017-10-03 02:06,1.904,H
2017-10-03 08:20,0.425,L
2017-10-03 15:19,2.283,H
2017-10-03 21:06,0.996,L
2017-10-04 03:00,2.013,H
2017-10-04 09:00,0.492,L
2017-10-04 15:43,2.315,H
2017-10-04 21:35,0.717,L
2017-10-05 03:52,2.119,H
2017-10-05 09:40,0.612,L
2017-10-05 16:09,2.345,H
2017-10-05 22:10,0.425,L
2017-10-06 04:44,2.207,H
2017-10-06 10:21,0.789,L
2017-10-06 16:38,2.366,H
2017-10-06 22:48,0.151,L
2017-10-07 05:38,2.271,H
2017-10-07 11:03,1.010,L
2017-10-07 17:09,2.370,H
2017-10-07 23:30,-0.075,L
2017-10-08 06:35,2.307,H
2017-10-08 11:49,1.255,L
2017-10-08 17:43,2.347,H
2017-10-09 00:15,-0.226,L
2017-10-09 07:36,2.318,H
2017-10-09 12:40,1.494,L
2017-10-09 18:21,2.294,H
2017-10-10 01:05,-0.287,L
2017-10-10 08:43,2.311,H
2017-10-10 13:40,1.697,L
2017-10-10 19:03,2.207,H
2017-10-11 02:00,-0.255,L
2017-10-11 09:56,2.308,H
2017-10-11 14:54,1.824,L
2017-10-11 19:54,2.088,H
2017-10-12 03:00,-0.152,L
2017-10-12 11:13,2.329,H
2017-10-12 16:29,1.826,L
2017-10-12 20:59,1.953,H
2017-10-13 04:06,-0.009,L
2017-10-13 12:21,2.372,H
2017-10-13 18:09,1.681,L
2017-10-13 22:20,1.840,H
2017-10-14 05:16,0.143,L
2017-10-14 13:15,2.412,H
2017-10-14 19:15,1.446,L
2017-10-14 23:53,1.801,H
2017-10-15 06:22,0.292,L
2017-10-15 13:59,2.438,H
2017-10-15 20:00,1.179,L
2017-10-16 01:22,1.856,H
2017-10-16 07:21,0.449,L
2017-10-16 14:36,2.440,H
2017-10-16 20:36,0.906,L
2017-10-17 02:35,1.962,H
2017-10-17 08:13,0.624,L
2017-10-17 15:07,2.424,H
2017-10-17 21:09,0.647,L
2017-10-18 03:35,2.074,H
2017-10-18 08:59,0.821,L
2017-10-18 15:33,2.391,H
2017-10-18 21:40,0.415,L
2017-10-19 04:28,2.170,H
2017-10-19 09:42,1.032,L
2017-10-19 15:57,2.349,H
2017-10-19 22:12,0.224,L
2017-10-20 05:17,2.243,H
2017-10-20 10:24,1.245,L
2017-10-20 16:20,2.301,H
2017-10-20 22:45,0.082,L
2017-10-21 06:05,2.297,H
2017-10-21 11:06,1.448,L
2017-10-21 16:44,2.244,H
2017-10-21 23:19,-0.005,L
2017-10-22 06:51,2.330,H
2017-10-22 11:52,1.631,L
2017-10-22 17:11,2.173,H
2017-10-22 23:55,-0.034,L
2017-10-23 07:39,2.344,H
2017-10-23 12:44,1.781,L
2017-10-23 17:40,2.087,H
2017-10-24 00:34,-0.006,L
2017-10-24 08:29,2.340,H
2017-10-24 13:45,1.888,L
2017-10-24 18:13,1.984,H
2017-10-25 01:16,0.070,L
2017-10-25 09:23,2.326,H
2017-10-25 15:13,1.930,L
2017-10-25 18:52,1.869,H
2017-10-26 02:02,0.183,L
2017-10-26 10:23,2.311,H
2017-10-26 17:32,1.869,L
2017-10-26 19:40,1.749,H
2017-10-27 02:54,0.313,L
2017-10-27 11:22,2.306,H
2017-10-27 18:42,1.737,L
2017-10-27 20:46,1.638,H
2017-10-28 03:53,0.442,L
2017-10-28 12:10,2.310,H
2017-10-28 19:18,1.581,L
2017-10-28 22:07,1.566,H
2017-10-29 04:54,0.554,L
2017-10-29 12:48,2.319,H
2017-10-29 19:37,1.396,L
2017-10-29 23:34,1.571,H
2017-10-30 05:54,0.652,L
2017-10-30 13:18,2.335,H
2017-10-30 19:50,1.165,L
2017-10-31 00:57,1.663,H
2017-10-31 06:48,0.751,L
2017-10-31 13:45,2.360,H
2017-10-31 20:09,0.876,L
