Date Time, Prediction, Type
2017-11-01 02:23,1.858,H
2017-11-01 08:01,0.808,L
2017-11-01 14:28,2.445,H
2017-11-01 20:58,0.504,L
2017-11-02 03:23,2.045,H
2017-11-02 08:47,0.942,L
2017-11-02 14:56,2.482,H
2017-11-02 21:30,0.174,L
2017-11-03 04:17,2.232,H
2017-11-03 09:32,1.103,L
2017-11-03 15:26,2.516,H
2017-11-03 22:06,-0.137,L
2017-11-04 05:10,2.397,H
2017-11-04 10:18,1.281,L
2017-11-04 15:58,2.532,H
2017-11-04 22:46,-0.390,L
2017-11-05 06:04,2.525,H
2017-11-05 11:05,1.459,L
2017-11-05 16:33,2.519,H
2017-11-05 23:29,-0.556,L
2017-11-06 06:59,2.608,H
2017-11-06 11:57,1.620,L
2017-11-06 17:11,2.466,H
2017-11-07 00:15,-0.612,L
2017-11-07 07:56,2.647,H
2017-11-07 12:55,1.741,L
2017-11-07 17:54,2.366,H
2017-11-08 01:04,-0.556,L
2017-11-08 08:55,2.653,H
2017-11-08 14:03,1.799,L
2017-11-08 18:44,2.214,H
2017-11-09 01:57,-0.399,L
2017-11-09 09:56,2.642,H
2017-11-09 15:31,1.763,L
2017-11-09 19:45,2.024,H
2017-11-10 02:55,-0.167,L
2017-11-10 10:57,2.628,H
2017-11-10 17:24,1.598,L
2017-11-10 21:02,1.825,H
2017-11-11 03:58,0.107,L
2017-11-11 11:53,2.616,H
2017-11-11 18:45,1.336,L
2017-11-11 22:36,1.679,H
2017-11-12 05:04,0.391,L
2017-11-12 12:43,2.605,H
2017-11-12 19:37,1.043,L
2017-11-13 00:28,1.665,H
2017-11-13 06:11,0.661,L
2017-11-13 13:24,2.586,H
2017-11-13 20:16,0.755,L
2017-11-14 02:05,1.796,H
2017-11-14 07:13,0.909,L
2017-11-14 13:59,2.555,H
2017-11-14 20:48,0.491,L
2017-11-15 03:16,1.985,H
2017-11-15 08:09,1.135,L
2017-11-15 14:29,2.513,H
2017-11-15 21:16,0.263,L
2017-11-16 04:14,2.168,H
2017-11-16 08:59,1.340,L
2017-11-16 14:54,2.465,H
2017-11-16 21:43,0.074,L
2017-11-17 05:03,2.321,H
2017-11-17 09:45,1.517,L
2017-11-17 15:17,2.417,H
2017-11-17 22:11,-0.072,L
2017-11-18 05:48,2.437,H
2017-11-18 10:30,1.663,L
2017-11-18 15:40,2.366,H
2017-11-18 22:41,-0.172,L
2017-11-19 06:29,2.517,H
2017-11-19 11:15,1.777,L
2017-11-19 16:05,2.307,H
2017-11-19 23:14,-0.222,L
2017-11-20 07:09,2.566,H
2017-11-20 12:03,1.857,L
2017-11-20 16:34,2.233,H
2017-11-20 23:48,-0.223,L
2017-11-21 07:47,2.588,H
2017-11-21 12:56,1.903,L
2017-11-21 17:05,2.140,H
2017-11-22 00:25,-0.177,L
2017-11-22 08:27,2.590,H
2017-11-22 14:01,1.909,L
2017-11-22 17:40,2.029,H
2017-11-23 01:05,-0.086,L
2017-11-23 09:07,2.578,H
2017-11-23 15:43,1.863,L
2017-11-23 18:20,1.900,H
2017-11-24 01:47,0.041,L
2017-11-24 09:48,2.559,H
2017-11-25 02:33,0.201,L
2017-11-25 10:30,2.540,H
2017-11-25 18:37,1.575,L
2017-11-25 20:24,1.615,H
2017-11-26 03:23,0.388,L
2017-11-26 11:09,2.526,H
2017-11-26 19:00,1.381,L
2017-11-26 21:50,1.511,H
2017-11-27 04:19,0.592,L
2017-11-27 11:46,2.520,H
2017-11-27 19:11,1.143,L
2017-11-27 23:27,1.495,H
2017-11-28 05:19,0.805,L
2017-11-28 12:21,2.527,H
2017-11-28 19:29,0.847,L
2017-11-29 01:07,1.610,H
2017-11-29 06:19,1.014,L
2017-11-29 12:54,2.547,H
2017-11-29 19:55,0.504,L
2017-11-30 02:30,1.830,H
2017-11-30 07:16,1.214,L
2017-11-30 13:26,2.578,H
2017-11-30 20:27,0.137,L
