Date Time, Prediction, Type
2017-10-01 00:13,1.776,H
2017-10-01 07:13,0.388,L
2017-10-01 14:52,2.282,H
2017-10-01 20:45,1.335,L
2017-10-02 01:22,1.843,H
2017-10-02 08:00,0.379,L
2017-10-02 15:14,2.305,H
2017-10-02 21:04,1.153,L
2017-10-03 02:22,1.945,H
2017-10-03 08:43,0.396,L
2017-10-03 15:35,2.332,H
2017-10-03 21:29,0.927,L
2017-10-04 03:16,2.057,H
2017-10-04 09:23,0.458,L
2017-10-04 15:59,2.365,H
2017-10-04 21:58,0.668,L
2017-10-05 04:08,2.164,H
2017-10-05 10:03,0.570,L
2017-10-05 16:25,2.396,H
2017-10-05 22:33,0.396,L
2017-10-06 05:00,2.254,H
2017-10-06 10:44,0.735,L
2017-10-06 16:54,2.417,H
2017-10-06 23:11,0.141,L
2017-10-07 05:54,2.320,H
2017-10-07 11:26,0.941,L
2017-10-07 17:25,2.421,H
2017-10-07 23:53,-0.070,L
2017-10-08 06:51,2.357,H
2017-10-08 12:12,1.168,L
2017-10-08 17:59,2.398,H
2017-10-09 00:38,-0.211,L
2017-10-09 07:52,2.367,H
2017-10-09 13:03,1.392,L
2017-10-09 18:37,2.344,H
2017-10-10 01:28,-0.267,L
2017-10-10 08:59,2.361,H
2017-10-10 14:03,1.581,L
2017-10-10 19:19,2.254,H
2017-10-11 02:23,-0.238,L
2017-10-11 10:12,2.358,H
2017-10-11 15:17,1.699,L
2017-10-11 20:10,2.133,H
2017-10-12 03:23,-0.142,L
2017-10-12 11:29,2.379,H
2017-10-12 16:52,1.701,L
2017-10-12 21:15,1.995,H
2017-10-13 04:29,-0.009,L
2017-10-13 12:37,2.423,H
2017-10-13 18:32,1.566,L
2017-10-13 22:36,1.879,H
2017-10-14 05:39,0.133,L
2017-10-14 13:31,2.464,H
2017-10-14 19:38,1.347,L
2017-10-15 00:09,1.840,H
2017-10-15 06:45,0.272,L
2017-10-15 14:15,2.490,H
2017-10-15 20:23,1.098,L
2017-10-16 01:38,1.896,H
2017-10-16 07:44,0.418,L
2017-10-16 14:52,2.493,H
2017-10-16 20:59,0.844,L
2017-10-17 02:51,2.004,H
2017-10-17 08:36,0.581,L
2017-10-17 15:23,2.476,H
2017-10-17 21:32,0.602,L
2017-10-18 03:51,2.119,H
2017-10-18 09:22,0.765,L
2017-10-18 15:49,2.442,H
2017-10-18 22:03,0.387,L
2017-10-19 04:44,2.216,H
2017-10-19 10:05,0.961,L
2017-10-19 16:13,2.400,H
2017-10-19 22:35,0.209,L
2017-10-20 05:33,2.291,H
2017-10-20 10:47,1.160,L
2017-10-20 16:36,2.350,H
2017-10-20 23:08,0.076,L
2017-10-21 06:21,2.347,H
2017-10-21 11:29,1.349,L
2017-10-21 17:00,2.292,H
2017-10-21 23:42,-0.005,L
2017-10-22 07:07,2.380,H
2017-10-22 12:15,1.519,L
2017-10-22 17:27,2.220,H
2017-10-23 00:18,-0.031,L
2017-10-23 07:55,2.394,H
2017-10-23 13:07,1.659,L
2017-10-23 17:56,2.132,H
2017-10-24 00:57,-0.006,L
2017-10-24 08:45,2.390,H
2017-10-24 14:08,1.758,L
2017-10-24 18:29,2.026,H
2017-10-25 01:39,0.066,L
2017-10-25 09:39,2.376,H
2017-10-25 15:36,1.797,L
2017-10-25 19:08,1.909,H
2017-10-26 02:25,0.170,L
2017-10-26 10:39,2.361,H
2017-10-26 17:55,1.740,L
2017-10-26 19:56,1.787,H
2017-10-27 03:17,0.292,L
2017-10-27 11:38,2.356,H
2017-10-27 19:05,1.618,L
2017-10-27 21:02,1.673,H
2017-10-28 04:16,0.411,L
2017-10-28 12:26,2.360,H
2017-10-28 19:41,1.473,L
2017-10-28 22:23,1.600,H
2017-10-29 05:17,0.516,L
2017-10-29 13:04,2.369,H
2017-10-29 20:00,1.301,L
2017-10-29 23:50,1.605,H
2017-10-30 06:17,0.607,L
2017-10-30 13:34,2.385,H
2017-10-30 20:13,1.085,L
2017-10-31 01:13,1.699,H
2017-10-31 07:11,0.699,L
2017-10-31 14:01,2.411,H
2017-10-31 20:32,0.816,L
