Date Time, Prediction, Type
2017-11-01 02:41,1.864,H
2017-11-01 08:06,0.892,L
2017-11-01 14:37,2.602,H
2017-11-01 21:21,0.463,L
2017-11-02 03:41,2.113,H
2017-11-02 09:00,1.049,L
2017-11-02 15:05,2.607,H
2017-11-02 21:53,0.138,L
2017-11-03 04:38,2.369,H
2017-11-03 09:52,1.230,L
2017-11-03 15:34,2.604,H
2017-11-03 22:28,-0.167,L
2017-11-04 05:31,2.602,H
2017-11-04 10:44,1.424,L
2017-11-04 16:04,2.587,H
2017-11-04 23:07,-0.421,L
2017-11-05 06:25,2.787,H
2017-11-05 11:38,1.616,L
2017-11-05 16:36,2.551,H
2017-11-05 23:48,-0.593,L
2017-11-06 07:19,2.908,H
2017-11-06 12:34,1.784,L
2017-11-06 17:10,2.484,H
2017-11-07 00:31,-0.661,L
2017-11-07 08:16,2.966,H
2017-11-07 13:37,1.902,L
2017-11-07 17:46,2.374,H
2017-11-08 01:19,-0.616,L
2017-11-08 09:15,2.978,H
2017-11-08 14:52,1.935,L
2017-11-08 18:27,2.210,H
2017-11-09 02:10,-0.465,L
2017-11-09 10:14,2.960,H
2017-11-09 16:19,1.851,L
2017-11-09 19:19,1.993,H
2017-11-10 03:05,-0.228,L
2017-11-10 11:10,2.925,H
2017-11-10 17:50,1.642,L
2017-11-10 20:46,1.753,H
2017-11-11 04:04,0.066,L
2017-11-11 12:02,2.882,H
2017-11-11 19:00,1.342,L
2017-11-11 22:47,1.599,H
2017-11-12 05:07,0.386,L
2017-11-12 12:47,2.835,H
2017-11-12 19:48,1.008,L
2017-11-13 00:43,1.626,H
2017-11-13 06:15,0.697,L
2017-11-13 13:26,2.783,H
2017-11-13 20:27,0.681,L
2017-11-14 02:13,1.791,H
2017-11-14 07:22,0.975,L
2017-11-14 14:00,2.726,H
2017-11-14 21:02,0.385,L
2017-11-15 03:24,2.007,H
2017-11-15 08:22,1.217,L
2017-11-15 14:31,2.662,H
2017-11-15 21:35,0.140,L
2017-11-16 04:24,2.224,H
2017-11-16 09:18,1.426,L
2017-11-16 14:59,2.591,H
2017-11-16 22:07,-0.047,L
2017-11-17 05:15,2.415,H
2017-11-17 10:09,1.602,L
2017-11-17 15:25,2.513,H
2017-11-17 22:37,-0.175,L
2017-11-18 06:00,2.567,H
2017-11-18 10:59,1.745,L
2017-11-18 15:49,2.428,H
2017-11-18 23:07,-0.250,L
2017-11-19 06:42,2.676,H
2017-11-19 11:48,1.857,L
2017-11-19 16:11,2.338,H
2017-11-19 23:37,-0.277,L
2017-11-20 07:23,2.742,H
2017-11-20 12:37,1.938,L
2017-11-20 16:32,2.244,H
2017-11-21 00:07,-0.261,L
2017-11-21 08:05,2.774,H
2017-11-21 13:33,1.986,L
2017-11-21 16:49,2.146,H
2017-11-22 00:38,-0.206,L
2017-11-22 08:48,2.780,H
2017-11-22 14:42,1.991,L
2017-11-22 17:02,2.042,H
2017-11-23 01:11,-0.115,L
2017-11-23 09:31,2.772,H
2017-11-24 01:47,0.012,L
2017-11-24 10:12,2.756,H
2017-11-25 02:25,0.173,L
2017-11-25 10:52,2.740,H
2017-11-26 03:09,0.368,L
2017-11-26 11:28,2.726,H
2017-11-27 03:58,0.598,L
2017-11-27 12:00,2.717,H
2017-11-27 19:30,1.125,L
2017-11-27 23:45,1.394,H
2017-11-28 04:56,0.854,L
2017-11-28 12:31,2.714,H
2017-11-28 19:50,0.808,L
2017-11-29 01:31,1.593,H
2017-11-29 06:05,1.117,L
2017-11-29 13:01,2.717,H
2017-11-29 20:16,0.449,L
2017-11-30 02:47,1.893,H
2017-11-30 07:16,1.362,L
2017-11-30 13:31,2.725,H
2017-11-30 20:48,0.072,L
