Date Time, Prediction, Type
2017-10-01 00:40,1.899,H
2017-10-01 07:55,0.408,L
2017-10-01 15:19,2.432,H
2017-10-01 21:27,1.405,L
2017-10-02 01:49,1.970,H
2017-10-02 08:42,0.399,L
2017-10-02 15:41,2.456,H
2017-10-02 21:46,1.214,L
2017-10-03 02:49,2.077,H
2017-10-03 09:25,0.417,L
2017-10-03 16:02,2.485,H
2017-10-03 22:11,0.976,L
2017-10-04 03:43,2.195,H
2017-10-04 10:05,0.482,L
2017-10-04 16:26,2.519,H
2017-10-04 22:40,0.703,L
2017-10-05 04:35,2.308,H
2017-10-05 10:45,0.600,L
2017-10-05 16:52,2.552,H
2017-10-05 23:15,0.417,L
2017-10-06 05:27,2.403,H
2017-10-06 11:26,0.774,L
2017-10-06 17:21,2.574,H
2017-10-06 23:53,0.148,L
2017-10-07 06:21,2.472,H
2017-10-07 12:08,0.990,L
2017-10-07 17:52,2.578,H
2017-10-08 00:35,-0.074,L
2017-10-08 07:18,2.511,H
2017-10-08 12:54,1.230,L
2017-10-08 18:26,2.554,H
2017-10-09 01:20,-0.222,L
2017-10-09 08:19,2.522,H
2017-10-09 13:45,1.465,L
2017-10-09 19:04,2.497,H
2017-10-10 02:10,-0.281,L
2017-10-10 09:26,2.515,H
2017-10-10 14:45,1.664,L
2017-10-10 19:46,2.403,H
2017-10-11 03:05,-0.250,L
2017-10-11 10:39,2.512,H
2017-10-11 15:59,1.788,L
2017-10-11 20:37,2.275,H
2017-10-12 04:05,-0.149,L
2017-10-12 11:56,2.534,H
2017-10-12 17:34,1.790,L
2017-10-12 21:42,2.130,H
2017-10-13 05:11,-0.009,L
2017-10-13 13:04,2.580,H
2017-10-13 19:14,1.648,L
2017-10-13 23:03,2.008,H
2017-10-14 06:21,0.140,L
2017-10-14 13:58,2.624,H
2017-10-14 20:20,1.418,L
2017-10-15 00:36,1.967,H
2017-10-15 07:27,0.286,L
2017-10-15 14:42,2.651,H
2017-10-15 21:05,1.156,L
2017-10-16 02:05,2.026,H
2017-10-16 08:26,0.440,L
2017-10-16 15:19,2.654,H
2017-10-16 21:41,0.888,L
2017-10-17 03:18,2.140,H
2017-10-17 09:18,0.612,L
2017-10-17 15:50,2.636,H
2017-10-17 22:14,0.634,L
2017-10-18 04:18,2.260,H
2017-10-18 10:04,0.805,L
2017-10-18 16:16,2.601,H
2017-10-18 22:45,0.407,L
2017-10-19 05:11,2.363,H
2017-10-19 10:47,1.012,L
2017-10-19 16:40,2.556,H
2017-10-19 23:17,0.220,L
2017-10-20 06:00,2.442,H
2017-10-20 11:29,1.221,L
2017-10-20 17:03,2.504,H
2017-10-20 23:50,0.080,L
2017-10-21 06:48,2.500,H
2017-10-21 12:11,1.420,L
2017-10-21 17:27,2.443,H
2017-10-22 00:24,-0.005,L
2017-10-22 07:34,2.535,H
2017-10-22 12:57,1.599,L
2017-10-22 17:54,2.367,H
2017-10-23 01:00,-0.033,L
2017-10-23 08:22,2.550,H
2017-10-23 13:49,1.746,L
2017-10-23 18:23,2.274,H
2017-10-24 01:39,-0.006,L
2017-10-24 09:12,2.546,H
2017-10-24 14:50,1.851,L
2017-10-24 18:56,2.163,H
2017-10-25 02:21,0.069,L
2017-10-25 10:06,2.531,H
2017-10-25 16:18,1.892,L
2017-10-25 19:35,2.040,H
2017-10-26 03:07,0.179,L
2017-10-26 11:06,2.515,H
2017-10-26 18:37,1.832,L
2017-10-26 20:23,1.911,H
2017-10-27 03:59,0.307,L
2017-10-27 12:05,2.510,H
2017-10-27 19:47,1.703,L
2017-10-27 21:29,1.791,H
2017-10-28 04:58,0.433,L
2017-10-28 12:53,2.514,H
2017-10-28 20:23,1.550,L
2017-10-28 22:50,1.714,H
2017-10-29 05:59,0.543,L
2017-10-29 13:31,2.524,H
2017-10-29 20:42,1.369,L
2017-10-30 00:17,1.719,H
2017-10-30 06:59,0.639,L
2017-10-30 14:01,2.541,H
2017-10-30 20:55,1.142,L
2017-10-31 01:40,1.818,H
2017-10-31 07:53,0.736,L
2017-10-31 14:28,2.568,H
2017-10-31 21:14,0.859,L
