Date Time, Prediction, Type
2017-11-01 02:43,1.838,H
2017-11-01 08:02,0.917,L
2017-11-01 14:38,2.466,H
2017-11-01 21:16,0.531,L
2017-11-02 03:44,2.056,H
2017-11-02 08:55,1.078,L
2017-11-02 15:03,2.475,H
2017-11-02 21:50,0.216,L
2017-11-03 04:42,2.282,H
2017-11-03 09:47,1.263,L
2017-11-03 15:28,2.483,H
2017-11-03 22:26,-0.077,L
2017-11-04 05:37,2.488,H
2017-11-04 10:39,1.460,L
2017-11-04 15:56,2.486,H
2017-11-04 23:05,-0.317,L
2017-11-05 06:32,2.650,H
2017-11-05 11:32,1.653,L
2017-11-05 16:26,2.474,H
2017-11-05 23:47,-0.477,L
2017-11-06 07:28,2.755,H
2017-11-06 12:27,1.821,L
2017-11-06 16:59,2.435,H
2017-11-07 00:31,-0.534,L
2017-11-07 08:26,2.805,H
2017-11-07 13:29,1.939,L
2017-11-07 17:35,2.352,H
2017-11-08 01:19,-0.485,L
2017-11-08 09:26,2.814,H
2017-11-08 14:45,1.974,L
2017-11-08 18:14,2.215,H
2017-11-09 02:11,-0.338,L
2017-11-09 10:24,2.795,H
2017-11-09 16:13,1.897,L
2017-11-09 19:02,2.018,H
2017-11-10 03:06,-0.112,L
2017-11-10 11:19,2.762,H
2017-11-10 17:43,1.701,L
2017-11-10 20:20,1.781,H
2017-11-11 04:03,0.165,L
2017-11-11 12:08,2.721,H
2017-11-11 18:54,1.419,L
2017-11-11 22:41,1.608,H
2017-11-12 05:05,0.465,L
2017-11-12 12:51,2.677,H
2017-11-12 19:42,1.100,L
2017-11-13 00:44,1.622,H
2017-11-13 06:10,0.759,L
2017-11-13 13:28,2.631,H
2017-11-13 20:22,0.785,L
2017-11-14 02:12,1.761,H
2017-11-14 07:15,1.023,L
2017-11-14 14:01,2.583,H
2017-11-14 20:58,0.499,L
2017-11-15 03:22,1.945,H
2017-11-15 08:15,1.254,L
2017-11-15 14:30,2.532,H
2017-11-15 21:31,0.260,L
2017-11-16 04:22,2.135,H
2017-11-16 09:08,1.452,L
2017-11-16 14:55,2.477,H
2017-11-16 22:03,0.076,L
2017-11-17 05:14,2.306,H
2017-11-17 09:59,1.619,L
2017-11-17 15:18,2.419,H
2017-11-17 22:33,-0.055,L
2017-11-18 06:00,2.446,H
2017-11-18 10:48,1.755,L
2017-11-18 15:38,2.359,H
2017-11-18 23:03,-0.134,L
2017-11-19 06:43,2.548,H
2017-11-19 11:35,1.862,L
2017-11-19 15:57,2.299,H
2017-11-19 23:33,-0.167,L
2017-11-20 07:26,2.613,H
2017-11-20 12:22,1.942,L
2017-11-20 16:16,2.235,H
2017-11-21 00:04,-0.158,L
2017-11-21 08:09,2.645,H
2017-11-21 13:15,1.993,L
2017-11-21 16:37,2.163,H
2017-11-22 00:36,-0.110,L
2017-11-22 08:53,2.653,H
2017-11-22 14:22,2.005,L
2017-11-22 16:58,2.078,H
2017-11-23 01:11,-0.026,L
2017-11-23 09:37,2.645,H
2017-11-24 01:48,0.092,L
2017-11-24 10:20,2.630,H
2017-11-25 02:29,0.241,L
2017-11-25 11:00,2.613,H
2017-11-26 03:13,0.422,L
2017-11-26 11:35,2.597,H
2017-11-27 04:03,0.634,L
2017-11-27 12:07,2.585,H
2017-11-27 19:20,1.186,L
2017-11-27 23:42,1.423,H
2017-11-28 04:59,0.874,L
2017-11-28 12:35,2.582,H
2017-11-28 19:44,0.873,L
2017-11-29 01:35,1.598,H
2017-11-29 06:03,1.125,L
2017-11-29 13:01,2.588,H
2017-11-29 20:12,0.524,L
2017-11-30 02:51,1.867,H
2017-11-30 07:11,1.366,L
2017-11-30 13:28,2.606,H
2017-11-30 20:45,0.161,L
