Date Time, Prediction, Type
2017-10-01 00:12,1.682,H
2017-10-01 07:17,0.367,L
2017-10-01 14:51,2.162,H
2017-10-01 20:49,1.265,L
2017-10-02 01:21,1.746,H
2017-10-02 08:04,0.359,L
2017-10-02 15:13,2.183,H
2017-10-02 21:08,1.093,L
2017-10-03 02:21,1.842,H
2017-10-03 08:47,0.375,L
2017-10-03 15:34,2.210,H
2017-10-03 21:33,0.878,L
2017-10-04 03:15,1.949,H
2017-10-04 09:27,0.434,L
2017-10-04 15:58,2.240,H
2017-10-04 22:02,0.633,L
2017-10-05 04:07,2.050,H
2017-10-05 10:07,0.540,L
2017-10-05 16:24,2.270,H
2017-10-05 22:37,0.375,L
2017-10-06 04:59,2.136,H
2017-10-06 10:48,0.697,L
2017-10-06 16:53,2.290,H
2017-10-06 23:15,0.133,L
2017-10-07 05:53,2.198,H
2017-10-07 11:30,0.891,L
2017-10-07 17:24,2.293,H
2017-10-07 23:57,-0.067,L
2017-10-08 06:50,2.233,H
2017-10-08 12:16,1.107,L
2017-10-08 17:58,2.272,H
2017-10-09 00:42,-0.200,L
2017-10-09 07:51,2.243,H
2017-10-09 13:07,1.319,L
2017-10-09 18:36,2.220,H
2017-10-10 01:32,-0.253,L
2017-10-10 08:58,2.237,H
2017-10-10 14:07,1.498,L
2017-10-10 19:18,2.136,H
2017-10-11 02:27,-0.225,L
2017-10-11 10:11,2.234,H
2017-10-11 15:21,1.609,L
2017-10-11 20:09,2.021,H
2017-10-12 03:27,-0.134,L
2017-10-12 11:28,2.254,H
2017-10-12 16:56,1.611,L
2017-10-12 21:14,1.890,H
2017-10-13 04:33,-0.008,L
2017-10-13 12:36,2.295,H
2017-10-13 18:36,1.483,L
2017-10-13 22:35,1.780,H
2017-10-14 05:43,0.126,L
2017-10-14 13:30,2.335,H
2017-10-14 19:42,1.276,L
2017-10-15 00:08,1.743,H
2017-10-15 06:49,0.257,L
2017-10-15 14:14,2.359,H
2017-10-15 20:27,1.040,L
2017-10-16 01:37,1.796,H
2017-10-16 07:48,0.396,L
2017-10-16 14:51,2.362,H
2017-10-16 21:03,0.799,L
2017-10-17 02:50,1.899,H
2017-10-17 08:40,0.551,L
2017-10-17 15:22,2.345,H
2017-10-17 21:36,0.571,L
2017-10-18 03:50,2.007,H
2017-10-18 09:26,0.725,L
2017-10-18 15:48,2.314,H
2017-10-18 22:07,0.366,L
2017-10-19 04:43,2.100,H
2017-10-19 10:09,0.911,L
2017-10-19 16:12,2.273,H
2017-10-19 22:39,0.198,L
2017-10-20 05:32,2.171,H
2017-10-20 10:51,1.099,L
2017-10-20 16:35,2.227,H
2017-10-20 23:12,0.072,L
2017-10-21 06:20,2.223,H
2017-10-21 11:33,1.278,L
2017-10-21 16:59,2.172,H
2017-10-21 23:46,-0.005,L
2017-10-22 07:06,2.255,H
2017-10-22 12:19,1.439,L
2017-10-22 17:26,2.103,H
2017-10-23 00:22,-0.030,L
2017-10-23 07:54,2.268,H
2017-10-23 13:11,1.571,L
2017-10-23 17:55,2.020,H
2017-10-24 01:01,-0.005,L
2017-10-24 08:44,2.264,H
2017-10-24 14:12,1.666,L
2017-10-24 18:28,1.920,H
2017-10-25 01:43,0.062,L
2017-10-25 09:38,2.251,H
2017-10-25 15:40,1.703,L
2017-10-25 19:07,1.809,H
2017-10-26 02:29,0.161,L
2017-10-26 10:38,2.237,H
2017-10-26 17:59,1.649,L
2017-10-26 19:55,1.693,H
2017-10-27 03:21,0.276,L
2017-10-27 11:37,2.232,H
2017-10-27 19:09,1.533,L
2017-10-27 21:01,1.585,H
2017-10-28 04:20,0.390,L
2017-10-28 12:25,2.236,H
2017-10-28 19:45,1.395,L
2017-10-28 22:22,1.516,H
2017-10-29 05:21,0.489,L
2017-10-29 13:03,2.245,H
2017-10-29 20:04,1.232,L
2017-10-29 23:49,1.520,H
2017-10-30 06:21,0.575,L
2017-10-30 13:33,2.260,H
2017-10-30 20:17,1.028,L
2017-10-31 01:12,1.609,H
2017-10-31 07:15,0.662,L
2017-10-31 14:00,2.284,H
2017-10-31 20:36,0.773,L
