Date Time, Prediction, Type
2017-11-01 02:10,1.632,H
2017-11-01 07:23,0.883,L
2017-11-01 13:59,2.185,H
2017-11-01 20:29,0.598,L
2017-11-02 03:15,1.800,H
2017-11-02 08:09,1.041,L
2017-11-02 14:22,2.225,H
2017-11-02 20:56,0.283,L
2017-11-03 04:13,1.976,H
2017-11-03 08:54,1.215,L
2017-11-03 14:48,2.265,H
2017-11-03 21:31,-0.018,L
2017-11-04 05:08,2.140,H
2017-11-04 09:41,1.398,L
2017-11-04 15:19,2.293,H
2017-11-04 22:10,-0.270,L
2017-11-05 06:03,2.277,H
2017-11-05 10:31,1.575,L
2017-11-05 15:52,2.295,H
2017-11-05 22:53,-0.440,L
2017-11-06 07:00,2.378,H
2017-11-06 11:26,1.727,L
2017-11-06 16:28,2.263,H
2017-11-06 23:40,-0.510,L
2017-11-07 08:00,2.441,H
2017-11-07 12:30,1.833,L
2017-11-07 17:09,2.187,H
2017-11-08 00:29,-0.474,L
2017-11-08 09:01,2.471,H
2017-11-08 13:52,1.869,L
2017-11-08 17:54,2.063,H
2017-11-09 01:22,-0.338,L
2017-11-09 10:01,2.477,H
2017-11-09 15:50,1.799,L
2017-11-09 18:51,1.892,H
2017-11-10 02:18,-0.120,L
2017-11-10 10:58,2.468,H
2017-11-10 17:31,1.607,L
2017-11-10 20:08,1.695,H
2017-11-11 03:18,0.150,L
2017-11-11 11:49,2.447,H
2017-11-11 18:32,1.350,L
2017-11-11 21:51,1.529,H
2017-11-12 04:23,0.440,L
2017-11-12 12:33,2.416,H
2017-11-12 19:16,1.067,L
2017-11-13 00:07,1.492,H
2017-11-13 05:31,0.719,L
2017-11-13 13:10,2.377,H
2017-11-13 19:52,0.785,L
2017-11-14 01:51,1.608,H
2017-11-14 06:36,0.973,L
2017-11-14 13:40,2.330,H
2017-11-14 20:23,0.524,L
2017-11-15 03:05,1.777,H
2017-11-15 07:34,1.199,L
2017-11-15 14:03,2.280,H
2017-11-15 20:51,0.297,L
2017-11-16 04:04,1.946,H
2017-11-16 08:25,1.398,L
2017-11-16 14:18,2.236,H
2017-11-16 21:17,0.110,L
2017-11-17 04:55,2.093,H
2017-11-17 09:13,1.568,L
2017-11-17 14:34,2.198,H
2017-11-17 21:43,-0.036,L
2017-11-18 05:42,2.212,H
2017-11-18 10:01,1.706,L
2017-11-18 14:53,2.159,H
2017-11-18 22:11,-0.140,L
2017-11-19 06:25,2.304,H
2017-11-19 10:53,1.813,L
2017-11-19 15:17,2.111,H
2017-11-19 22:42,-0.198,L
2017-11-20 07:07,2.368,H
2017-11-20 11:53,1.887,L
2017-11-20 15:43,2.051,H
2017-11-20 23:16,-0.209,L
2017-11-21 07:50,2.407,H
2017-11-21 13:18,1.922,L
2017-11-21 16:08,1.978,H
2017-11-21 23:52,-0.171,L
2017-11-22 08:34,2.423,H
2017-11-23 00:31,-0.085,L
2017-11-23 09:18,2.419,H
2017-11-24 01:13,0.044,L
2017-11-24 10:00,2.402,H
2017-11-25 01:56,0.213,L
2017-11-25 10:38,2.378,H
2017-11-26 02:42,0.414,L
2017-11-26 11:09,2.352,H
2017-11-27 03:32,0.639,L
2017-11-27 11:34,2.335,H
2017-11-27 19:20,1.159,L
2017-11-27 22:53,1.338,H
2017-11-28 04:29,0.876,L
2017-11-28 11:57,2.334,H
2017-11-28 19:21,0.898,L
2017-11-29 01:14,1.453,H
2017-11-29 05:31,1.110,L
2017-11-29 12:22,2.353,H
2017-11-29 19:33,0.578,L
2017-11-30 02:40,1.681,H
2017-11-30 06:32,1.330,L
2017-11-30 12:49,2.387,H
2017-11-30 19:58,0.229,L
