Date Time, Prediction, Type
2017-10-01 06:44,0.337,L
2017-10-01 14:49,2.059,H
2017-10-01 20:37,1.384,L
2017-10-02 00:35,1.652,H
2017-10-02 07:30,0.370,L
2017-10-02 15:10,2.051,H
2017-10-02 20:46,1.238,L
2017-10-03 01:43,1.714,H
2017-10-03 08:11,0.431,L
2017-10-03 15:24,2.053,H
2017-10-03 21:00,1.036,L
2017-10-04 02:45,1.790,H
2017-10-04 08:48,0.528,L
2017-10-04 15:38,2.074,H
2017-10-04 21:24,0.791,L
2017-10-05 03:43,1.870,H
2017-10-05 09:27,0.664,L
2017-10-05 15:58,2.109,H
2017-10-05 21:57,0.525,L
2017-10-06 04:40,1.947,H
2017-10-06 10:07,0.837,L
2017-10-06 16:23,2.142,H
2017-10-06 22:36,0.267,L
2017-10-07 05:39,2.015,H
2017-10-07 10:50,1.039,L
2017-10-07 16:52,2.161,H
2017-10-07 23:18,0.045,L
2017-10-08 06:42,2.069,H
2017-10-08 11:38,1.252,L
2017-10-08 17:24,2.158,H
2017-10-09 00:05,-0.117,L
2017-10-09 07:50,2.110,H
2017-10-09 12:31,1.456,L
2017-10-09 18:00,2.126,H
2017-10-10 00:55,-0.202,L
2017-10-10 09:06,2.146,H
2017-10-10 13:34,1.625,L
2017-10-10 18:40,2.064,H
2017-10-11 01:49,-0.205,L
2017-10-11 10:23,2.187,H
2017-10-11 14:59,1.726,L
2017-10-11 19:27,1.969,H
2017-10-12 02:49,-0.134,L
2017-10-12 11:34,2.231,H
2017-10-12 17:02,1.708,L
2017-10-12 20:29,1.852,H
2017-10-13 03:54,-0.013,L
2017-10-13 12:35,2.266,H
2017-10-13 18:31,1.568,L
2017-10-13 21:49,1.739,H
2017-10-14 05:03,0.130,L
2017-10-14 13:25,2.282,H
2017-10-14 19:24,1.369,L
2017-10-14 23:25,1.674,H
2017-10-15 06:11,0.280,L
2017-10-15 14:06,2.275,H
2017-10-15 20:04,1.142,L
2017-10-16 01:06,1.689,H
2017-10-16 07:11,0.441,L
2017-10-16 14:40,2.248,H
2017-10-16 20:38,0.905,L
2017-10-17 02:28,1.762,H
2017-10-17 08:02,0.620,L
2017-10-17 15:08,2.207,H
2017-10-17 21:08,0.674,L
2017-10-18 03:34,1.851,H
2017-10-18 08:47,0.813,L
2017-10-18 15:29,2.161,H
2017-10-18 21:38,0.461,L
2017-10-19 04:31,1.933,H
2017-10-19 09:30,1.010,L
2017-10-19 15:45,2.119,H
2017-10-19 22:08,0.278,L
2017-10-20 05:23,2.005,H
2017-10-20 10:12,1.201,L
2017-10-20 16:01,2.082,H
2017-10-20 22:39,0.132,L
2017-10-21 06:13,2.066,H
2017-10-21 10:56,1.377,L
2017-10-21 16:21,2.040,H
2017-10-21 23:12,0.031,L
2017-10-22 07:04,2.116,H
2017-10-22 11:46,1.530,L
2017-10-22 16:45,1.987,H
2017-10-22 23:48,-0.022,L
2017-10-23 07:56,2.152,H
2017-10-23 12:44,1.654,L
2017-10-23 17:12,1.919,H
2017-10-24 00:26,-0.023,L
2017-10-24 08:53,2.174,H
2017-10-24 14:10,1.737,L
2017-10-24 17:40,1.839,H
2017-10-25 01:08,0.023,L
2017-10-25 09:52,2.185,H
2017-10-26 01:53,0.111,L
2017-10-26 10:52,2.189,H
2017-10-27 02:43,0.229,L
2017-10-27 11:47,2.188,H
2017-10-28 03:39,0.360,L
2017-10-28 12:31,2.180,H
2017-10-29 04:40,0.491,L
2017-10-29 13:03,2.166,H
2017-10-29 20:01,1.304,L
2017-10-29 23:04,1.438,H
2017-10-30 05:40,0.617,L
2017-10-30 13:25,2.155,H
2017-10-30 20:06,1.127,L
2017-10-31 00:44,1.499,H
2017-10-31 06:35,0.744,L
2017-10-31 13:42,2.160,H
2017-10-31 20:12,0.889,L
