Date Time, Prediction, Type
2017-11-01 02:31,1.698,H
2017-11-01 07:50,0.871,L
2017-11-01 14:30,2.257,H
2017-11-01 21:01,0.540,L
2017-11-02 03:35,1.878,H
2017-11-02 08:39,1.027,L
2017-11-02 14:53,2.276,H
2017-11-02 21:32,0.230,L
2017-11-03 04:35,2.067,H
2017-11-03 09:26,1.208,L
2017-11-03 15:18,2.300,H
2017-11-03 22:07,-0.064,L
2017-11-04 05:32,2.244,H
2017-11-04 10:14,1.401,L
2017-11-04 15:45,2.319,H
2017-11-04 22:46,-0.308,L
2017-11-05 06:27,2.389,H
2017-11-05 11:05,1.587,L
2017-11-05 16:16,2.319,H
2017-11-05 23:29,-0.471,L
2017-11-06 07:22,2.488,H
2017-11-06 12:00,1.744,L
2017-11-06 16:50,2.288,H
2017-11-07 00:14,-0.535,L
2017-11-07 08:20,2.541,H
2017-11-07 13:03,1.851,L
2017-11-07 17:29,2.212,H
2017-11-08 01:03,-0.492,L
2017-11-08 09:20,2.558,H
2017-11-08 14:23,1.885,L
2017-11-08 18:12,2.084,H
2017-11-09 01:55,-0.350,L
2017-11-09 10:20,2.554,H
2017-11-09 16:14,1.806,L
2017-11-09 19:05,1.902,H
2017-11-10 02:51,-0.132,L
2017-11-10 11:17,2.538,H
2017-11-10 17:47,1.609,L
2017-11-10 20:22,1.686,H
2017-11-11 03:51,0.135,L
2017-11-11 12:08,2.513,H
2017-11-11 18:53,1.344,L
2017-11-11 22:25,1.514,H
2017-11-12 04:54,0.422,L
2017-11-12 12:52,2.480,H
2017-11-12 19:40,1.051,L
2017-11-13 00:36,1.500,H
2017-11-13 06:00,0.707,L
2017-11-13 13:30,2.438,H
2017-11-13 20:18,0.759,L
2017-11-14 02:16,1.634,H
2017-11-14 07:06,0.972,L
2017-11-14 14:01,2.388,H
2017-11-14 20:52,0.491,L
2017-11-15 03:30,1.823,H
2017-11-15 08:06,1.208,L
2017-11-15 14:26,2.333,H
2017-11-15 21:22,0.263,L
2017-11-16 04:31,2.014,H
2017-11-16 09:00,1.418,L
2017-11-16 14:46,2.278,H
2017-11-16 21:49,0.080,L
2017-11-17 05:22,2.184,H
2017-11-17 09:49,1.597,L
2017-11-17 15:02,2.230,H
2017-11-17 22:16,-0.056,L
2017-11-18 06:08,2.318,H
2017-11-18 10:39,1.740,L
2017-11-18 15:18,2.187,H
2017-11-18 22:44,-0.146,L
2017-11-19 06:49,2.413,H
2017-11-19 11:30,1.842,L
2017-11-19 15:38,2.141,H
2017-11-19 23:13,-0.190,L
2017-11-20 07:28,2.470,H
2017-11-20 12:25,1.903,L
2017-11-20 16:02,2.085,H
2017-11-20 23:45,-0.190,L
2017-11-21 08:07,2.494,H
2017-11-21 13:28,1.924,L
2017-11-21 16:30,2.014,H
2017-11-22 00:19,-0.148,L
2017-11-22 08:46,2.494,H
2017-11-23 00:55,-0.065,L
2017-11-23 09:28,2.478,H
2017-11-24 01:35,0.054,L
2017-11-24 10:09,2.456,H
2017-11-25 02:17,0.206,L
2017-11-25 10:48,2.433,H
2017-11-26 03:04,0.390,L
2017-11-26 11:24,2.413,H
2017-11-26 19:04,1.352,L
2017-11-26 21:15,1.395,H
2017-11-27 03:55,0.600,L
2017-11-27 11:55,2.398,H
2017-11-27 19:21,1.121,L
2017-11-27 23:21,1.359,H
2017-11-28 04:52,0.833,L
2017-11-28 12:24,2.392,H
2017-11-28 19:39,0.839,L
2017-11-29 01:23,1.480,H
2017-11-29 05:54,1.075,L
2017-11-29 12:51,2.401,H
2017-11-29 20:02,0.512,L
2017-11-30 02:50,1.712,H
2017-11-30 06:58,1.310,L
2017-11-30 13:17,2.423,H
2017-11-30 20:32,0.165,L
