Date Time, Prediction, Type
2017-10-01 07:04,0.393,L
2017-10-01 14:58,2.139,H
2017-10-01 20:46,1.360,L
2017-10-02 01:07,1.712,H
2017-10-02 07:53,0.398,L
2017-10-02 15:24,2.143,H
2017-10-02 21:07,1.193,L
2017-10-03 02:15,1.786,H
2017-10-03 08:36,0.432,L
2017-10-03 15:46,2.147,H
2017-10-03 21:30,0.984,L
2017-10-04 03:15,1.874,H
2017-10-04 09:17,0.511,L
2017-10-04 16:08,2.154,H
2017-10-04 21:59,0.741,L
2017-10-05 04:13,1.966,H
2017-10-05 09:57,0.642,L
2017-10-05 16:30,2.166,H
2017-10-05 22:33,0.483,L
2017-10-06 05:11,2.054,H
2017-10-06 10:39,0.823,L
2017-10-06 16:54,2.181,H
2017-10-06 23:12,0.234,L
2017-10-07 06:09,2.131,H
2017-10-07 11:23,1.039,L
2017-10-07 17:20,2.192,H
2017-10-07 23:54,0.022,L
2017-10-08 07:09,2.186,H
2017-10-08 12:10,1.269,L
2017-10-08 17:48,2.191,H
2017-10-09 00:40,-0.128,L
2017-10-09 08:13,2.219,H
2017-10-09 13:01,1.488,L
2017-10-09 18:20,2.168,H
2017-10-10 01:29,-0.199,L
2017-10-10 09:25,2.241,H
2017-10-10 14:03,1.668,L
2017-10-10 18:55,2.112,H
2017-10-11 02:23,-0.190,L
2017-10-11 10:40,2.267,H
2017-10-11 15:26,1.771,L
2017-10-11 19:39,2.015,H
2017-10-12 03:23,-0.115,L
2017-10-12 11:52,2.301,H
2017-10-12 17:17,1.750,L
2017-10-12 20:39,1.884,H
2017-10-13 04:28,0.004,L
2017-10-13 12:54,2.332,H
2017-10-13 18:50,1.604,L
2017-10-13 22:10,1.754,H
2017-10-14 05:35,0.146,L
2017-10-14 13:45,2.349,H
2017-10-14 19:49,1.387,L
2017-10-14 23:59,1.689,H
2017-10-15 06:41,0.296,L
2017-10-15 14:26,2.344,H
2017-10-15 20:31,1.140,L
2017-10-16 01:39,1.722,H
2017-10-16 07:42,0.456,L
2017-10-16 15:00,2.320,H
2017-10-16 21:07,0.888,L
2017-10-17 02:56,1.813,H
2017-10-17 08:35,0.632,L
2017-10-17 15:28,2.280,H
2017-10-17 21:40,0.648,L
2017-10-18 04:01,1.919,H
2017-10-18 09:21,0.826,L
2017-10-18 15:53,2.230,H
2017-10-18 22:11,0.435,L
2017-10-19 04:58,2.022,H
2017-10-19 10:05,1.031,L
2017-10-19 16:13,2.179,H
2017-10-19 22:42,0.259,L
2017-10-20 05:51,2.115,H
2017-10-20 10:49,1.230,L
2017-10-20 16:31,2.129,H
2017-10-20 23:12,0.126,L
2017-10-21 06:39,2.189,H
2017-10-21 11:34,1.412,L
2017-10-21 16:49,2.081,H
2017-10-21 23:44,0.042,L
2017-10-22 07:26,2.242,H
2017-10-22 12:22,1.566,L
2017-10-22 17:09,2.030,H
2017-10-23 00:17,0.008,L
2017-10-23 08:15,2.270,H
2017-10-23 13:16,1.685,L
2017-10-23 17:33,1.969,H
2017-10-24 00:53,0.022,L
2017-10-24 09:06,2.279,H
2017-10-24 14:27,1.761,L
2017-10-24 18:00,1.895,H
2017-10-25 01:32,0.081,L
2017-10-25 10:01,2.275,H
2017-10-25 16:17,1.769,L
2017-10-25 18:28,1.808,H
2017-10-26 02:16,0.172,L
2017-10-26 10:56,2.266,H
2017-10-27 03:05,0.283,L
2017-10-27 11:49,2.257,H
2017-10-28 04:00,0.399,L
2017-10-28 12:34,2.250,H
2017-10-28 19:41,1.456,L
2017-10-28 21:46,1.498,H
2017-10-29 04:58,0.512,L
2017-10-29 13:12,2.245,H
2017-10-29 20:01,1.292,L
2017-10-29 23:33,1.477,H
2017-10-30 05:58,0.624,L
2017-10-30 13:42,2.243,H
2017-10-30 20:18,1.087,L
2017-10-31 01:13,1.551,H
2017-10-31 06:56,0.739,L
2017-10-31 14:07,2.246,H
2017-10-31 20:37,0.834,L
