Date Time, Prediction, Type
2017-11-01 02:20,1.760,H
2017-11-01 08:05,0.842,L
2017-11-01 14:25,2.317,H
2017-11-01 21:02,0.525,L
2017-11-02 03:20,1.938,H
2017-11-02 08:51,0.982,L
2017-11-02 14:53,2.352,H
2017-11-02 21:34,0.181,L
2017-11-03 04:14,2.114,H
2017-11-03 09:36,1.149,L
2017-11-03 15:23,2.383,H
2017-11-03 22:10,-0.143,L
2017-11-04 05:07,2.271,H
2017-11-04 10:22,1.335,L
2017-11-04 15:55,2.399,H
2017-11-04 22:50,-0.407,L
2017-11-05 06:01,2.392,H
2017-11-05 11:09,1.521,L
2017-11-05 16:30,2.387,H
2017-11-05 23:33,-0.579,L
2017-11-06 06:56,2.471,H
2017-11-06 12:01,1.688,L
2017-11-06 17:08,2.336,H
2017-11-07 00:19,-0.638,L
2017-11-07 07:53,2.507,H
2017-11-07 12:59,1.815,L
2017-11-07 17:51,2.241,H
2017-11-08 01:08,-0.579,L
2017-11-08 08:52,2.514,H
2017-11-08 14:07,1.875,L
2017-11-08 18:41,2.098,H
2017-11-09 02:01,-0.416,L
2017-11-09 09:53,2.503,H
2017-11-09 15:35,1.837,L
2017-11-09 19:42,1.917,H
2017-11-10 02:59,-0.174,L
2017-11-10 10:54,2.489,H
2017-11-10 17:28,1.665,L
2017-11-10 20:59,1.729,H
2017-11-11 04:02,0.112,L
2017-11-11 11:50,2.479,H
2017-11-11 18:49,1.392,L
2017-11-11 22:33,1.590,H
2017-11-12 05:08,0.408,L
2017-11-12 12:40,2.468,H
2017-11-12 19:41,1.087,L
2017-11-13 00:25,1.578,H
2017-11-13 06:15,0.689,L
2017-11-13 13:21,2.450,H
2017-11-13 20:20,0.787,L
2017-11-14 02:02,1.702,H
2017-11-14 07:17,0.947,L
2017-11-14 13:56,2.420,H
2017-11-14 20:52,0.512,L
2017-11-15 03:13,1.881,H
2017-11-15 08:13,1.183,L
2017-11-15 14:26,2.381,H
2017-11-15 21:20,0.274,L
2017-11-16 04:11,2.054,H
2017-11-16 09:03,1.396,L
2017-11-16 14:51,2.336,H
2017-11-16 21:47,0.077,L
2017-11-17 05:00,2.199,H
2017-11-17 09:49,1.581,L
2017-11-17 15:14,2.290,H
2017-11-17 22:15,-0.075,L
2017-11-18 05:45,2.309,H
2017-11-18 10:34,1.733,L
2017-11-18 15:37,2.241,H
2017-11-18 22:45,-0.179,L
2017-11-19 06:26,2.385,H
2017-11-19 11:19,1.852,L
2017-11-19 16:02,2.185,H
2017-11-19 23:18,-0.232,L
2017-11-20 07:06,2.431,H
2017-11-20 12:07,1.935,L
2017-11-20 16:31,2.116,H
2017-11-20 23:52,-0.233,L
2017-11-21 07:44,2.452,H
2017-11-21 13:00,1.983,L
2017-11-21 17:02,2.028,H
2017-11-22 00:29,-0.184,L
2017-11-22 08:24,2.453,H
2017-11-22 14:05,1.990,L
2017-11-22 17:37,1.922,H
2017-11-23 01:09,-0.090,L
2017-11-23 09:04,2.443,H
2017-11-23 15:47,1.941,L
2017-11-23 18:17,1.800,H
2017-11-24 01:51,0.043,L
2017-11-24 09:45,2.425,H
2017-11-24 17:53,1.812,L
2017-11-24 19:09,1.665,H
2017-11-25 02:37,0.210,L
2017-11-25 10:27,2.407,H
2017-11-25 18:41,1.641,L
2017-11-25 20:21,1.530,H
2017-11-26 03:27,0.404,L
2017-11-26 11:06,2.393,H
2017-11-26 19:04,1.439,L
2017-11-26 21:47,1.431,H
2017-11-27 04:23,0.617,L
2017-11-27 11:43,2.388,H
2017-11-27 19:15,1.191,L
2017-11-27 23:24,1.417,H
2017-11-28 05:23,0.839,L
2017-11-28 12:18,2.394,H
2017-11-28 19:33,0.883,L
2017-11-29 01:04,1.526,H
2017-11-29 06:23,1.056,L
2017-11-29 12:51,2.413,H
2017-11-29 19:59,0.526,L
2017-11-30 02:27,1.733,H
2017-11-30 07:20,1.265,L
2017-11-30 13:23,2.443,H
2017-11-30 20:31,0.143,L
