Date Time, Prediction, Type
2017-10-01 00:10,1.682,H
2017-10-01 07:17,0.404,L
2017-10-01 14:49,2.162,H
2017-10-01 20:49,1.391,L
2017-10-02 01:19,1.746,H
2017-10-02 08:04,0.395,L
2017-10-02 15:11,2.183,H
2017-10-02 21:08,1.202,L
2017-10-03 02:19,1.842,H
2017-10-03 08:47,0.413,L
2017-10-03 15:32,2.210,H
2017-10-03 21:33,0.966,L
2017-10-04 03:13,1.949,H
2017-10-04 09:27,0.477,L
2017-10-04 15:56,2.240,H
2017-10-04 22:02,0.696,L
2017-10-05 04:05,2.050,H
2017-10-05 10:07,0.594,L
2017-10-05 16:22,2.270,H
2017-10-05 22:37,0.413,L
2017-10-06 04:57,2.136,H
2017-10-06 10:48,0.766,L
2017-10-06 16:51,2.290,H
2017-10-06 23:15,0.147,L
2017-10-07 05:51,2.198,H
2017-10-07 11:30,0.980,L
2017-10-07 17:22,2.293,H
2017-10-07 23:57,-0.073,L
2017-10-08 06:48,2.233,H
2017-10-08 12:16,1.218,L
2017-10-08 17:56,2.272,H
2017-10-09 00:42,-0.220,L
2017-10-09 07:49,2.243,H
2017-10-09 13:07,1.450,L
2017-10-09 18:34,2.220,H
2017-10-10 01:32,-0.278,L
2017-10-10 08:56,2.237,H
2017-10-10 14:07,1.647,L
2017-10-10 19:16,2.136,H
2017-10-11 02:27,-0.248,L
2017-10-11 10:09,2.234,H
2017-10-11 15:21,1.770,L
2017-10-11 20:07,2.021,H
2017-10-12 03:27,-0.148,L
2017-10-12 11:26,2.254,H
2017-10-12 16:56,1.772,L
2017-10-12 21:12,1.890,H
2017-10-13 04:33,-0.009,L
2017-10-13 12:34,2.295,H
2017-10-13 18:36,1.632,L
2017-10-13 22:33,1.780,H
2017-10-14 05:43,0.139,L
2017-10-14 13:28,2.335,H
2017-10-14 19:42,1.404,L
2017-10-15 00:06,1.743,H
2017-10-15 06:49,0.283,L
2017-10-15 14:12,2.359,H
2017-10-15 20:27,1.144,L
2017-10-16 01:35,1.796,H
2017-10-16 07:48,0.436,L
2017-10-16 14:49,2.362,H
2017-10-16 21:03,0.879,L
2017-10-17 02:48,1.899,H
2017-10-17 08:40,0.606,L
2017-10-17 15:20,2.345,H
2017-10-17 21:36,0.628,L
2017-10-18 03:48,2.007,H
2017-10-18 09:26,0.797,L
2017-10-18 15:46,2.314,H
2017-10-18 22:07,0.403,L
2017-10-19 04:41,2.100,H
2017-10-19 10:09,1.002,L
2017-10-19 16:10,2.273,H
2017-10-19 22:39,0.218,L
2017-10-20 05:30,2.171,H
2017-10-20 10:51,1.209,L
2017-10-20 16:33,2.227,H
2017-10-20 23:12,0.079,L
2017-10-21 06:18,2.223,H
2017-10-21 11:33,1.406,L
2017-10-21 16:57,2.172,H
2017-10-21 23:46,-0.005,L
2017-10-22 07:04,2.255,H
2017-10-22 12:19,1.583,L
2017-10-22 17:24,2.103,H
2017-10-23 00:22,-0.033,L
2017-10-23 07:52,2.268,H
2017-10-23 13:11,1.729,L
2017-10-23 17:53,2.020,H
2017-10-24 01:01,-0.006,L
2017-10-24 08:42,2.264,H
2017-10-24 14:12,1.832,L
2017-10-24 18:26,1.920,H
2017-10-25 01:43,0.068,L
2017-10-25 09:36,2.251,H
2017-10-25 15:40,1.873,L
2017-10-25 19:05,1.809,H
2017-10-26 02:29,0.177,L
2017-10-26 10:36,2.237,H
2017-10-26 17:59,1.814,L
2017-10-26 19:53,1.693,H
2017-10-27 03:21,0.304,L
2017-10-27 11:35,2.232,H
2017-10-27 19:09,1.686,L
2017-10-27 20:59,1.585,H
2017-10-28 04:20,0.429,L
2017-10-28 12:23,2.236,H
2017-10-28 19:45,1.535,L
2017-10-28 22:20,1.516,H
2017-10-29 05:21,0.538,L
2017-10-29 13:01,2.245,H
2017-10-29 20:04,1.355,L
2017-10-29 23:47,1.520,H
2017-10-30 06:21,0.633,L
2017-10-30 13:31,2.260,H
2017-10-30 20:17,1.131,L
2017-10-31 01:10,1.609,H
2017-10-31 07:15,0.729,L
2017-10-31 13:58,2.284,H
2017-10-31 20:36,0.850,L
