Date Time, Prediction, Type
2017-10-01 06:51,0.354,L
2017-10-01 14:40,2.168,H
2017-10-01 20:26,1.353,L
2017-10-02 00:45,1.705,H
2017-10-02 07:40,0.365,L
2017-10-02 15:08,2.192,H
2017-10-02 20:54,1.167,L
2017-10-03 01:56,1.782,H
2017-10-03 08:25,0.408,L
2017-10-03 15:32,2.204,H
2017-10-03 21:23,0.950,L
2017-10-04 03:00,1.877,H
2017-10-04 09:08,0.494,L
2017-10-04 15:53,2.208,H
2017-10-04 21:55,0.711,L
2017-10-05 03:59,1.980,H
2017-10-05 09:51,0.630,L
2017-10-05 16:12,2.209,H
2017-10-05 22:29,0.464,L
2017-10-06 04:56,2.076,H
2017-10-06 10:34,0.812,L
2017-10-06 16:32,2.208,H
2017-10-06 23:07,0.229,L
2017-10-07 05:54,2.150,H
2017-10-07 11:17,1.030,L
2017-10-07 16:56,2.206,H
2017-10-07 23:48,0.031,L
2017-10-08 06:56,2.199,H
2017-10-08 12:04,1.264,L
2017-10-08 17:23,2.195,H
2017-10-09 00:33,-0.112,L
2017-10-09 08:05,2.228,H
2017-10-09 12:56,1.487,L
2017-10-09 17:53,2.166,H
2017-10-10 01:22,-0.186,L
2017-10-10 09:19,2.255,H
2017-10-10 13:58,1.667,L
2017-10-10 18:28,2.110,H
2017-10-11 02:16,-0.189,L
2017-10-11 10:34,2.291,H
2017-10-11 15:12,1.772,L
2017-10-11 19:10,2.016,H
2017-10-12 03:14,-0.126,L
2017-10-12 11:43,2.335,H
2017-10-12 16:56,1.764,L
2017-10-12 20:08,1.885,H
2017-10-13 04:16,-0.013,L
2017-10-13 12:39,2.371,H
2017-10-13 18:36,1.616,L
2017-10-13 21:35,1.747,H
2017-10-14 05:24,0.128,L
2017-10-14 13:25,2.385,H
2017-10-14 19:33,1.391,L
2017-10-14 23:39,1.683,H
2017-10-15 06:31,0.278,L
2017-10-15 14:04,2.379,H
2017-10-15 20:17,1.134,L
2017-10-16 01:22,1.734,H
2017-10-16 07:31,0.440,L
2017-10-16 14:39,2.355,H
2017-10-16 20:55,0.871,L
2017-10-17 02:38,1.831,H
2017-10-17 08:24,0.616,L
2017-10-17 15:10,2.319,H
2017-10-17 21:30,0.625,L
2017-10-18 03:43,1.939,H
2017-10-18 09:12,0.804,L
2017-10-18 15:36,2.271,H
2017-10-18 22:04,0.414,L
2017-10-19 04:40,2.038,H
2017-10-19 09:56,0.994,L
2017-10-19 15:58,2.217,H
2017-10-19 22:35,0.249,L
2017-10-20 05:32,2.116,H
2017-10-20 10:37,1.179,L
2017-10-20 16:15,2.159,H
2017-10-20 23:06,0.134,L
2017-10-21 06:22,2.168,H
2017-10-21 11:18,1.352,L
2017-10-21 16:32,2.101,H
2017-10-21 23:38,0.067,L
2017-10-22 07:12,2.197,H
2017-10-22 12:00,1.508,L
2017-10-22 16:50,2.045,H
2017-10-23 00:11,0.045,L
2017-10-23 08:05,2.211,H
2017-10-23 12:47,1.639,L
2017-10-23 17:10,1.986,H
2017-10-24 00:47,0.061,L
2017-10-24 09:01,2.217,H
2017-10-24 13:44,1.736,L
2017-10-24 17:31,1.922,H
2017-10-25 01:26,0.111,L
2017-10-25 09:59,2.224,H
2017-10-25 14:58,1.787,L
2017-10-25 17:51,1.848,H
2017-10-26 02:09,0.185,L
2017-10-26 10:57,2.239,H
2017-10-27 02:56,0.277,L
2017-10-27 11:48,2.260,H
2017-10-28 03:47,0.382,L
2017-10-28 12:29,2.280,H
2017-10-29 04:43,0.493,L
2017-10-29 13:02,2.294,H
2017-10-29 19:45,1.318,L
2017-10-29 23:00,1.460,H
2017-10-30 05:42,0.606,L
2017-10-30 13:29,2.302,H
2017-10-30 20:02,1.093,L
2017-10-31 00:57,1.543,H
2017-10-31 06:41,0.724,L
2017-10-31 13:50,2.307,H
2017-10-31 20:25,0.825,L
