Date Time, Prediction, Type
2017-10-01 06:13,0.359,L
2017-10-01 14:00,2.114,H
2017-10-01 19:45,1.236,L
2017-10-02 00:30,1.707,H
2017-10-02 07:00,0.351,L
2017-10-02 14:22,2.135,H
2017-10-02 20:04,1.068,L
2017-10-03 01:30,1.801,H
2017-10-03 07:43,0.367,L
2017-10-03 14:43,2.160,H
2017-10-03 20:29,0.859,L
2017-10-04 02:24,1.905,H
2017-10-04 08:23,0.424,L
2017-10-04 15:07,2.190,H
2017-10-04 20:58,0.619,L
2017-10-05 03:16,2.005,H
2017-10-05 09:03,0.528,L
2017-10-05 15:33,2.219,H
2017-10-05 21:33,0.367,L
2017-10-06 04:08,2.088,H
2017-10-06 09:44,0.681,L
2017-10-06 16:02,2.239,H
2017-10-06 22:11,0.130,L
2017-10-07 05:02,2.149,H
2017-10-07 10:26,0.871,L
2017-10-07 16:33,2.242,H
2017-10-07 22:53,-0.065,L
2017-10-08 05:59,2.183,H
2017-10-08 11:12,1.082,L
2017-10-08 17:07,2.221,H
2017-10-08 23:38,-0.195,L
2017-10-09 07:00,2.193,H
2017-10-09 12:03,1.289,L
2017-10-09 17:45,2.171,H
2017-10-10 00:28,-0.247,L
2017-10-10 08:07,2.187,H
2017-10-10 13:03,1.464,L
2017-10-10 18:27,2.088,H
2017-10-11 01:23,-0.220,L
2017-10-11 09:20,2.184,H
2017-10-11 14:17,1.573,L
2017-10-11 19:18,1.976,H
2017-10-12 02:23,-0.131,L
2017-10-12 10:37,2.204,H
2017-10-12 15:52,1.575,L
2017-10-12 20:23,1.848,H
2017-10-13 03:29,-0.008,L
2017-10-13 11:45,2.244,H
2017-10-13 17:32,1.450,L
2017-10-13 21:44,1.741,H
2017-10-14 04:39,0.123,L
2017-10-14 12:39,2.283,H
2017-10-14 18:38,1.248,L
2017-10-14 23:17,1.705,H
2017-10-15 05:45,0.252,L
2017-10-15 13:23,2.306,H
2017-10-15 19:23,1.017,L
2017-10-16 00:46,1.756,H
2017-10-16 06:44,0.387,L
2017-10-16 14:00,2.309,H
2017-10-16 19:59,0.781,L
2017-10-17 01:59,1.857,H
2017-10-17 07:36,0.539,L
2017-10-17 14:31,2.293,H
2017-10-17 20:32,0.558,L
2017-10-18 02:59,1.962,H
2017-10-18 08:22,0.708,L
2017-10-18 14:57,2.262,H
2017-10-18 21:03,0.358,L
2017-10-19 03:52,2.053,H
2017-10-19 09:05,0.891,L
2017-10-19 15:21,2.223,H
2017-10-19 21:35,0.194,L
2017-10-20 04:41,2.123,H
2017-10-20 09:47,1.074,L
2017-10-20 15:44,2.177,H
2017-10-20 22:08,0.070,L
2017-10-21 05:29,2.174,H
2017-10-21 10:29,1.250,L
2017-10-21 16:08,2.123,H
2017-10-21 22:42,-0.004,L
2017-10-22 06:15,2.204,H
2017-10-22 11:15,1.407,L
2017-10-22 16:35,2.057,H
2017-10-22 23:18,-0.029,L
2017-10-23 07:03,2.218,H
2017-10-23 12:07,1.536,L
2017-10-23 17:04,1.975,H
2017-10-23 23:57,-0.005,L
2017-10-24 07:53,2.214,H
2017-10-24 13:08,1.629,L
2017-10-24 17:37,1.877,H
2017-10-25 00:39,0.061,L
2017-10-25 08:47,2.201,H
2017-10-25 14:36,1.665,L
2017-10-25 18:16,1.769,H
2017-10-26 01:25,0.158,L
2017-10-26 09:47,2.187,H
2017-10-26 16:55,1.612,L
2017-10-26 19:04,1.655,H
2017-10-27 02:17,0.270,L
2017-10-27 10:46,2.182,H
2017-10-27 18:05,1.499,L
2017-10-27 20:10,1.550,H
2017-10-28 03:16,0.381,L
2017-10-28 11:34,2.186,H
2017-10-28 18:41,1.364,L
2017-10-28 21:31,1.482,H
2017-10-29 04:17,0.478,L
2017-10-29 12:12,2.195,H
2017-10-29 19:00,1.205,L
2017-10-29 22:58,1.486,H
2017-10-30 05:17,0.562,L
2017-10-30 12:42,2.210,H
2017-10-30 19:13,1.005,L
2017-10-31 00:21,1.573,H
2017-10-31 06:11,0.648,L
2017-10-31 13:09,2.233,H
2017-10-31 19:32,0.756,L
