Date Time, Prediction, Type
2017-11-01 02:23,1.917,H
2017-11-01 07:27,0.782,L
2017-11-01 14:28,2.523,H
2017-11-01 20:24,0.488,L
2017-11-02 03:23,2.110,H
2017-11-02 08:13,0.913,L
2017-11-02 14:56,2.561,H
2017-11-02 20:56,0.168,L
2017-11-03 04:17,2.302,H
2017-11-03 08:58,1.068,L
2017-11-03 15:26,2.595,H
2017-11-03 21:32,-0.132,L
2017-11-04 05:10,2.473,H
2017-11-04 09:44,1.240,L
2017-11-04 15:58,2.612,H
2017-11-04 22:12,-0.378,L
2017-11-05 06:04,2.605,H
2017-11-05 10:31,1.413,L
2017-11-05 16:33,2.599,H
2017-11-05 22:55,-0.538,L
2017-11-06 06:59,2.690,H
2017-11-06 11:23,1.569,L
2017-11-06 17:11,2.544,H
2017-11-06 23:41,-0.592,L
2017-11-07 07:56,2.730,H
2017-11-07 12:21,1.686,L
2017-11-07 17:54,2.440,H
2017-11-08 00:30,-0.538,L
2017-11-08 08:55,2.737,H
2017-11-08 13:29,1.742,L
2017-11-08 18:44,2.284,H
2017-11-09 01:23,-0.386,L
2017-11-09 09:56,2.725,H
2017-11-09 14:57,1.708,L
2017-11-09 19:45,2.087,H
2017-11-10 02:21,-0.162,L
2017-11-10 10:57,2.711,H
2017-11-10 16:50,1.547,L
2017-11-10 21:02,1.883,H
2017-11-11 03:24,0.104,L
2017-11-11 11:53,2.699,H
2017-11-11 18:11,1.294,L
2017-11-11 22:36,1.732,H
2017-11-12 04:30,0.379,L
2017-11-12 12:43,2.687,H
2017-11-12 19:03,1.010,L
2017-11-13 00:28,1.718,H
2017-11-13 05:37,0.640,L
2017-11-13 13:24,2.668,H
2017-11-13 19:42,0.731,L
2017-11-14 02:05,1.853,H
2017-11-14 06:39,0.880,L
2017-11-14 13:59,2.635,H
2017-11-14 20:14,0.476,L
2017-11-15 03:16,2.048,H
2017-11-15 07:35,1.099,L
2017-11-15 14:29,2.592,H
2017-11-15 20:42,0.255,L
2017-11-16 04:14,2.236,H
2017-11-16 08:25,1.297,L
2017-11-16 14:54,2.543,H
2017-11-16 21:09,0.072,L
2017-11-17 05:03,2.394,H
2017-11-17 09:11,1.469,L
2017-11-17 15:17,2.493,H
2017-11-17 21:37,-0.070,L
2017-11-18 05:48,2.514,H
2017-11-18 09:56,1.611,L
2017-11-18 15:40,2.440,H
2017-11-18 22:07,-0.167,L
2017-11-19 06:29,2.597,H
2017-11-19 10:41,1.721,L
2017-11-19 16:05,2.379,H
2017-11-19 22:40,-0.215,L
2017-11-20 07:09,2.647,H
2017-11-20 11:29,1.799,L
2017-11-20 16:34,2.304,H
2017-11-20 23:14,-0.216,L
2017-11-21 07:47,2.670,H
2017-11-21 12:22,1.843,L
2017-11-21 17:05,2.208,H
2017-11-21 23:51,-0.171,L
2017-11-22 08:27,2.671,H
2017-11-22 13:27,1.849,L
2017-11-22 17:40,2.093,H
2017-11-23 00:31,-0.084,L
2017-11-23 09:07,2.660,H
2017-11-23 15:09,1.804,L
2017-11-23 18:20,1.960,H
2017-11-24 01:13,0.040,L
2017-11-24 09:48,2.640,H
2017-11-24 17:15,1.684,L
2017-11-24 19:12,1.813,H
2017-11-25 01:59,0.195,L
2017-11-25 10:30,2.621,H
2017-11-25 18:03,1.525,L
2017-11-25 20:24,1.666,H
2017-11-26 02:49,0.375,L
2017-11-26 11:09,2.606,H
2017-11-26 18:26,1.338,L
2017-11-26 21:50,1.558,H
2017-11-27 03:45,0.573,L
2017-11-27 11:46,2.600,H
2017-11-27 18:37,1.107,L
2017-11-27 23:27,1.543,H
2017-11-28 04:45,0.779,L
2017-11-28 12:21,2.607,H
2017-11-28 18:55,0.821,L
2017-11-29 01:07,1.661,H
2017-11-29 05:45,0.982,L
2017-11-29 12:54,2.627,H
2017-11-29 19:21,0.489,L
2017-11-30 02:30,1.887,H
2017-11-30 06:42,1.176,L
2017-11-30 13:26,2.660,H
2017-11-30 19:53,0.132,L
