Date Time, Prediction, Type
2017-10-01 00:13,1.832,H
2017-10-01 06:39,0.375,L
2017-10-01 14:52,2.354,H
2017-10-01 20:11,1.293,L
2017-10-02 01:22,1.901,H
2017-10-02 07:26,0.367,L
2017-10-02 15:14,2.377,H
2017-10-02 20:30,1.117,L
2017-10-03 02:22,2.006,H
2017-10-03 08:09,0.384,L
2017-10-03 15:35,2.406,H
2017-10-03 20:55,0.898,L
2017-10-04 03:16,2.122,H
2017-10-04 08:49,0.443,L
2017-10-04 15:59,2.439,H
2017-10-04 21:24,0.647,L
2017-10-05 04:08,2.232,H
2017-10-05 09:29,0.552,L
2017-10-05 16:25,2.472,H
2017-10-05 21:59,0.384,L
2017-10-06 05:00,2.326,H
2017-10-06 10:10,0.712,L
2017-10-06 16:54,2.493,H
2017-10-06 22:37,0.136,L
2017-10-07 05:54,2.393,H
2017-10-07 10:52,0.911,L
2017-10-07 17:25,2.497,H
2017-10-07 23:19,-0.068,L
2017-10-08 06:51,2.431,H
2017-10-08 11:38,1.132,L
2017-10-08 17:59,2.474,H
2017-10-09 00:04,-0.204,L
2017-10-09 07:52,2.442,H
2017-10-09 12:29,1.348,L
2017-10-09 18:37,2.418,H
2017-10-10 00:54,-0.259,L
2017-10-10 08:59,2.435,H
2017-10-10 13:29,1.531,L
2017-10-10 19:19,2.326,H
2017-10-11 01:49,-0.230,L
2017-10-11 10:12,2.432,H
2017-10-11 14:43,1.645,L
2017-10-11 20:10,2.200,H
2017-10-12 02:49,-0.137,L
2017-10-12 11:29,2.454,H
2017-10-12 16:18,1.647,L
2017-10-12 21:15,2.058,H
2017-10-13 03:55,-0.008,L
2017-10-13 12:37,2.499,H
2017-10-13 17:58,1.516,L
2017-10-13 22:36,1.938,H
2017-10-14 05:05,0.129,L
2017-10-14 13:31,2.542,H
2017-10-14 19:04,1.305,L
2017-10-15 00:09,1.898,H
2017-10-15 06:11,0.263,L
2017-10-15 14:15,2.569,H
2017-10-15 19:49,1.064,L
2017-10-16 01:38,1.956,H
2017-10-16 07:10,0.405,L
2017-10-16 14:52,2.572,H
2017-10-16 20:25,0.817,L
2017-10-17 02:51,2.068,H
2017-10-17 08:02,0.563,L
2017-10-17 15:23,2.554,H
2017-10-17 20:58,0.583,L
2017-10-18 03:51,2.185,H
2017-10-18 08:48,0.741,L
2017-10-18 15:49,2.520,H
2017-10-18 21:29,0.374,L
2017-10-19 04:44,2.286,H
2017-10-19 09:31,0.931,L
2017-10-19 16:13,2.475,H
2017-10-19 22:01,0.202,L
2017-10-20 05:33,2.364,H
2017-10-20 10:13,1.123,L
2017-10-20 16:36,2.425,H
2017-10-20 22:34,0.074,L
2017-10-21 06:21,2.421,H
2017-10-21 10:55,1.306,L
2017-10-21 17:00,2.365,H
2017-10-21 23:08,-0.005,L
2017-10-22 07:07,2.455,H
2017-10-22 11:41,1.471,L
2017-10-22 17:27,2.290,H
2017-10-22 23:44,-0.030,L
2017-10-23 07:55,2.470,H
2017-10-23 12:33,1.606,L
2017-10-23 17:56,2.199,H
2017-10-24 00:23,-0.006,L
2017-10-24 08:45,2.466,H
2017-10-24 13:34,1.703,L
2017-10-24 18:29,2.090,H
2017-10-25 01:05,0.063,L
2017-10-25 09:39,2.451,H
2017-10-25 15:02,1.741,L
2017-10-25 19:08,1.970,H
2017-10-26 01:51,0.165,L
2017-10-26 10:39,2.435,H
2017-10-26 17:21,1.685,L
2017-10-26 19:56,1.843,H
2017-10-27 02:43,0.282,L
2017-10-27 11:38,2.430,H
2017-10-27 18:31,1.567,L
2017-10-27 21:02,1.726,H
2017-10-28 03:42,0.398,L
2017-10-28 12:26,2.434,H
2017-10-28 19:07,1.426,L
2017-10-28 22:23,1.650,H
2017-10-29 04:43,0.500,L
2017-10-29 13:04,2.444,H
2017-10-29 19:26,1.259,L
2017-10-29 23:50,1.655,H
2017-10-30 05:43,0.588,L
2017-10-30 13:34,2.461,H
2017-10-30 19:39,1.051,L
2017-10-31 01:13,1.752,H
2017-10-31 06:37,0.677,L
2017-10-31 14:01,2.487,H
2017-10-31 19:58,0.790,L
