Date Time, Prediction, Type
2018-11-01 03:28,0.002,L
2018-11-01 11:56,2.531,H
2018-11-01 17:58,1.396,L
2018-11-01 22:08,1.756,H
2018-11-02 04:36,0.183,L
2018-11-02 12:44,2.551,H
2018-11-02 18:45,1.121,L
2018-11-02 23:51,1.742,H
2018-11-03 05:41,0.371,L
2018-11-03 13:23,2.566,H
2018-11-03 19:24,0.818,L
2018-11-04 01:25,1.851,H
2018-11-04 06:41,0.568,L
2018-11-04 13:58,2.571,H
2018-11-04 19:59,0.511,L
2018-11-05 02:41,2.024,H
2018-11-05 07:36,0.778,L
2018-11-05 14:28,2.563,H
2018-11-05 20:34,0.229,L
2018-11-06 03:45,2.202,H
2018-11-06 08:26,0.994,L
2018-11-06 14:56,2.540,H
2018-11-06 21:09,-0.006,L
2018-11-07 04:41,2.356,H
2018-11-07 09:14,1.206,L
2018-11-07 15:24,2.498,H
2018-11-07 21:44,-0.177,L
2018-11-08 05:33,2.474,H
2018-11-08 10:02,1.398,L
2018-11-08 15:51,2.434,H
2018-11-08 22:20,-0.273,L
2018-11-09 06:23,2.552,H
2018-11-09 10:51,1.559,L
2018-11-09 16:18,2.347,H
2018-11-09 22:57,-0.296,L
2018-11-10 07:12,2.592,H
2018-11-10 11:46,1.679,L
2018-11-10 16:48,2.240,H
2018-11-10 23:36,-0.252,L
2018-11-11 08:02,2.597,H
2018-11-11 12:51,1.749,L
2018-11-11 17:20,2.113,H
2018-11-12 00:17,-0.151,L
2018-11-12 08:53,2.579,H
2018-11-12 14:26,1.753,L
2018-11-12 17:56,1.971,H
2018-11-13 01:01,-0.009,L
2018-11-13 09:45,2.548,H
2018-11-13 16:46,1.660,L
2018-11-13 18:42,1.817,H
2018-11-14 01:49,0.160,L
2018-11-14 10:36,2.514,H
2018-11-14 17:54,1.514,L
2018-11-14 19:46,1.663,H
2018-11-15 02:42,0.341,L
2018-11-15 11:22,2.484,H
2018-11-15 18:34,1.347,L
2018-11-15 21:09,1.536,H
2018-11-16 03:41,0.518,L
2018-11-16 11:59,2.460,H
2018-11-16 19:01,1.167,L
2018-11-16 22:45,1.483,H
2018-11-17 04:41,0.685,L
2018-11-17 12:29,2.447,H
2018-11-17 19:20,0.968,L
2018-11-18 00:28,1.545,H
2018-11-18 05:39,0.840,L
2018-11-18 12:55,2.445,H
2018-11-18 19:35,0.743,L
2018-11-19 01:52,1.703,H
2018-11-19 06:32,0.993,L
2018-11-19 13:20,2.457,H
2018-11-19 19:53,0.488,L
2018-11-20 02:53,1.905,H
2018-11-20 07:20,1.144,L
2018-11-20 13:46,2.476,H
2018-11-20 20:17,0.213,L
2018-11-21 03:43,2.114,H
2018-11-21 08:06,1.296,L
2018-11-21 14:13,2.497,H
2018-11-21 20:47,-0.061,L
2018-11-22 04:30,2.309,H
2018-11-22 08:50,1.443,L
2018-11-22 14:42,2.512,H
2018-11-22 21:20,-0.307,L
2018-11-23 05:16,2.476,H
2018-11-23 09:35,1.579,L
2018-11-23 15:12,2.512,H
2018-11-23 21:58,-0.498,L
2018-11-24 06:04,2.603,H
2018-11-24 10:23,1.692,L
2018-11-24 15:45,2.486,H
2018-11-24 22:39,-0.611,L
2018-11-25 06:52,2.684,H
2018-11-25 11:14,1.773,L
2018-11-25 16:22,2.424,H
2018-11-25 23:24,-0.631,L
2018-11-26 07:43,2.724,H
2018-11-26 12:13,1.807,L
2018-11-26 17:06,2.315,H
2018-11-27 00:12,-0.555,L
2018-11-27 08:35,2.731,H
2018-11-27 13:24,1.777,L
2018-11-27 18:00,2.155,H
2018-11-28 01:04,-0.389,L
2018-11-28 09:28,2.722,H
2018-11-28 14:53,1.657,L
2018-11-28 19:09,1.951,H
2018-11-29 01:59,-0.149,L
2018-11-29 10:19,2.706,H
2018-11-29 16:36,1.429,L
2018-11-29 20:35,1.743,H
2018-11-30 02:59,0.144,L
2018-11-30 11:07,2.690,H
2018-11-30 17:44,1.128,L
2018-11-30 22:18,1.606,H
