Date Time, Prediction, Type
2018-10-01 01:54,-0.064,L
2018-10-01 10:06,2.180,H
2018-10-01 14:34,1.601,L
2018-10-01 19:53,2.120,H
2018-10-02 02:54,-0.071,L
2018-10-02 11:31,2.232,H
2018-10-02 16:00,1.654,L
2018-10-02 20:51,2.040,H
2018-10-03 03:59,-0.055,L
2018-10-03 12:41,2.313,H
2018-10-03 17:28,1.587,L
2018-10-03 22:08,1.973,H
2018-10-04 05:07,-0.031,L
2018-10-04 13:33,2.388,H
2018-10-04 18:34,1.420,L
2018-10-04 23:34,1.957,H
2018-10-05 06:11,0.008,L
2018-10-05 14:13,2.444,H
2018-10-05 19:23,1.191,L
2018-10-06 00:58,2.010,H
2018-10-06 07:09,0.079,L
2018-10-06 14:48,2.480,H
2018-10-06 20:06,0.924,L
2018-10-07 02:12,2.104,H
2018-10-07 08:01,0.200,L
2018-10-07 15:20,2.497,H
2018-10-07 20:46,0.649,L
2018-10-08 03:17,2.203,H
2018-10-08 08:48,0.372,L
2018-10-08 15:49,2.497,H
2018-10-08 21:26,0.392,L
2018-10-09 04:17,2.282,H
2018-10-09 09:34,0.589,L
2018-10-09 16:18,2.479,H
2018-10-09 22:06,0.177,L
2018-10-10 05:14,2.335,H
2018-10-10 10:19,0.832,L
2018-10-10 16:47,2.436,H
2018-10-10 22:46,0.025,L
2018-10-11 06:11,2.364,H
2018-10-11 11:06,1.077,L
2018-10-11 17:16,2.366,H
2018-10-11 23:27,-0.055,L
2018-10-12 07:09,2.371,H
2018-10-12 11:57,1.305,L
2018-10-12 17:46,2.271,H
2018-10-13 00:10,-0.064,L
2018-10-13 08:10,2.364,H
2018-10-13 12:55,1.492,L
2018-10-13 18:18,2.154,H
2018-10-14 00:54,-0.009,L
2018-10-14 09:17,2.352,H
2018-10-14 14:11,1.617,L
2018-10-14 18:54,2.020,H
2018-10-15 01:43,0.093,L
2018-10-15 10:30,2.347,H
2018-10-15 16:15,1.639,L
2018-10-15 19:36,1.880,H
2018-10-16 02:37,0.219,L
2018-10-16 11:40,2.358,H
2018-10-16 18:00,1.553,L
2018-10-16 20:34,1.749,H
2018-10-17 03:38,0.342,L
2018-10-17 12:37,2.369,H
2018-10-17 18:57,1.427,L
2018-10-17 21:50,1.652,H
2018-10-18 04:42,0.441,L
2018-10-18 13:20,2.372,H
2018-10-18 19:32,1.289,L
2018-10-18 23:19,1.626,H
2018-10-19 05:44,0.513,L
2018-10-19 13:52,2.364,H
2018-10-19 19:56,1.140,L
2018-10-20 00:43,1.684,H
2018-10-20 06:37,0.574,L
2018-10-20 14:15,2.353,H
2018-10-20 20:13,0.973,L
2018-10-21 01:50,1.795,H
2018-10-21 07:23,0.642,L
2018-10-21 14:34,2.352,H
2018-10-21 20:29,0.779,L
2018-10-22 02:45,1.925,H
2018-10-22 08:04,0.731,L
2018-10-22 14:53,2.364,H
2018-10-22 20:51,0.559,L
2018-10-23 03:34,2.058,H
2018-10-23 08:43,0.847,L
2018-10-23 15:15,2.381,H
2018-10-23 21:17,0.324,L
2018-10-24 04:21,2.186,H
2018-10-24 09:21,0.989,L
2018-10-24 15:40,2.393,H
2018-10-24 21:48,0.094,L
2018-10-25 05:08,2.299,H
2018-10-25 10:00,1.150,L
2018-10-25 16:07,2.392,H
2018-10-25 22:23,-0.108,L
2018-10-26 05:58,2.391,H
2018-10-26 10:43,1.321,L
2018-10-26 16:36,2.372,H
2018-10-26 23:02,-0.262,L
2018-10-27 06:51,2.453,H
2018-10-27 11:29,1.484,L
2018-10-27 17:07,2.329,H
2018-10-27 23:45,-0.348,L
2018-10-28 07:47,2.486,H
2018-10-28 12:22,1.623,L
2018-10-28 17:41,2.260,H
2018-10-29 00:32,-0.356,L
2018-10-29 08:49,2.497,H
2018-10-29 13:26,1.712,L
2018-10-29 18:22,2.159,H
2018-10-30 01:25,-0.290,L
2018-10-30 09:54,2.500,H
2018-10-30 14:49,1.722,L
2018-10-30 19:17,2.024,H
2018-10-31 02:24,-0.164,L
2018-10-31 10:59,2.511,H
2018-10-31 16:35,1.613,L
2018-10-31 20:34,1.872,H
