Date Time, Prediction, Type
2018-11-01 04:17,0.002,L
2018-11-01 12:21,2.531,H
2018-11-01 18:47,1.507,L
2018-11-01 22:33,1.756,H
2018-11-02 05:25,0.198,L
2018-11-02 13:09,2.551,H
2018-11-02 19:34,1.210,L
2018-11-03 00:16,1.742,H
2018-11-03 06:30,0.401,L
2018-11-03 13:48,2.566,H
2018-11-03 20:13,0.883,L
2018-11-04 01:50,1.851,H
2018-11-04 07:30,0.614,L
2018-11-04 14:23,2.571,H
2018-11-04 20:48,0.552,L
2018-11-05 03:06,2.024,H
2018-11-05 08:25,0.840,L
2018-11-05 14:53,2.563,H
2018-11-05 21:23,0.247,L
2018-11-06 04:10,2.202,H
2018-11-06 09:15,1.074,L
2018-11-06 15:21,2.540,H
2018-11-06 21:58,-0.007,L
2018-11-07 05:06,2.356,H
2018-11-07 10:03,1.302,L
2018-11-07 15:49,2.498,H
2018-11-07 22:33,-0.191,L
2018-11-08 05:58,2.474,H
2018-11-08 10:51,1.510,L
2018-11-08 16:16,2.434,H
2018-11-08 23:09,-0.295,L
2018-11-09 06:48,2.552,H
2018-11-09 11:40,1.683,L
2018-11-09 16:43,2.347,H
2018-11-09 23:46,-0.319,L
2018-11-10 07:37,2.592,H
2018-11-10 12:35,1.813,L
2018-11-10 17:13,2.240,H
2018-11-11 00:25,-0.272,L
2018-11-11 08:27,2.597,H
2018-11-11 13:40,1.888,L
2018-11-11 17:45,2.113,H
2018-11-12 01:06,-0.163,L
2018-11-12 09:18,2.579,H
2018-11-12 15:15,1.892,L
2018-11-12 18:21,1.971,H
2018-11-13 01:50,-0.010,L
2018-11-13 10:10,2.548,H
2018-11-14 02:38,0.173,L
2018-11-14 11:01,2.514,H
2018-11-15 03:31,0.368,L
2018-11-15 11:47,2.484,H
2018-11-15 19:23,1.454,L
2018-11-15 21:34,1.536,H
2018-11-16 04:30,0.560,L
2018-11-16 12:24,2.460,H
2018-11-16 19:50,1.260,L
2018-11-16 23:10,1.483,H
2018-11-17 05:30,0.739,L
2018-11-17 12:54,2.447,H
2018-11-17 20:09,1.045,L
2018-11-18 00:53,1.545,H
2018-11-18 06:28,0.907,L
2018-11-18 13:20,2.445,H
2018-11-18 20:24,0.802,L
2018-11-19 02:17,1.703,H
2018-11-19 07:21,1.072,L
2018-11-19 13:45,2.457,H
2018-11-19 20:42,0.526,L
2018-11-20 03:18,1.905,H
2018-11-20 08:09,1.235,L
2018-11-20 14:11,2.476,H
2018-11-20 21:06,0.230,L
2018-11-21 04:08,2.114,H
2018-11-21 08:55,1.399,L
2018-11-21 14:38,2.497,H
2018-11-21 21:36,-0.066,L
2018-11-22 04:55,2.309,H
2018-11-22 09:39,1.558,L
2018-11-22 15:07,2.512,H
2018-11-22 22:09,-0.332,L
2018-11-23 05:41,2.476,H
2018-11-23 10:24,1.704,L
2018-11-23 15:37,2.512,H
2018-11-23 22:47,-0.538,L
2018-11-24 06:29,2.603,H
2018-11-24 11:12,1.827,L
2018-11-24 16:10,2.486,H
2018-11-24 23:28,-0.659,L
2018-11-25 07:17,2.684,H
2018-11-25 12:03,1.914,L
2018-11-25 16:47,2.424,H
2018-11-26 00:13,-0.681,L
2018-11-26 08:08,2.724,H
2018-11-26 13:02,1.950,L
2018-11-26 17:31,2.315,H
2018-11-27 01:01,-0.599,L
2018-11-27 09:00,2.731,H
2018-11-27 14:13,1.918,L
2018-11-27 18:25,2.155,H
2018-11-28 01:53,-0.420,L
2018-11-28 09:53,2.722,H
2018-11-28 15:42,1.789,L
2018-11-28 19:34,1.951,H
2018-11-29 02:48,-0.161,L
2018-11-29 10:44,2.706,H
2018-11-29 17:25,1.543,L
2018-11-29 21:00,1.743,H
2018-11-30 03:48,0.156,L
2018-11-30 11:32,2.690,H
2018-11-30 18:33,1.218,L
2018-11-30 22:43,1.606,H
