Date Time, Prediction, Type
2018-10-01 02:43,-0.069,L
2018-10-01 10:31,2.180,H
2018-10-01 15:23,1.728,L
2018-10-01 20:18,2.120,H
2018-10-02 03:43,-0.077,L
2018-10-02 11:56,2.232,H
2018-10-02 16:49,1.786,L
2018-10-02 21:16,2.040,H
2018-10-03 04:48,-0.060,L
2018-10-03 13:06,2.313,H
2018-10-03 18:17,1.713,L
2018-10-03 22:33,1.973,H
2018-10-04 05:56,-0.033,L
2018-10-04 13:58,2.388,H
2018-10-04 19:23,1.533,L
2018-10-04 23:59,1.957,H
2018-10-05 07:00,0.009,L
2018-10-05 14:38,2.444,H
2018-10-05 20:12,1.285,L
2018-10-06 01:23,2.010,H
2018-10-06 07:58,0.085,L
2018-10-06 15:13,2.480,H
2018-10-06 20:55,0.997,L
2018-10-07 02:37,2.104,H
2018-10-07 08:50,0.216,L
2018-10-07 15:45,2.497,H
2018-10-07 21:35,0.700,L
2018-10-08 03:42,2.203,H
2018-10-08 09:37,0.402,L
2018-10-08 16:14,2.497,H
2018-10-08 22:15,0.423,L
2018-10-09 04:42,2.282,H
2018-10-09 10:23,0.636,L
2018-10-09 16:43,2.479,H
2018-10-09 22:55,0.191,L
2018-10-10 05:39,2.335,H
2018-10-10 11:08,0.898,L
2018-10-10 17:12,2.436,H
2018-10-10 23:35,0.027,L
2018-10-11 06:36,2.364,H
2018-10-11 11:55,1.163,L
2018-10-11 17:41,2.366,H
2018-10-12 00:16,-0.060,L
2018-10-12 07:34,2.371,H
2018-10-12 12:46,1.409,L
2018-10-12 18:11,2.271,H
2018-10-13 00:59,-0.069,L
2018-10-13 08:35,2.364,H
2018-10-13 13:44,1.611,L
2018-10-13 18:43,2.154,H
2018-10-14 01:43,-0.010,L
2018-10-14 09:42,2.352,H
2018-10-14 15:00,1.745,L
2018-10-14 19:19,2.020,H
2018-10-15 02:32,0.101,L
2018-10-15 10:55,2.347,H
2018-10-15 17:04,1.770,L
2018-10-15 20:01,1.880,H
2018-10-16 03:26,0.237,L
2018-10-16 12:05,2.358,H
2018-10-16 18:49,1.677,L
2018-10-16 20:59,1.749,H
2018-10-17 04:27,0.370,L
2018-10-17 13:02,2.369,H
2018-10-17 19:46,1.541,L
2018-10-17 22:15,1.652,H
2018-10-18 05:31,0.476,L
2018-10-18 13:45,2.372,H
2018-10-18 20:21,1.392,L
2018-10-18 23:44,1.626,H
2018-10-19 06:33,0.554,L
2018-10-19 14:17,2.364,H
2018-10-19 20:45,1.231,L
2018-10-20 01:08,1.684,H
2018-10-20 07:26,0.619,L
2018-10-20 14:40,2.353,H
2018-10-20 21:02,1.051,L
2018-10-21 02:15,1.795,H
2018-10-21 08:12,0.693,L
2018-10-21 14:59,2.352,H
2018-10-21 21:18,0.841,L
2018-10-22 03:10,1.925,H
2018-10-22 08:53,0.789,L
2018-10-22 15:18,2.364,H
2018-10-22 21:40,0.603,L
2018-10-23 03:59,2.058,H
2018-10-23 09:32,0.915,L
2018-10-23 15:40,2.381,H
2018-10-23 22:06,0.350,L
2018-10-24 04:46,2.186,H
2018-10-24 10:10,1.068,L
2018-10-24 16:05,2.393,H
2018-10-24 22:37,0.102,L
2018-10-25 05:33,2.299,H
2018-10-25 10:49,1.242,L
2018-10-25 16:32,2.392,H
2018-10-25 23:12,-0.117,L
2018-10-26 06:23,2.391,H
2018-10-26 11:32,1.426,L
2018-10-26 17:01,2.372,H
2018-10-26 23:51,-0.283,L
2018-10-27 07:16,2.453,H
2018-10-27 12:18,1.602,L
2018-10-27 17:32,2.329,H
2018-10-28 00:34,-0.375,L
2018-10-28 08:12,2.486,H
2018-10-28 13:11,1.752,L
2018-10-28 18:06,2.260,H
2018-10-29 01:21,-0.385,L
2018-10-29 09:14,2.497,H
2018-10-29 14:15,1.849,L
2018-10-29 18:47,2.159,H
2018-10-30 02:14,-0.314,L
2018-10-30 10:19,2.500,H
2018-10-30 15:38,1.859,L
2018-10-30 19:42,2.024,H
2018-10-31 03:13,-0.177,L
2018-10-31 11:24,2.511,H
2018-10-31 17:24,1.741,L
2018-10-31 20:59,1.872,H
