Date Time, Prediction, Type
2018-10-01 02:53,-0.008,L
2018-10-01 10:50,2.397,H
2018-10-01 15:41,1.879,L
2018-10-01 19:49,2.185,H
2018-10-02 03:50,-0.055,L
2018-10-02 12:05,2.483,H
2018-10-02 17:13,1.938,L
2018-10-02 20:42,2.086,H
2018-10-03 04:53,-0.067,L
2018-10-03 13:09,2.578,H
2018-10-03 18:55,1.842,L
2018-10-03 22:12,1.980,H
2018-10-04 06:02,-0.051,L
2018-10-04 13:59,2.656,H
2018-10-04 20:00,1.626,L
2018-10-04 23:59,1.942,H
2018-10-05 07:09,-0.010,L
2018-10-05 14:41,2.703,H
2018-10-05 20:45,1.343,L
2018-10-06 01:31,2.007,H
2018-10-06 08:10,0.076,L
2018-10-06 15:19,2.720,H
2018-10-06 21:26,1.023,L
2018-10-07 02:48,2.131,H
2018-10-07 09:06,0.224,L
2018-10-07 15:53,2.710,H
2018-10-07 22:06,0.699,L
2018-10-08 03:57,2.269,H
2018-10-08 09:58,0.434,L
2018-10-08 16:26,2.676,H
2018-10-08 22:46,0.404,L
2018-10-09 05:00,2.394,H
2018-10-09 10:47,0.689,L
2018-10-09 16:56,2.619,H
2018-10-09 23:25,0.168,L
2018-10-10 05:58,2.485,H
2018-10-10 11:35,0.969,L
2018-10-10 17:25,2.537,H
2018-10-11 00:04,0.010,L
2018-10-11 06:55,2.532,H
2018-10-11 12:23,1.246,L
2018-10-11 17:53,2.433,H
2018-10-12 00:43,-0.065,L
2018-10-12 07:52,2.541,H
2018-10-12 13:13,1.498,L
2018-10-12 18:18,2.312,H
2018-10-13 01:23,-0.063,L
2018-10-13 08:53,2.527,H
2018-10-13 14:10,1.703,L
2018-10-13 18:41,2.181,H
2018-10-14 02:04,-0.003,L
2018-10-14 09:57,2.507,H
2018-10-14 15:20,1.838,L
2018-10-14 19:00,2.046,H
2018-10-15 02:49,0.095,L
2018-10-15 11:02,2.494,H
2018-10-15 16:57,1.877,L
2018-10-15 19:12,1.913,H
2018-10-16 03:37,0.210,L
2018-10-16 12:04,2.494,H
2018-10-17 04:31,0.327,L
2018-10-17 12:58,2.504,H
2018-10-18 05:30,0.432,L
2018-10-18 13:39,2.514,H
2018-10-18 20:40,1.458,L
2018-10-18 23:49,1.574,H
2018-10-19 06:31,0.520,L
2018-10-19 14:13,2.519,H
2018-10-19 20:55,1.267,L
2018-10-20 01:20,1.641,H
2018-10-20 07:27,0.602,L
2018-10-20 14:42,2.521,H
2018-10-20 21:16,1.052,L
2018-10-21 02:28,1.771,H
2018-10-21 08:17,0.695,L
2018-10-21 15:08,2.517,H
2018-10-21 21:39,0.820,L
2018-10-22 03:25,1.931,H
2018-10-22 09:02,0.814,L
2018-10-22 15:31,2.508,H
2018-10-22 22:04,0.578,L
2018-10-23 04:17,2.105,H
2018-10-23 09:45,0.962,L
2018-10-23 15:54,2.491,H
2018-10-23 22:31,0.338,L
2018-10-24 05:07,2.279,H
2018-10-24 10:29,1.138,L
2018-10-24 16:17,2.467,H
2018-10-24 23:01,0.111,L
2018-10-25 05:55,2.439,H
2018-10-25 11:12,1.333,L
2018-10-25 16:39,2.436,H
2018-10-25 23:33,-0.089,L
2018-10-26 06:44,2.571,H
2018-10-26 11:58,1.536,L
2018-10-26 17:02,2.399,H
2018-10-27 00:09,-0.247,L
2018-10-27 07:36,2.666,H
2018-10-27 12:47,1.731,L
2018-10-27 17:26,2.353,H
2018-10-28 00:48,-0.347,L
2018-10-28 08:33,2.728,H
2018-10-28 13:45,1.893,L
2018-10-28 17:52,2.288,H
2018-10-29 01:31,-0.375,L
2018-10-29 09:34,2.766,H
2018-10-29 14:57,1.985,L
2018-10-29 18:21,2.189,H
2018-10-30 02:21,-0.326,L
2018-10-30 10:36,2.790,H
2018-10-30 16:27,1.966,L
2018-10-30 18:58,2.039,H
2018-10-31 03:17,-0.205,L
2018-10-31 11:35,2.806,H
2018-10-31 18:10,1.805,L
2018-10-31 20:14,1.837,H
