Date Time, Prediction, Type
2018-10-01 03:25,-0.073,L
2018-10-01 10:58,2.325,H
2018-10-01 16:05,1.819,L
2018-10-01 20:45,2.262,H
2018-10-02 04:25,-0.081,L
2018-10-02 12:23,2.379,H
2018-10-02 17:31,1.880,L
2018-10-02 21:43,2.177,H
2018-10-03 05:30,-0.063,L
2018-10-03 13:33,2.465,H
2018-10-03 18:59,1.803,L
2018-10-03 23:00,2.107,H
2018-10-04 06:38,-0.035,L
2018-10-04 14:25,2.544,H
2018-10-04 20:05,1.614,L
2018-10-05 00:26,2.090,H
2018-10-05 07:42,0.009,L
2018-10-05 15:05,2.603,H
2018-10-05 20:54,1.353,L
2018-10-06 01:50,2.146,H
2018-10-06 08:40,0.090,L
2018-10-06 15:40,2.640,H
2018-10-06 21:37,1.050,L
2018-10-07 03:04,2.245,H
2018-10-07 09:32,0.227,L
2018-10-07 16:12,2.658,H
2018-10-07 22:17,0.737,L
2018-10-08 04:09,2.349,H
2018-10-08 10:19,0.423,L
2018-10-08 16:41,2.658,H
2018-10-08 22:57,0.445,L
2018-10-09 05:09,2.432,H
2018-10-09 11:05,0.669,L
2018-10-09 17:10,2.639,H
2018-10-09 23:37,0.201,L
2018-10-10 06:06,2.488,H
2018-10-10 11:50,0.945,L
2018-10-10 17:39,2.594,H
2018-10-11 00:17,0.028,L
2018-10-11 07:03,2.518,H
2018-10-11 12:37,1.224,L
2018-10-11 18:08,2.521,H
2018-10-12 00:58,-0.063,L
2018-10-12 08:01,2.526,H
2018-10-12 13:28,1.483,L
2018-10-12 18:38,2.421,H
2018-10-13 01:41,-0.073,L
2018-10-13 09:02,2.518,H
2018-10-13 14:26,1.696,L
2018-10-13 19:10,2.297,H
2018-10-14 02:25,-0.010,L
2018-10-14 10:09,2.506,H
2018-10-14 15:42,1.837,L
2018-10-14 19:46,2.156,H
2018-10-15 03:14,0.106,L
2018-10-15 11:22,2.501,H
2018-10-15 17:46,1.863,L
2018-10-15 20:28,2.009,H
2018-10-16 04:08,0.249,L
2018-10-16 12:32,2.512,H
2018-10-16 19:31,1.765,L
2018-10-16 21:26,1.871,H
2018-10-17 05:09,0.389,L
2018-10-17 13:29,2.524,H
2018-10-17 20:28,1.622,L
2018-10-17 22:42,1.769,H
2018-10-18 06:13,0.501,L
2018-10-18 14:12,2.527,H
2018-10-18 21:03,1.465,L
2018-10-19 00:11,1.742,H
2018-10-19 07:15,0.583,L
2018-10-19 14:44,2.518,H
2018-10-19 21:27,1.296,L
2018-10-20 01:35,1.803,H
2018-10-20 08:08,0.652,L
2018-10-20 15:07,2.507,H
2018-10-20 21:44,1.106,L
2018-10-21 02:42,1.919,H
2018-10-21 08:54,0.729,L
2018-10-21 15:26,2.506,H
2018-10-21 22:00,0.885,L
2018-10-22 03:37,2.056,H
2018-10-22 09:35,0.831,L
2018-10-22 15:45,2.518,H
2018-10-22 22:22,0.635,L
2018-10-23 04:26,2.196,H
2018-10-23 10:14,0.963,L
2018-10-23 16:07,2.536,H
2018-10-23 22:48,0.368,L
2018-10-24 05:13,2.331,H
2018-10-24 10:52,1.124,L
2018-10-24 16:32,2.549,H
2018-10-24 23:19,0.107,L
2018-10-25 06:00,2.450,H
2018-10-25 11:31,1.307,L
2018-10-25 16:59,2.548,H
2018-10-25 23:54,-0.123,L
2018-10-26 06:50,2.547,H
2018-10-26 12:14,1.501,L
2018-10-26 17:28,2.527,H
2018-10-27 00:33,-0.298,L
2018-10-27 07:43,2.612,H
2018-10-27 13:00,1.686,L
2018-10-27 17:59,2.482,H
2018-10-28 01:16,-0.395,L
2018-10-28 08:39,2.647,H
2018-10-28 13:53,1.844,L
2018-10-28 18:33,2.409,H
2018-10-29 02:03,-0.405,L
2018-10-29 09:41,2.658,H
2018-10-29 14:57,1.946,L
2018-10-29 19:14,2.303,H
2018-10-30 02:56,-0.330,L
2018-10-30 10:46,2.662,H
2018-10-30 16:20,1.957,L
2018-10-30 20:09,2.160,H
2018-10-31 03:55,-0.186,L
2018-10-31 11:51,2.673,H
2018-10-31 18:06,1.833,L
2018-10-31 21:26,2.000,H
