Date Time, Prediction, Type
2018-10-01 02:54,0.036,L
2018-10-01 11:04,2.289,H
2018-10-01 15:31,1.864,L
2018-10-01 19:41,2.161,H
2018-10-02 03:52,-0.004,L
2018-10-02 12:18,2.372,H
2018-10-02 16:59,1.930,L
2018-10-02 20:33,2.082,H
2018-10-03 04:55,-0.009,L
2018-10-03 13:19,2.455,H
2018-10-03 18:45,1.854,L
2018-10-03 21:55,1.982,H
2018-10-04 06:03,0.015,L
2018-10-04 14:07,2.514,H
2018-10-04 19:52,1.656,L
2018-10-04 23:49,1.927,H
2018-10-05 07:09,0.067,L
2018-10-05 14:47,2.542,H
2018-10-05 20:39,1.388,L
2018-10-06 01:30,1.973,H
2018-10-06 08:10,0.162,L
2018-10-06 15:23,2.545,H
2018-10-06 21:21,1.080,L
2018-10-07 02:49,2.073,H
2018-10-07 09:05,0.315,L
2018-10-07 15:56,2.528,H
2018-10-07 22:02,0.766,L
2018-10-08 03:59,2.185,H
2018-10-08 09:56,0.523,L
2018-10-08 16:27,2.497,H
2018-10-08 22:42,0.479,L
2018-10-09 05:02,2.286,H
2018-10-09 10:44,0.769,L
2018-10-09 16:56,2.450,H
2018-10-09 23:21,0.248,L
2018-10-10 06:02,2.359,H
2018-10-10 11:31,1.032,L
2018-10-10 17:22,2.388,H
2018-10-11 00:00,0.092,L
2018-10-11 06:59,2.396,H
2018-10-11 12:16,1.290,L
2018-10-11 17:46,2.312,H
2018-10-12 00:39,0.017,L
2018-10-12 07:57,2.405,H
2018-10-12 13:04,1.521,L
2018-10-12 18:07,2.225,H
2018-10-13 01:19,0.013,L
2018-10-13 08:58,2.395,H
2018-10-13 13:58,1.710,L
2018-10-13 18:26,2.132,H
2018-10-14 02:01,0.066,L
2018-10-14 10:02,2.382,H
2018-10-14 15:05,1.837,L
2018-10-14 18:43,2.036,H
2018-10-15 02:46,0.154,L
2018-10-15 11:06,2.375,H
2018-10-15 16:35,1.883,L
2018-10-15 18:59,1.934,H
2018-10-16 03:35,0.260,L
2018-10-16 12:08,2.378,H
2018-10-17 04:28,0.368,L
2018-10-17 13:00,2.386,H
2018-10-18 05:27,0.467,L
2018-10-18 13:41,2.391,H
2018-10-18 20:21,1.520,L
2018-10-18 23:34,1.601,H
2018-10-19 06:27,0.553,L
2018-10-19 14:15,2.390,H
2018-10-19 20:42,1.330,L
2018-10-20 01:17,1.652,H
2018-10-20 07:23,0.635,L
2018-10-20 14:43,2.386,H
2018-10-20 21:05,1.114,L
2018-10-21 02:26,1.761,H
2018-10-21 08:12,0.728,L
2018-10-21 15:09,2.378,H
2018-10-21 21:30,0.881,L
2018-10-22 03:24,1.896,H
2018-10-22 08:57,0.846,L
2018-10-22 15:31,2.368,H
2018-10-22 21:57,0.639,L
2018-10-23 04:18,2.045,H
2018-10-23 09:40,0.991,L
2018-10-23 15:52,2.357,H
2018-10-23 22:26,0.400,L
2018-10-24 05:10,2.196,H
2018-10-24 10:23,1.162,L
2018-10-24 16:11,2.346,H
2018-10-24 22:57,0.177,L
2018-10-25 06:00,2.336,H
2018-10-25 11:06,1.353,L
2018-10-25 16:30,2.336,H
2018-10-25 23:30,-0.018,L
2018-10-26 06:50,2.452,H
2018-10-26 11:51,1.553,L
2018-10-26 16:52,2.326,H
2018-10-27 00:07,-0.168,L
2018-10-27 07:45,2.538,H
2018-10-27 12:40,1.744,L
2018-10-27 17:16,2.308,H
2018-10-28 00:47,-0.260,L
2018-10-28 08:44,2.596,H
2018-10-28 13:36,1.904,L
2018-10-28 17:43,2.270,H
2018-10-29 01:33,-0.282,L
2018-10-29 09:46,2.632,H
2018-10-29 14:47,1.999,L
2018-10-29 18:14,2.195,H
2018-10-30 02:23,-0.231,L
2018-10-30 10:48,2.655,H
2018-10-30 16:17,1.988,L
2018-10-30 18:53,2.065,H
2018-10-31 03:19,-0.113,L
2018-10-31 11:46,2.667,H
2018-10-31 18:00,1.844,L
2018-10-31 20:00,1.877,H
