Date Time, Prediction, Type
2018-11-01 03:58,0.038,L
2018-11-01 12:25,2.521,H
2018-11-01 18:55,1.539,L
2018-11-01 21:30,1.630,H
2018-11-02 05:01,0.250,L
2018-11-02 13:05,2.516,H
2018-11-02 19:35,1.237,L
2018-11-02 23:58,1.583,H
2018-11-03 06:08,0.483,L
2018-11-03 13:38,2.497,H
2018-11-03 20:12,0.903,L
2018-11-04 01:45,1.708,H
2018-11-04 07:14,0.720,L
2018-11-04 14:08,2.469,H
2018-11-04 20:48,0.569,L
2018-11-05 03:02,1.882,H
2018-11-05 08:11,0.959,L
2018-11-05 14:34,2.434,H
2018-11-05 21:24,0.266,L
2018-11-06 04:09,2.061,H
2018-11-06 09:05,1.192,L
2018-11-06 14:58,2.393,H
2018-11-06 22:00,0.021,L
2018-11-07 05:09,2.221,H
2018-11-07 09:57,1.408,L
2018-11-07 15:20,2.345,H
2018-11-07 22:35,-0.151,L
2018-11-08 06:03,2.344,H
2018-11-08 10:48,1.595,L
2018-11-08 15:41,2.288,H
2018-11-08 23:10,-0.243,L
2018-11-09 06:54,2.421,H
2018-11-09 11:38,1.746,L
2018-11-09 16:04,2.221,H
2018-11-09 23:44,-0.260,L
2018-11-10 07:46,2.461,H
2018-11-10 12:31,1.861,L
2018-11-10 16:27,2.144,H
2018-11-11 00:19,-0.214,L
2018-11-11 08:39,2.476,H
2018-11-11 13:41,1.931,L
2018-11-11 16:50,2.056,H
2018-11-12 00:56,-0.120,L
2018-11-12 09:31,2.476,H
2018-11-13 01:36,0.010,L
2018-11-13 10:22,2.467,H
2018-11-14 02:20,0.164,L
2018-11-14 11:09,2.453,H
2018-11-15 03:06,0.334,L
2018-11-15 11:51,2.438,H
2018-11-16 03:54,0.517,L
2018-11-16 12:26,2.422,H
2018-11-16 19:41,1.312,L
2018-11-16 21:57,1.361,H
2018-11-17 04:45,0.711,L
2018-11-17 12:53,2.404,H
2018-11-17 19:55,1.082,L
2018-11-18 00:56,1.414,H
2018-11-18 05:43,0.908,L
2018-11-18 13:14,2.388,H
2018-11-18 20:15,0.825,L
2018-11-19 02:14,1.584,H
2018-11-19 06:43,1.098,L
2018-11-19 13:31,2.379,H
2018-11-19 20:37,0.549,L
2018-11-20 03:17,1.788,H
2018-11-20 07:39,1.281,L
2018-11-20 13:47,2.381,H
2018-11-20 21:03,0.266,L
2018-11-21 04:15,2.007,H
2018-11-21 08:32,1.462,L
2018-11-21 14:07,2.390,H
2018-11-21 21:33,-0.005,L
2018-11-22 05:07,2.223,H
2018-11-22 09:25,1.639,L
2018-11-22 14:31,2.400,H
2018-11-22 22:07,-0.246,L
2018-11-23 05:56,2.413,H
2018-11-23 10:19,1.802,L
2018-11-23 14:59,2.402,H
2018-11-23 22:44,-0.433,L
2018-11-24 06:45,2.562,H
2018-11-24 11:13,1.942,L
2018-11-24 15:31,2.387,H
2018-11-24 23:23,-0.547,L
2018-11-25 07:36,2.663,H
2018-11-25 12:10,2.044,L
2018-11-25 16:06,2.345,H
2018-11-26 00:05,-0.568,L
2018-11-26 08:30,2.722,H
2018-11-26 13:19,2.087,L
2018-11-26 16:45,2.259,H
2018-11-27 00:51,-0.491,L
2018-11-27 09:22,2.746,H
2018-11-27 14:55,2.033,L
2018-11-27 17:28,2.116,H
2018-11-28 01:40,-0.318,L
2018-11-28 10:10,2.741,H
2018-11-28 16:23,1.861,L
2018-11-28 18:21,1.906,H
2018-11-29 02:32,-0.064,L
2018-11-29 10:55,2.716,H
2018-11-29 17:36,1.595,L
2018-11-29 19:46,1.650,H
2018-11-30 03:26,0.249,L
2018-11-30 11:36,2.679,H
2018-11-30 18:31,1.261,L
2018-11-30 22:14,1.464,H
