Date Time, Prediction, Type
2018-10-01 02:35,0.007,L
2018-10-01 10:58,2.106,H
2018-10-01 15:07,1.764,L
2018-10-01 19:20,2.038,H
2018-10-02 03:32,-0.039,L
2018-10-02 12:13,2.202,H
2018-10-02 16:31,1.832,L
2018-10-02 20:12,1.970,H
2018-10-03 04:33,-0.045,L
2018-10-03 13:09,2.293,H
2018-10-03 18:28,1.770,L
2018-10-03 21:31,1.885,H
2018-10-04 05:40,-0.016,L
2018-10-04 13:54,2.355,H
2018-10-04 19:35,1.588,L
2018-10-04 23:10,1.828,H
2018-10-05 06:47,0.042,L
2018-10-05 14:32,2.383,H
2018-10-05 20:19,1.341,L
2018-10-06 00:57,1.852,H
2018-10-06 07:47,0.142,L
2018-10-06 15:06,2.383,H
2018-10-06 21:00,1.055,L
2018-10-07 02:21,1.934,H
2018-10-07 08:41,0.297,L
2018-10-07 15:37,2.365,H
2018-10-07 21:40,0.759,L
2018-10-08 03:35,2.026,H
2018-10-08 09:31,0.502,L
2018-10-08 16:06,2.332,H
2018-10-08 22:20,0.483,L
2018-10-09 04:43,2.111,H
2018-10-09 10:19,0.741,L
2018-10-09 16:32,2.288,H
2018-10-09 22:59,0.255,L
2018-10-10 05:44,2.172,H
2018-10-10 11:05,0.992,L
2018-10-10 16:55,2.233,H
2018-10-10 23:38,0.095,L
2018-10-11 06:42,2.202,H
2018-10-11 11:50,1.235,L
2018-10-11 17:16,2.168,H
2018-10-12 00:17,0.010,L
2018-10-12 07:43,2.206,H
2018-10-12 12:36,1.453,L
2018-10-12 17:36,2.097,H
2018-10-13 00:56,-0.004,L
2018-10-13 08:48,2.201,H
2018-10-13 13:30,1.631,L
2018-10-13 17:56,2.018,H
2018-10-14 01:39,0.036,L
2018-10-14 09:53,2.201,H
2018-10-14 14:43,1.749,L
2018-10-14 18:18,1.932,H
2018-10-15 02:25,0.112,L
2018-10-15 10:58,2.209,H
2018-10-15 16:20,1.787,L
2018-10-15 18:40,1.837,H
2018-10-16 03:15,0.208,L
2018-10-16 11:58,2.228,H
2018-10-17 04:07,0.310,L
2018-10-17 12:48,2.248,H
2018-10-18 05:03,0.411,L
2018-10-18 13:28,2.262,H
2018-10-18 19:59,1.450,L
2018-10-18 22:32,1.518,H
2018-10-19 06:03,0.503,L
2018-10-19 14:00,2.266,H
2018-10-19 20:22,1.275,L
2018-10-20 00:48,1.547,H
2018-10-20 06:59,0.589,L
2018-10-20 14:27,2.260,H
2018-10-20 20:46,1.076,L
2018-10-21 02:01,1.645,H
2018-10-21 07:48,0.684,L
2018-10-21 14:50,2.247,H
2018-10-21 21:11,0.857,L
2018-10-22 03:01,1.763,H
2018-10-22 08:32,0.802,L
2018-10-22 15:08,2.233,H
2018-10-22 21:36,0.627,L
2018-10-23 03:59,1.892,H
2018-10-23 09:14,0.945,L
2018-10-23 15:24,2.220,H
2018-10-23 22:04,0.395,L
2018-10-24 04:52,2.025,H
2018-10-24 09:57,1.111,L
2018-10-24 15:40,2.212,H
2018-10-24 22:35,0.174,L
2018-10-25 05:43,2.149,H
2018-10-25 10:40,1.295,L
2018-10-25 16:00,2.207,H
2018-10-25 23:09,-0.021,L
2018-10-26 06:35,2.253,H
2018-10-26 11:25,1.486,L
2018-10-26 16:24,2.201,H
2018-10-26 23:45,-0.172,L
2018-10-27 07:31,2.331,H
2018-10-27 12:12,1.671,L
2018-10-27 16:51,2.187,H
2018-10-28 00:26,-0.265,L
2018-10-28 08:34,2.392,H
2018-10-28 13:08,1.829,L
2018-10-28 17:20,2.155,H
2018-10-29 01:11,-0.288,L
2018-10-29 09:39,2.441,H
2018-10-29 14:23,1.925,L
2018-10-29 17:52,2.090,H
2018-10-30 02:03,-0.241,L
2018-10-30 10:41,2.481,H
2018-10-30 16:02,1.916,L
2018-10-30 18:31,1.974,H
2018-10-31 02:59,-0.130,L
2018-10-31 11:37,2.508,H
