Date Time, Prediction, Type
2018-10-01 02:47,-0.066,L
2018-10-01 10:30,2.066,H
2018-10-01 15:27,1.637,L
2018-10-01 20:17,2.009,H
2018-10-02 03:47,-0.073,L
2018-10-02 11:55,2.114,H
2018-10-02 16:53,1.692,L
2018-10-02 21:15,1.932,H
2018-10-03 04:52,-0.057,L
2018-10-03 13:05,2.192,H
2018-10-03 18:21,1.623,L
2018-10-03 22:32,1.869,H
2018-10-04 06:00,-0.032,L
2018-10-04 13:57,2.263,H
2018-10-04 19:27,1.453,L
2018-10-04 23:58,1.854,H
2018-10-05 07:04,0.008,L
2018-10-05 14:37,2.316,H
2018-10-05 20:16,1.218,L
2018-10-06 01:22,1.904,H
2018-10-06 08:02,0.081,L
2018-10-06 15:12,2.349,H
2018-10-06 20:59,0.945,L
2018-10-07 02:36,1.993,H
2018-10-07 08:54,0.204,L
2018-10-07 15:44,2.365,H
2018-10-07 21:39,0.663,L
2018-10-08 03:41,2.087,H
2018-10-08 09:41,0.381,L
2018-10-08 16:13,2.365,H
2018-10-08 22:19,0.401,L
2018-10-09 04:41,2.162,H
2018-10-09 10:27,0.602,L
2018-10-09 16:42,2.348,H
2018-10-09 22:59,0.181,L
2018-10-10 05:38,2.212,H
2018-10-10 11:12,0.850,L
2018-10-10 17:11,2.308,H
2018-10-10 23:39,0.025,L
2018-10-11 06:35,2.239,H
2018-10-11 11:59,1.102,L
2018-10-11 17:40,2.242,H
2018-10-12 00:20,-0.057,L
2018-10-12 07:33,2.246,H
2018-10-12 12:50,1.335,L
2018-10-12 18:10,2.152,H
2018-10-13 01:03,-0.066,L
2018-10-13 08:34,2.239,H
2018-10-13 13:48,1.526,L
2018-10-13 18:42,2.040,H
2018-10-14 01:47,-0.009,L
2018-10-14 09:41,2.228,H
2018-10-14 15:04,1.653,L
2018-10-14 19:18,1.913,H
2018-10-15 02:36,0.095,L
2018-10-15 10:54,2.224,H
2018-10-15 17:08,1.677,L
2018-10-15 20:00,1.781,H
2018-10-16 03:30,0.224,L
2018-10-16 12:04,2.234,H
2018-10-16 18:53,1.589,L
2018-10-16 20:58,1.657,H
2018-10-17 04:31,0.350,L
2018-10-17 13:01,2.245,H
2018-10-17 19:50,1.460,L
2018-10-17 22:14,1.565,H
2018-10-18 05:35,0.451,L
2018-10-18 13:44,2.247,H
2018-10-18 20:25,1.319,L
2018-10-18 23:43,1.541,H
2018-10-19 06:37,0.525,L
2018-10-19 14:16,2.239,H
2018-10-19 20:49,1.166,L
2018-10-20 01:07,1.596,H
2018-10-20 07:30,0.587,L
2018-10-20 14:39,2.229,H
2018-10-20 21:06,0.995,L
2018-10-21 02:14,1.700,H
2018-10-21 08:16,0.656,L
2018-10-21 14:58,2.228,H
2018-10-21 21:22,0.797,L
2018-10-22 03:09,1.823,H
2018-10-22 08:57,0.748,L
2018-10-22 15:17,2.239,H
2018-10-22 21:44,0.572,L
2018-10-23 03:58,1.949,H
2018-10-23 09:36,0.867,L
2018-10-23 15:39,2.255,H
2018-10-23 22:10,0.331,L
2018-10-24 04:45,2.071,H
2018-10-24 10:14,1.012,L
2018-10-24 16:04,2.267,H
2018-10-24 22:41,0.096,L
2018-10-25 05:32,2.178,H
2018-10-25 10:53,1.176,L
2018-10-25 16:31,2.266,H
2018-10-25 23:16,-0.111,L
2018-10-26 06:22,2.265,H
2018-10-26 11:36,1.351,L
2018-10-26 17:00,2.247,H
2018-10-26 23:55,-0.268,L
2018-10-27 07:15,2.324,H
2018-10-27 12:22,1.517,L
2018-10-27 17:31,2.207,H
2018-10-28 00:38,-0.356,L
2018-10-28 08:11,2.355,H
2018-10-28 13:15,1.660,L
2018-10-28 18:05,2.141,H
2018-10-29 01:25,-0.365,L
2018-10-29 09:13,2.365,H
2018-10-29 14:19,1.751,L
2018-10-29 18:46,2.046,H
2018-10-30 02:18,-0.297,L
2018-10-30 10:18,2.369,H
2018-10-30 15:42,1.761,L
2018-10-30 19:41,1.917,H
2018-10-31 03:17,-0.167,L
2018-10-31 11:23,2.379,H
2018-10-31 17:28,1.650,L
2018-10-31 20:58,1.773,H
