Date Time, Prediction, Type
2018-10-01 02:10,-0.050,L
2018-10-01 10:50,2.009,H
2018-10-01 14:47,1.732,L
2018-10-01 19:40,1.969,H
2018-10-02 03:08,-0.080,L
2018-10-02 12:06,2.096,H
2018-10-02 16:36,1.794,L
2018-10-02 20:34,1.914,H
2018-10-03 04:13,-0.072,L
2018-10-03 13:07,2.176,H
2018-10-03 18:25,1.727,L
2018-10-03 21:47,1.860,H
2018-10-04 05:20,-0.040,L
2018-10-04 13:54,2.229,H
2018-10-04 19:18,1.577,L
2018-10-04 23:10,1.830,H
2018-10-05 06:25,0.018,L
2018-10-05 14:33,2.249,H
2018-10-05 19:57,1.367,L
2018-10-06 00:36,1.841,H
2018-10-06 07:24,0.119,L
2018-10-06 15:06,2.242,H
2018-10-06 20:33,1.111,L
2018-10-07 02:00,1.888,H
2018-10-07 08:16,0.276,L
2018-10-07 15:34,2.218,H
2018-10-07 21:09,0.830,L
2018-10-08 03:15,1.950,H
2018-10-08 09:03,0.488,L
2018-10-08 15:57,2.188,H
2018-10-08 21:47,0.553,L
2018-10-09 04:22,2.006,H
2018-10-09 09:49,0.737,L
2018-10-09 16:18,2.159,H
2018-10-09 22:25,0.307,L
2018-10-10 05:26,2.047,H
2018-10-10 10:34,0.999,L
2018-10-10 16:39,2.129,H
2018-10-10 23:05,0.116,L
2018-10-11 06:28,2.075,H
2018-10-11 11:21,1.248,L
2018-10-11 17:02,2.089,H
2018-10-11 23:46,-0.006,L
2018-10-12 07:32,2.095,H
2018-10-12 12:13,1.464,L
2018-10-12 17:27,2.029,H
2018-10-13 00:29,-0.055,L
2018-10-13 08:38,2.111,H
2018-10-13 13:16,1.631,L
2018-10-13 17:55,1.949,H
2018-10-14 01:13,-0.036,L
2018-10-14 09:47,2.129,H
2018-10-14 14:54,1.732,L
2018-10-14 18:25,1.849,H
2018-10-15 02:01,0.039,L
2018-10-15 10:56,2.150,H
2018-10-16 02:53,0.149,L
2018-10-16 11:59,2.170,H
2018-10-17 03:53,0.270,L
2018-10-17 12:52,2.182,H
2018-10-18 04:58,0.383,L
2018-10-18 13:35,2.179,H
2018-10-18 20:09,1.374,L
2018-10-18 22:49,1.466,H
2018-10-19 06:01,0.479,L
2018-10-19 14:08,2.158,H
2018-10-19 20:32,1.241,L
2018-10-20 00:32,1.488,H
2018-10-20 06:56,0.574,L
2018-10-20 14:32,2.127,H
2018-10-20 20:49,1.088,L
2018-10-21 01:56,1.570,H
2018-10-21 07:42,0.685,L
2018-10-21 14:47,2.100,H
2018-10-21 21:01,0.906,L
2018-10-22 02:59,1.676,H
2018-10-22 08:22,0.819,L
2018-10-22 14:57,2.092,H
2018-10-22 21:15,0.687,L
2018-10-23 03:52,1.787,H
2018-10-23 08:58,0.976,L
2018-10-23 15:11,2.106,H
2018-10-23 21:36,0.444,L
2018-10-24 04:42,1.899,H
2018-10-24 09:34,1.147,L
2018-10-24 15:31,2.129,H
2018-10-24 22:03,0.200,L
2018-10-25 05:31,2.008,H
2018-10-25 10:13,1.325,L
2018-10-25 15:55,2.145,H
2018-10-25 22:37,-0.019,L
2018-10-26 06:23,2.107,H
2018-10-26 10:55,1.500,L
2018-10-26 16:23,2.147,H
2018-10-26 23:16,-0.191,L
2018-10-27 07:19,2.191,H
2018-10-27 11:44,1.660,L
2018-10-27 16:52,2.129,H
2018-10-27 23:59,-0.297,L
2018-10-28 08:19,2.257,H
2018-10-28 12:41,1.792,L
2018-10-28 17:24,2.087,H
2018-10-29 00:47,-0.326,L
2018-10-29 09:24,2.307,H
2018-10-29 13:54,1.875,L
2018-10-29 17:59,2.014,H
2018-10-30 01:38,-0.275,L
2018-10-30 10:29,2.346,H
2018-10-30 16:00,1.869,L
2018-10-30 18:47,1.903,H
2018-10-31 02:35,-0.153,L
2018-10-31 11:28,2.372,H
2018-10-31 18:03,1.728,L
2018-10-31 20:05,1.762,H
