Date Time, Prediction, Type
2018-11-01 04:12,0.002,L
2018-11-01 12:20,2.398,H
2018-11-01 18:42,1.570,L
2018-11-01 22:32,1.663,H
2018-11-02 05:20,0.206,L
2018-11-02 13:08,2.417,H
2018-11-02 19:29,1.261,L
2018-11-03 00:15,1.651,H
2018-11-03 06:25,0.418,L
2018-11-03 13:47,2.431,H
2018-11-03 20:08,0.920,L
2018-11-04 01:49,1.753,H
2018-11-04 07:25,0.640,L
2018-11-04 14:22,2.435,H
2018-11-04 20:43,0.575,L
2018-11-05 03:05,1.917,H
2018-11-05 08:20,0.875,L
2018-11-05 14:52,2.428,H
2018-11-05 21:18,0.257,L
2018-11-06 04:09,2.086,H
2018-11-06 09:10,1.119,L
2018-11-06 15:20,2.407,H
2018-11-06 21:53,-0.007,L
2018-11-07 05:05,2.232,H
2018-11-07 09:58,1.356,L
2018-11-07 15:48,2.366,H
2018-11-07 22:28,-0.199,L
2018-11-08 05:57,2.344,H
2018-11-08 10:46,1.573,L
2018-11-08 16:15,2.306,H
2018-11-08 23:04,-0.307,L
2018-11-09 06:47,2.417,H
2018-11-09 11:35,1.754,L
2018-11-09 16:42,2.224,H
2018-11-09 23:41,-0.333,L
2018-11-10 07:36,2.455,H
2018-11-10 12:30,1.889,L
2018-11-10 17:12,2.122,H
2018-11-11 00:20,-0.283,L
2018-11-11 08:26,2.461,H
2018-11-11 13:35,1.967,L
2018-11-11 17:44,2.002,H
2018-11-12 01:01,-0.170,L
2018-11-12 09:17,2.444,H
2018-11-12 15:10,1.972,L
2018-11-12 18:20,1.868,H
2018-11-13 01:45,-0.010,L
2018-11-13 10:09,2.414,H
2018-11-13 17:30,1.867,L
2018-11-13 19:06,1.722,H
2018-11-14 02:33,0.180,L
2018-11-14 11:00,2.381,H
2018-11-14 18:38,1.703,L
2018-11-14 20:10,1.576,H
2018-11-15 03:26,0.383,L
2018-11-15 11:46,2.354,H
2018-11-15 19:18,1.516,L
2018-11-15 21:33,1.455,H
2018-11-16 04:25,0.583,L
2018-11-16 12:23,2.331,H
2018-11-16 19:45,1.313,L
2018-11-16 23:09,1.405,H
2018-11-17 05:25,0.770,L
2018-11-17 12:53,2.318,H
2018-11-17 20:04,1.089,L
2018-11-18 00:52,1.463,H
2018-11-18 06:23,0.945,L
2018-11-18 13:19,2.317,H
2018-11-18 20:19,0.836,L
2018-11-19 02:16,1.614,H
2018-11-19 07:16,1.117,L
2018-11-19 13:44,2.327,H
2018-11-19 20:37,0.548,L
2018-11-20 03:17,1.805,H
2018-11-20 08:04,1.287,L
2018-11-20 14:10,2.345,H
2018-11-20 21:01,0.240,L
2018-11-21 04:07,2.003,H
2018-11-21 08:50,1.458,L
2018-11-21 14:37,2.365,H
2018-11-21 21:31,-0.068,L
2018-11-22 04:54,2.188,H
2018-11-22 09:34,1.624,L
2018-11-22 15:06,2.380,H
2018-11-22 22:04,-0.346,L
2018-11-23 05:40,2.345,H
2018-11-23 10:19,1.776,L
2018-11-23 15:36,2.380,H
2018-11-23 22:42,-0.560,L
2018-11-24 06:28,2.466,H
2018-11-24 11:07,1.904,L
2018-11-24 16:09,2.355,H
2018-11-24 23:23,-0.687,L
2018-11-25 07:16,2.543,H
2018-11-25 11:58,1.995,L
2018-11-25 16:46,2.297,H
2018-11-26 00:08,-0.710,L
2018-11-26 08:07,2.580,H
2018-11-26 12:57,2.032,L
2018-11-26 17:30,2.193,H
2018-11-27 00:56,-0.625,L
2018-11-27 08:59,2.588,H
2018-11-27 14:08,1.999,L
2018-11-27 18:24,2.041,H
2018-11-28 01:48,-0.438,L
2018-11-28 09:52,2.579,H
2018-11-28 15:37,1.864,L
2018-11-28 19:33,1.849,H
2018-11-29 02:43,-0.167,L
2018-11-29 10:43,2.563,H
2018-11-29 17:20,1.608,L
2018-11-29 20:59,1.652,H
2018-11-30 03:43,0.162,L
2018-11-30 11:31,2.549,H
2018-11-30 18:28,1.269,L
2018-11-30 22:42,1.521,H
