Date Time, Prediction, Type
2018-10-01 02:38,-0.072,L
2018-10-01 10:30,2.066,H
2018-10-01 15:18,1.801,L
2018-10-01 20:17,2.009,H
2018-10-02 03:38,-0.080,L
2018-10-02 11:55,2.114,H
2018-10-02 16:44,1.861,L
2018-10-02 21:15,1.932,H
2018-10-03 04:43,-0.062,L
2018-10-03 13:05,2.192,H
2018-10-03 18:12,1.785,L
2018-10-03 22:32,1.869,H
2018-10-04 05:51,-0.035,L
2018-10-04 13:57,2.263,H
2018-10-04 19:18,1.598,L
2018-10-04 23:58,1.854,H
2018-10-05 06:55,0.009,L
2018-10-05 14:37,2.316,H
2018-10-05 20:07,1.339,L
2018-10-06 01:22,1.904,H
2018-10-06 07:53,0.089,L
2018-10-06 15:12,2.349,H
2018-10-06 20:50,1.040,L
2018-10-07 02:36,1.993,H
2018-10-07 08:45,0.225,L
2018-10-07 15:44,2.365,H
2018-10-07 21:30,0.730,L
2018-10-08 03:41,2.087,H
2018-10-08 09:32,0.419,L
2018-10-08 16:13,2.365,H
2018-10-08 22:10,0.441,L
2018-10-09 04:41,2.162,H
2018-10-09 10:18,0.662,L
2018-10-09 16:42,2.348,H
2018-10-09 22:50,0.199,L
2018-10-10 05:38,2.212,H
2018-10-10 11:03,0.936,L
2018-10-10 17:11,2.308,H
2018-10-10 23:30,0.028,L
2018-10-11 06:35,2.239,H
2018-10-11 11:50,1.212,L
2018-10-11 17:40,2.242,H
2018-10-12 00:11,-0.062,L
2018-10-12 07:33,2.246,H
2018-10-12 12:41,1.468,L
2018-10-12 18:10,2.152,H
2018-10-13 00:54,-0.072,L
2018-10-13 08:34,2.239,H
2018-10-13 13:39,1.679,L
2018-10-13 18:42,2.040,H
2018-10-14 01:38,-0.010,L
2018-10-14 09:41,2.228,H
2018-10-14 14:55,1.819,L
2018-10-14 19:18,1.913,H
2018-10-15 02:27,0.105,L
2018-10-15 10:54,2.224,H
2018-10-15 16:59,1.844,L
2018-10-15 20:00,1.781,H
2018-10-16 03:21,0.247,L
2018-10-16 12:04,2.234,H
2018-10-16 18:44,1.747,L
2018-10-16 20:58,1.657,H
2018-10-17 04:22,0.385,L
2018-10-17 13:01,2.245,H
2018-10-17 19:41,1.606,L
2018-10-17 22:14,1.565,H
2018-10-18 05:26,0.496,L
2018-10-18 13:44,2.247,H
2018-10-18 20:16,1.450,L
2018-10-18 23:43,1.541,H
2018-10-19 06:28,0.577,L
2018-10-19 14:16,2.239,H
2018-10-19 20:40,1.283,L
2018-10-20 01:07,1.596,H
2018-10-20 07:21,0.645,L
2018-10-20 14:39,2.229,H
2018-10-20 20:57,1.095,L
2018-10-21 02:14,1.700,H
2018-10-21 08:07,0.722,L
2018-10-21 14:58,2.228,H
2018-10-21 21:13,0.876,L
2018-10-22 03:09,1.823,H
2018-10-22 08:48,0.823,L
2018-10-22 15:17,2.239,H
2018-10-22 21:35,0.629,L
2018-10-23 03:58,1.949,H
2018-10-23 09:27,0.953,L
2018-10-23 15:39,2.255,H
2018-10-23 22:01,0.364,L
2018-10-24 04:45,2.071,H
2018-10-24 10:05,1.113,L
2018-10-24 16:04,2.267,H
2018-10-24 22:32,0.106,L
2018-10-25 05:32,2.178,H
2018-10-25 10:44,1.294,L
2018-10-25 16:31,2.266,H
2018-10-25 23:07,-0.122,L
2018-10-26 06:22,2.265,H
2018-10-26 11:27,1.486,L
2018-10-26 17:00,2.247,H
2018-10-26 23:46,-0.295,L
2018-10-27 07:15,2.324,H
2018-10-27 12:13,1.669,L
2018-10-27 17:31,2.207,H
2018-10-28 00:29,-0.391,L
2018-10-28 08:11,2.355,H
2018-10-28 13:06,1.826,L
2018-10-28 18:05,2.141,H
2018-10-29 01:16,-0.401,L
2018-10-29 09:13,2.365,H
2018-10-29 14:10,1.927,L
2018-10-29 18:46,2.046,H
2018-10-30 02:09,-0.327,L
2018-10-30 10:18,2.369,H
2018-10-30 15:33,1.937,L
2018-10-30 19:41,1.917,H
2018-10-31 03:08,-0.184,L
2018-10-31 11:23,2.379,H
2018-10-31 17:19,1.815,L
2018-10-31 20:58,1.773,H
