Date Time, Prediction, Type
2018-10-01 02:43,-0.028,L
2018-10-01 11:01,2.100,H
2018-10-01 15:17,1.778,L
2018-10-01 19:48,2.033,H
2018-10-02 03:42,-0.051,L
2018-10-02 12:21,2.168,H
2018-10-02 16:51,1.838,L
2018-10-02 20:41,1.968,H
2018-10-03 04:46,-0.043,L
2018-10-03 13:25,2.239,H
2018-10-03 18:39,1.769,L
2018-10-03 22:00,1.891,H
2018-10-04 05:52,-0.010,L
2018-10-04 14:14,2.288,H
2018-10-04 19:44,1.597,L
2018-10-04 23:35,1.841,H
2018-10-05 06:57,0.046,L
2018-10-05 14:52,2.311,H
2018-10-05 20:27,1.361,L
2018-10-06 01:13,1.849,H
2018-10-06 07:56,0.140,L
2018-10-06 15:25,2.313,H
2018-10-06 21:06,1.085,L
2018-10-07 02:36,1.908,H
2018-10-07 08:48,0.287,L
2018-10-07 15:55,2.301,H
2018-10-07 21:44,0.794,L
2018-10-08 03:48,1.984,H
2018-10-08 09:36,0.490,L
2018-10-08 16:22,2.280,H
2018-10-08 22:23,0.517,L
2018-10-09 04:54,2.060,H
2018-10-09 10:22,0.733,L
2018-10-09 16:47,2.250,H
2018-10-09 23:02,0.280,L
2018-10-10 05:56,2.128,H
2018-10-10 11:09,0.995,L
2018-10-10 17:11,2.209,H
2018-10-10 23:41,0.103,L
2018-10-11 06:55,2.182,H
2018-10-11 11:57,1.250,L
2018-10-11 17:34,2.155,H
2018-10-12 00:21,-0.001,L
2018-10-12 07:54,2.218,H
2018-10-12 12:50,1.476,L
2018-10-12 17:57,2.084,H
2018-10-13 01:01,-0.030,L
2018-10-13 08:57,2.239,H
2018-10-13 13:53,1.652,L
2018-10-13 18:21,1.999,H
2018-10-14 01:44,0.010,L
2018-10-14 10:04,2.252,H
2018-10-14 15:25,1.753,L
2018-10-14 18:48,1.899,H
2018-10-15 02:30,0.101,L
2018-10-15 11:10,2.260,H
2018-10-15 17:15,1.749,L
2018-10-15 19:17,1.788,H
2018-10-16 03:21,0.220,L
2018-10-16 12:13,2.262,H
2018-10-17 04:18,0.345,L
2018-10-17 13:06,2.256,H
2018-10-18 05:19,0.457,L
2018-10-18 13:48,2.240,H
2018-10-18 20:17,1.395,L
2018-10-18 23:19,1.509,H
2018-10-19 06:20,0.549,L
2018-10-19 14:21,2.216,H
2018-10-19 20:41,1.240,L
2018-10-20 01:00,1.543,H
2018-10-20 07:16,0.631,L
2018-10-20 14:45,2.190,H
2018-10-20 21:02,1.065,L
2018-10-21 02:15,1.634,H
2018-10-21 08:04,0.719,L
2018-10-21 15:05,2.169,H
2018-10-21 21:21,0.865,L
2018-10-22 03:15,1.751,H
2018-10-22 08:45,0.830,L
2018-10-22 15:23,2.158,H
2018-10-22 21:42,0.640,L
2018-10-23 04:09,1.878,H
2018-10-23 09:24,0.969,L
2018-10-23 15:40,2.157,H
2018-10-23 22:07,0.400,L
2018-10-24 05:01,2.010,H
2018-10-24 10:03,1.134,L
2018-10-24 15:59,2.163,H
2018-10-24 22:36,0.163,L
2018-10-25 05:52,2.137,H
2018-10-25 10:45,1.317,L
2018-10-25 16:20,2.170,H
2018-10-25 23:11,-0.050,L
2018-10-26 06:44,2.247,H
2018-10-26 11:29,1.505,L
2018-10-26 16:44,2.173,H
2018-10-26 23:50,-0.214,L
2018-10-27 07:38,2.327,H
2018-10-27 12:18,1.679,L
2018-10-27 17:11,2.163,H
2018-10-28 00:32,-0.311,L
2018-10-28 08:37,2.377,H
2018-10-28 13:13,1.822,L
2018-10-28 17:41,2.130,H
2018-10-29 01:19,-0.330,L
2018-10-29 09:41,2.406,H
2018-10-29 14:24,1.910,L
2018-10-29 18:14,2.062,H
2018-10-30 02:11,-0.270,L
2018-10-30 10:46,2.423,H
2018-10-30 16:16,1.898,L
2018-10-30 18:56,1.946,H
2018-10-31 03:08,-0.144,L
2018-10-31 11:46,2.433,H
