Date Time, Prediction, Type
2018-10-01 02:47,-0.072,L
2018-10-01 10:28,2.066,H
2018-10-01 15:27,1.801,L
2018-10-01 20:15,2.009,H
2018-10-02 03:47,-0.080,L
2018-10-02 11:53,2.114,H
2018-10-02 16:53,1.861,L
2018-10-02 21:13,1.932,H
2018-10-03 04:52,-0.062,L
2018-10-03 13:03,2.192,H
2018-10-03 18:21,1.785,L
2018-10-03 22:30,1.869,H
2018-10-04 06:00,-0.035,L
2018-10-04 13:55,2.263,H
2018-10-04 19:27,1.598,L
2018-10-04 23:56,1.854,H
2018-10-05 07:04,0.009,L
2018-10-05 14:35,2.316,H
2018-10-05 20:16,1.339,L
2018-10-06 01:20,1.904,H
2018-10-06 08:02,0.089,L
2018-10-06 15:10,2.349,H
2018-10-06 20:59,1.040,L
2018-10-07 02:34,1.993,H
2018-10-07 08:54,0.225,L
2018-10-07 15:42,2.365,H
2018-10-07 21:39,0.730,L
2018-10-08 03:39,2.087,H
2018-10-08 09:41,0.419,L
2018-10-08 16:11,2.365,H
2018-10-08 22:19,0.441,L
2018-10-09 04:39,2.162,H
2018-10-09 10:27,0.662,L
2018-10-09 16:40,2.348,H
2018-10-09 22:59,0.199,L
2018-10-10 05:36,2.212,H
2018-10-10 11:12,0.936,L
2018-10-10 17:09,2.308,H
2018-10-10 23:39,0.028,L
2018-10-11 06:33,2.239,H
2018-10-11 11:59,1.212,L
2018-10-11 17:38,2.242,H
2018-10-12 00:20,-0.062,L
2018-10-12 07:31,2.246,H
2018-10-12 12:50,1.468,L
2018-10-12 18:08,2.152,H
2018-10-13 01:03,-0.072,L
2018-10-13 08:32,2.239,H
2018-10-13 13:48,1.679,L
2018-10-13 18:40,2.040,H
2018-10-14 01:47,-0.010,L
2018-10-14 09:39,2.228,H
2018-10-14 15:04,1.819,L
2018-10-14 19:16,1.913,H
2018-10-15 02:36,0.105,L
2018-10-15 10:52,2.224,H
2018-10-15 17:08,1.844,L
2018-10-15 19:58,1.781,H
2018-10-16 03:30,0.247,L
2018-10-16 12:02,2.234,H
2018-10-16 18:53,1.747,L
2018-10-16 20:56,1.657,H
2018-10-17 04:31,0.385,L
2018-10-17 12:59,2.245,H
2018-10-17 19:50,1.606,L
2018-10-17 22:12,1.565,H
2018-10-18 05:35,0.496,L
2018-10-18 13:42,2.247,H
2018-10-18 20:25,1.450,L
2018-10-18 23:41,1.541,H
2018-10-19 06:37,0.577,L
2018-10-19 14:14,2.239,H
2018-10-19 20:49,1.283,L
2018-10-20 01:05,1.596,H
2018-10-20 07:30,0.645,L
2018-10-20 14:37,2.229,H
2018-10-20 21:06,1.095,L
2018-10-21 02:12,1.700,H
2018-10-21 08:16,0.722,L
2018-10-21 14:56,2.228,H
2018-10-21 21:22,0.876,L
2018-10-22 03:07,1.823,H
2018-10-22 08:57,0.823,L
2018-10-22 15:15,2.239,H
2018-10-22 21:44,0.629,L
2018-10-23 03:56,1.949,H
2018-10-23 09:36,0.953,L
2018-10-23 15:37,2.255,H
2018-10-23 22:10,0.364,L
2018-10-24 04:43,2.071,H
2018-10-24 10:14,1.113,L
2018-10-24 16:02,2.267,H
2018-10-24 22:41,0.106,L
2018-10-25 05:30,2.178,H
2018-10-25 10:53,1.294,L
2018-10-25 16:29,2.266,H
2018-10-25 23:16,-0.122,L
2018-10-26 06:20,2.265,H
2018-10-26 11:36,1.486,L
2018-10-26 16:58,2.247,H
2018-10-26 23:55,-0.295,L
2018-10-27 07:13,2.324,H
2018-10-27 12:22,1.669,L
2018-10-27 17:29,2.207,H
2018-10-28 00:38,-0.391,L
2018-10-28 08:09,2.355,H
2018-10-28 13:15,1.826,L
2018-10-28 18:03,2.141,H
2018-10-29 01:25,-0.401,L
2018-10-29 09:11,2.365,H
2018-10-29 14:19,1.927,L
2018-10-29 18:44,2.046,H
2018-10-30 02:18,-0.327,L
2018-10-30 10:16,2.369,H
2018-10-30 15:42,1.937,L
2018-10-30 19:39,1.917,H
2018-10-31 03:17,-0.184,L
2018-10-31 11:21,2.379,H
2018-10-31 17:28,1.815,L
2018-10-31 20:56,1.773,H
