Date Time, Prediction, Type
2018-10-01 02:18,-0.074,L
2018-10-01 10:59,2.102,H
2018-10-01 14:51,1.833,L
2018-10-01 19:36,2.031,H
2018-10-02 03:15,-0.091,L
2018-10-02 12:19,2.182,H
2018-10-02 17:18,1.884,L
2018-10-02 20:30,1.958,H
2018-10-03 04:18,-0.069,L
2018-10-03 13:19,2.256,H
2018-10-03 18:58,1.774,L
2018-10-03 21:48,1.884,H
2018-10-04 05:25,-0.024,L
2018-10-04 14:05,2.304,H
2018-10-04 19:39,1.590,L
2018-10-04 23:20,1.849,H
2018-10-05 06:30,0.039,L
2018-10-05 14:41,2.325,H
2018-10-05 20:13,1.348,L
2018-10-06 00:54,1.875,H
2018-10-06 07:30,0.134,L
2018-10-06 15:13,2.330,H
2018-10-06 20:47,1.065,L
2018-10-07 02:18,1.949,H
2018-10-07 08:23,0.278,L
2018-10-07 15:40,2.327,H
2018-10-07 21:22,0.765,L
2018-10-08 03:31,2.040,H
2018-10-08 09:11,0.475,L
2018-10-08 16:04,2.320,H
2018-10-08 21:58,0.479,L
2018-10-09 04:36,2.124,H
2018-10-09 09:58,0.718,L
2018-10-09 16:26,2.310,H
2018-10-09 22:36,0.237,L
2018-10-10 05:38,2.190,H
2018-10-10 10:43,0.988,L
2018-10-10 16:47,2.288,H
2018-10-10 23:15,0.060,L
2018-10-11 06:39,2.238,H
2018-10-11 11:31,1.260,L
2018-10-11 17:09,2.246,H
2018-10-11 23:55,-0.037,L
2018-10-12 07:40,2.268,H
2018-10-12 12:24,1.507,L
2018-10-12 17:35,2.176,H
2018-10-13 00:36,-0.054,L
2018-10-13 08:45,2.286,H
2018-10-13 13:30,1.703,L
2018-10-13 18:04,2.080,H
2018-10-14 01:19,0.000,L
2018-10-14 09:54,2.298,H
2018-10-14 15:19,1.810,L
2018-10-14 18:36,1.963,H
2018-10-15 02:06,0.110,L
2018-10-15 11:04,2.310,H
2018-10-15 17:13,1.786,L
2018-10-15 19:14,1.835,H
2018-10-16 02:57,0.250,L
2018-10-16 12:08,2.317,H
2018-10-17 03:54,0.395,L
2018-10-17 13:00,2.312,H
2018-10-17 19:24,1.550,L
2018-10-17 21:30,1.605,H
2018-10-18 04:58,0.521,L
2018-10-18 13:41,2.293,H
2018-10-18 19:59,1.411,L
2018-10-18 23:10,1.568,H
2018-10-19 06:02,0.617,L
2018-10-19 14:12,2.265,H
2018-10-19 20:26,1.262,L
2018-10-20 00:46,1.612,H
2018-10-20 06:59,0.695,L
2018-10-20 14:35,2.239,H
2018-10-20 20:46,1.094,L
2018-10-21 01:59,1.706,H
2018-10-21 07:46,0.776,L
2018-10-21 14:52,2.226,H
2018-10-21 21:02,0.894,L
2018-10-22 02:58,1.820,H
2018-10-22 08:26,0.877,L
2018-10-22 15:06,2.230,H
2018-10-22 21:19,0.656,L
2018-10-23 03:51,1.942,H
2018-10-23 09:04,1.007,L
2018-10-23 15:21,2.248,H
2018-10-23 21:42,0.395,L
2018-10-24 04:42,2.062,H
2018-10-24 09:41,1.166,L
2018-10-24 15:39,2.267,H
2018-10-24 22:12,0.134,L
2018-10-25 05:34,2.174,H
2018-10-25 10:20,1.350,L
2018-10-25 16:01,2.278,H
2018-10-25 22:47,-0.096,L
2018-10-26 06:27,2.269,H
2018-10-26 11:02,1.544,L
2018-10-26 16:26,2.271,H
2018-10-26 23:26,-0.271,L
2018-10-27 07:24,2.341,H
2018-10-27 11:49,1.730,L
2018-10-27 16:52,2.243,H
2018-10-28 00:08,-0.371,L
2018-10-28 08:26,2.389,H
2018-10-28 12:44,1.885,L
2018-10-28 17:21,2.187,H
2018-10-29 00:55,-0.386,L
2018-10-29 09:32,2.421,H
2018-10-29 13:56,1.981,L
2018-10-29 17:53,2.096,H
2018-10-30 01:46,-0.317,L
2018-10-30 10:39,2.446,H
2018-10-31 02:42,-0.177,L
2018-10-31 11:39,2.463,H
