Date Time, Prediction, Type
2018-11-01 03:18,-0.022,L
2018-11-01 11:43,2.215,H
2018-11-01 18:47,1.517,L
2018-11-01 20:59,1.570,H
2018-11-02 04:20,0.169,L
2018-11-02 12:21,2.220,H
2018-11-02 19:05,1.248,L
2018-11-02 22:48,1.502,H
2018-11-03 05:23,0.382,L
2018-11-03 12:50,2.227,H
2018-11-03 19:30,0.939,L
2018-11-04 00:39,1.548,H
2018-11-04 06:23,0.610,L
2018-11-04 13:14,2.241,H
2018-11-04 20:00,0.616,L
2018-11-05 02:13,1.679,H
2018-11-05 07:19,0.846,L
2018-11-05 13:37,2.261,H
2018-11-05 20:32,0.310,L
2018-11-06 03:26,1.838,H
2018-11-06 08:10,1.084,L
2018-11-06 14:02,2.276,H
2018-11-06 21:05,0.050,L
2018-11-07 04:27,1.989,H
2018-11-07 08:58,1.313,L
2018-11-07 14:29,2.272,H
2018-11-07 21:39,-0.140,L
2018-11-08 05:23,2.114,H
2018-11-08 09:45,1.519,L
2018-11-08 14:57,2.237,H
2018-11-08 22:15,-0.248,L
2018-11-09 06:16,2.205,H
2018-11-09 10:34,1.691,L
2018-11-09 15:27,2.170,H
2018-11-09 22:52,-0.275,L
2018-11-10 07:08,2.262,H
2018-11-10 11:29,1.818,L
2018-11-10 15:56,2.074,H
2018-11-10 23:31,-0.230,L
2018-11-11 08:01,2.288,H
2018-11-11 12:42,1.891,L
2018-11-11 16:22,1.959,H
2018-11-12 00:13,-0.129,L
2018-11-12 08:55,2.290,H
2018-11-13 00:56,0.010,L
2018-11-13 09:49,2.277,H
2018-11-14 01:42,0.171,L
2018-11-14 10:38,2.256,H
2018-11-15 02:31,0.342,L
2018-11-15 11:17,2.230,H
2018-11-16 03:22,0.517,L
2018-11-16 11:46,2.204,H
2018-11-16 19:30,1.250,L
2018-11-16 21:46,1.321,H
2018-11-17 04:15,0.691,L
2018-11-17 12:03,2.189,H
2018-11-17 19:39,1.073,L
2018-11-17 23:31,1.339,H
2018-11-18 05:09,0.864,L
2018-11-18 12:18,2.192,H
2018-11-18 19:40,0.855,L
2018-11-19 01:13,1.451,H
2018-11-19 06:01,1.034,L
2018-11-19 12:38,2.214,H
2018-11-19 19:48,0.585,L
2018-11-20 02:25,1.617,H
2018-11-20 06:51,1.203,L
2018-11-20 13:01,2.247,H
2018-11-20 20:10,0.284,L
2018-11-21 03:20,1.800,H
2018-11-21 07:38,1.370,L
2018-11-21 13:27,2.283,H
2018-11-21 20:39,-0.015,L
2018-11-22 04:09,1.978,H
2018-11-22 08:23,1.532,L
2018-11-22 13:54,2.314,H
2018-11-22 21:14,-0.282,L
2018-11-23 04:56,2.135,H
2018-11-23 09:08,1.681,L
2018-11-23 14:21,2.330,H
2018-11-23 21:52,-0.486,L
2018-11-24 05:44,2.256,H
2018-11-24 09:55,1.810,L
2018-11-24 14:50,2.322,H
2018-11-24 22:33,-0.607,L
2018-11-25 06:35,2.335,H
2018-11-25 10:46,1.906,L
2018-11-25 15:18,2.280,H
2018-11-25 23:18,-0.633,L
2018-11-26 07:28,2.377,H
2018-11-26 11:44,1.957,L
2018-11-26 15:48,2.191,H
2018-11-27 00:06,-0.563,L
2018-11-27 08:22,2.391,H
2018-11-27 12:56,1.943,L
2018-11-27 16:17,2.045,H
2018-11-28 00:56,-0.403,L
2018-11-28 09:16,2.389,H
2018-11-29 01:49,-0.165,L
2018-11-29 10:04,2.381,H
2018-11-30 02:44,0.133,L
2018-11-30 10:44,2.372,H
2018-11-30 18:11,1.248,L
2018-11-30 21:08,1.381,H
