Date Time, Prediction, Type
2018-10-01 01:54,-0.044,L
2018-10-01 09:57,1.878,H
2018-10-01 13:57,1.674,L
2018-10-01 18:46,1.911,H
2018-10-02 02:52,-0.079,L
2018-10-02 11:37,1.942,H
2018-10-02 15:17,1.750,L
2018-10-02 19:38,1.852,H
2018-10-03 03:54,-0.084,L
2018-10-03 12:38,2.006,H
2018-10-03 17:01,1.713,L
2018-10-03 21:07,1.788,H
2018-10-04 04:58,-0.063,L
2018-10-04 13:20,2.049,H
2018-10-04 18:33,1.559,L
2018-10-04 22:36,1.757,H
2018-10-05 05:59,-0.016,L
2018-10-05 13:52,2.076,H
2018-10-05 19:19,1.333,L
2018-10-05 23:58,1.771,H
2018-10-06 06:56,0.071,L
2018-10-06 14:17,2.097,H
2018-10-06 19:58,1.062,L
2018-10-07 01:15,1.816,H
2018-10-07 07:47,0.209,L
2018-10-07 14:39,2.121,H
2018-10-07 20:37,0.772,L
2018-10-08 02:26,1.870,H
2018-10-08 08:35,0.401,L
2018-10-08 15:02,2.148,H
2018-10-08 21:17,0.496,L
2018-10-09 03:34,1.921,H
2018-10-09 09:19,0.638,L
2018-10-09 15:28,2.164,H
2018-10-09 21:57,0.261,L
2018-10-10 04:39,1.963,H
2018-10-10 10:03,0.901,L
2018-10-10 15:56,2.157,H
2018-10-10 22:39,0.091,L
2018-10-11 05:43,1.995,H
2018-10-11 10:49,1.165,L
2018-10-11 16:26,2.117,H
2018-10-11 23:22,-0.005,L
2018-10-12 06:50,2.018,H
2018-10-12 11:38,1.405,L
2018-10-12 16:58,2.043,H
2018-10-13 00:06,-0.025,L
2018-10-13 08:02,2.038,H
2018-10-13 12:37,1.599,L
2018-10-13 17:30,1.942,H
2018-10-14 00:52,0.018,L
2018-10-14 09:20,2.060,H
2018-10-14 14:05,1.725,L
2018-10-14 18:03,1.826,H
2018-10-15 01:41,0.106,L
2018-10-15 10:36,2.084,H
2018-10-16 02:34,0.217,L
2018-10-16 11:39,2.100,H
2018-10-17 03:31,0.331,L
2018-10-17 12:29,2.101,H
2018-10-18 04:30,0.430,L
2018-10-18 13:07,2.084,H
2018-10-18 19:53,1.372,L
2018-10-18 22:24,1.470,H
2018-10-19 05:27,0.511,L
2018-10-19 13:33,2.060,H
2018-10-19 20:11,1.254,L
2018-10-19 23:45,1.499,H
2018-10-20 06:19,0.584,L
2018-10-20 13:48,2.043,H
2018-10-20 20:16,1.106,L
2018-10-21 00:54,1.571,H
2018-10-21 07:04,0.663,L
2018-10-21 13:56,2.047,H
2018-10-21 20:20,0.907,L
2018-10-22 01:52,1.666,H
2018-10-22 07:44,0.762,L
2018-10-22 14:09,2.074,H
2018-10-22 20:37,0.665,L
2018-10-23 02:45,1.771,H
2018-10-23 08:21,0.887,L
2018-10-23 14:29,2.108,H
2018-10-23 21:05,0.407,L
2018-10-24 03:37,1.877,H
2018-10-24 08:59,1.040,L
2018-10-24 14:53,2.136,H
2018-10-24 21:38,0.158,L
2018-10-25 04:28,1.976,H
2018-10-25 09:38,1.216,L
2018-10-25 15:19,2.148,H
2018-10-25 22:15,-0.058,L
2018-10-26 05:22,2.058,H
2018-10-26 10:19,1.401,L
2018-10-26 15:46,2.143,H
2018-10-26 22:56,-0.220,L
2018-10-27 06:19,2.117,H
2018-10-27 11:03,1.580,L
2018-10-27 16:12,2.119,H
2018-10-27 23:40,-0.315,L
2018-10-28 07:22,2.152,H
2018-10-28 11:54,1.730,L
2018-10-28 16:35,2.075,H
2018-10-29 00:29,-0.337,L
2018-10-29 08:32,2.171,H
2018-10-29 12:56,1.831,L
2018-10-29 16:51,2.005,H
2018-10-30 01:21,-0.289,L
2018-10-30 09:48,2.188,H
2018-10-30 14:17,1.856,L
2018-10-30 16:42,1.901,H
2018-10-31 02:18,-0.180,L
2018-10-31 10:54,2.204,H
