Date Time, Prediction, Type
2018-11-01 03:28,0.011,L
2018-11-01 12:05,1.973,H
2018-11-01 18:35,1.300,L
2018-11-01 20:59,1.353,H
2018-11-02 04:29,0.180,L
2018-11-02 12:41,1.973,H
2018-11-02 19:06,1.049,L
2018-11-02 23:07,1.294,H
2018-11-03 05:31,0.371,L
2018-11-03 13:11,1.967,H
2018-11-03 19:39,0.770,L
2018-11-04 01:10,1.364,H
2018-11-04 06:32,0.570,L
2018-11-04 13:36,1.958,H
2018-11-04 20:13,0.489,L
2018-11-05 02:32,1.490,H
2018-11-05 07:28,0.770,L
2018-11-05 13:58,1.948,H
2018-11-05 20:48,0.235,L
2018-11-06 03:41,1.622,H
2018-11-06 08:19,0.965,L
2018-11-06 14:19,1.936,H
2018-11-06 21:23,0.029,L
2018-11-07 04:43,1.741,H
2018-11-07 09:07,1.146,L
2018-11-07 14:42,1.916,H
2018-11-07 21:59,-0.116,L
2018-11-08 05:38,1.832,H
2018-11-08 09:55,1.303,L
2018-11-08 15:06,1.883,H
2018-11-08 22:35,-0.194,L
2018-11-09 06:32,1.891,H
2018-11-09 10:42,1.431,L
2018-11-09 15:31,1.834,H
2018-11-09 23:10,-0.211,L
2018-11-10 07:26,1.924,H
2018-11-10 11:31,1.529,L
2018-11-10 15:56,1.773,H
2018-11-10 23:47,-0.177,L
2018-11-11 08:22,1.939,H
2018-11-11 12:25,1.595,L
2018-11-11 16:17,1.700,H
2018-11-12 00:25,-0.101,L
2018-11-12 09:16,1.943,H
2018-11-13 01:07,0.003,L
2018-11-13 10:08,1.942,H
2018-11-14 01:51,0.126,L
2018-11-14 10:55,1.937,H
2018-11-15 02:37,0.262,L
2018-11-15 11:35,1.928,H
2018-11-16 03:26,0.406,L
2018-11-16 12:07,1.914,H
2018-11-17 04:17,0.559,L
2018-11-17 12:30,1.901,H
2018-11-17 19:38,0.921,L
2018-11-18 00:09,1.131,H
2018-11-18 05:10,0.715,L
2018-11-18 12:44,1.894,H
2018-11-18 19:44,0.713,L
2018-11-19 01:46,1.255,H
2018-11-19 06:06,0.871,L
2018-11-19 12:55,1.903,H
2018-11-19 20:00,0.480,L
2018-11-20 02:52,1.410,H
2018-11-20 06:59,1.026,L
2018-11-20 13:11,1.924,H
2018-11-20 20:25,0.239,L
2018-11-21 03:50,1.576,H
2018-11-21 07:50,1.180,L
2018-11-21 13:33,1.949,H
2018-11-21 20:57,0.008,L
2018-11-22 04:44,1.738,H
2018-11-22 08:40,1.331,L
2018-11-22 13:59,1.973,H
2018-11-22 21:32,-0.194,L
2018-11-23 05:34,1.881,H
2018-11-23 09:31,1.473,L
2018-11-23 14:28,1.989,H
2018-11-23 22:11,-0.351,L
2018-11-24 06:25,1.994,H
2018-11-24 10:22,1.595,L
2018-11-24 14:58,1.989,H
2018-11-24 22:52,-0.444,L
2018-11-25 07:18,2.072,H
2018-11-25 11:16,1.685,L
2018-11-25 15:31,1.962,H
2018-11-25 23:36,-0.463,L
2018-11-26 08:13,2.120,H
2018-11-26 12:17,1.730,L
2018-11-26 16:06,1.897,H
2018-11-27 00:22,-0.402,L
2018-11-27 09:05,2.142,H
2018-11-27 13:32,1.708,L
2018-11-27 16:46,1.779,H
2018-11-28 01:11,-0.264,L
2018-11-28 09:53,2.145,H
2018-11-28 15:28,1.589,L
2018-11-28 17:38,1.603,H
2018-11-29 02:02,-0.061,L
2018-11-29 10:35,2.134,H
2018-11-30 02:55,0.190,L
2018-11-30 11:12,2.116,H
2018-11-30 18:11,1.082,L
2018-11-30 21:24,1.213,H
