Date Time, Prediction, Type
2018-10-01 02:04,-0.016,L
2018-10-01 10:49,1.627,H
2018-10-01 14:20,1.425,L
2018-10-01 18:43,1.668,H
2018-10-02 03:02,-0.053,L
2018-10-02 12:01,1.711,H
2018-10-02 15:32,1.487,L
2018-10-02 19:35,1.619,H
2018-10-03 04:03,-0.060,L
2018-10-03 12:53,1.782,H
2018-10-03 17:00,1.457,L
2018-10-03 21:01,1.552,H
2018-10-04 05:07,-0.037,L
2018-10-04 13:34,1.828,H
2018-10-04 18:37,1.321,L
2018-10-04 22:38,1.507,H
2018-10-05 06:12,0.015,L
2018-10-05 14:08,1.849,H
2018-10-05 19:32,1.114,L
2018-10-06 00:15,1.513,H
2018-10-06 07:10,0.102,L
2018-10-06 14:39,1.853,H
2018-10-06 20:16,0.873,L
2018-10-07 01:41,1.558,H
2018-10-07 08:03,0.233,L
2018-10-07 15:06,1.846,H
2018-10-07 20:57,0.624,L
2018-10-08 02:58,1.613,H
2018-10-08 08:51,0.403,L
2018-10-08 15:30,1.834,H
2018-10-08 21:39,0.392,L
2018-10-09 04:09,1.663,H
2018-10-09 09:37,0.600,L
2018-10-09 15:53,1.816,H
2018-10-09 22:19,0.202,L
2018-10-10 05:13,1.698,H
2018-10-10 10:21,0.805,L
2018-10-10 16:15,1.791,H
2018-10-10 23:00,0.068,L
2018-10-11 06:15,1.712,H
2018-10-11 11:04,1.002,L
2018-10-11 16:38,1.755,H
2018-10-11 23:40,-0.003,L
2018-10-12 07:19,1.711,H
2018-10-12 11:48,1.177,L
2018-10-12 17:01,1.706,H
2018-10-13 00:21,-0.017,L
2018-10-13 08:28,1.709,H
2018-10-13 12:35,1.322,L
2018-10-13 17:25,1.646,H
2018-10-14 01:05,0.015,L
2018-10-14 09:37,1.715,H
2018-10-14 13:32,1.426,L
2018-10-14 17:48,1.577,H
2018-10-15 01:52,0.078,L
2018-10-15 10:44,1.731,H
2018-10-15 14:50,1.476,L
2018-10-15 18:01,1.500,H
2018-10-16 02:42,0.155,L
2018-10-16 11:43,1.752,H
2018-10-17 03:35,0.236,L
2018-10-17 12:31,1.771,H
2018-10-18 04:30,0.315,L
2018-10-18 13:09,1.780,H
2018-10-18 19:49,1.198,L
2018-10-18 22:02,1.243,H
2018-10-19 05:27,0.388,L
2018-10-19 13:40,1.779,H
2018-10-19 20:02,1.063,L
2018-10-19 23:55,1.250,H
2018-10-20 06:21,0.460,L
2018-10-20 14:04,1.772,H
2018-10-20 20:13,0.902,L
2018-10-21 01:21,1.314,H
2018-10-21 07:09,0.540,L
2018-10-21 14:21,1.764,H
2018-10-21 20:30,0.718,L
2018-10-22 02:25,1.398,H
2018-10-22 07:52,0.637,L
2018-10-22 14:33,1.761,H
2018-10-22 20:54,0.521,L
2018-10-23 03:24,1.490,H
2018-10-23 08:34,0.755,L
2018-10-23 14:45,1.768,H
2018-10-23 21:24,0.323,L
2018-10-24 04:20,1.583,H
2018-10-24 09:16,0.894,L
2018-10-24 15:03,1.779,H
2018-10-24 21:58,0.136,L
2018-10-25 05:13,1.671,H
2018-10-25 09:59,1.049,L
2018-10-25 15:26,1.790,H
2018-10-25 22:34,-0.027,L
2018-10-26 06:08,1.745,H
2018-10-26 10:43,1.209,L
2018-10-26 15:51,1.797,H
2018-10-26 23:13,-0.153,L
2018-10-27 07:08,1.802,H
2018-10-27 11:29,1.363,L
2018-10-27 16:17,1.797,H
2018-10-27 23:56,-0.230,L
2018-10-28 08:16,1.849,H
2018-10-28 12:20,1.494,L
2018-10-28 16:44,1.780,H
2018-10-29 00:42,-0.250,L
2018-10-29 09:25,1.893,H
2018-10-29 13:23,1.580,L
2018-10-29 17:11,1.735,H
2018-10-30 01:34,-0.213,L
2018-10-30 10:27,1.931,H
2018-10-30 14:42,1.593,L
2018-10-30 17:38,1.646,H
2018-10-31 02:30,-0.123,L
2018-10-31 11:21,1.959,H
