Date Time, Prediction, Type
2018-10-01 01:43,-0.064,L
2018-10-01 09:39,2.020,H
2018-10-01 14:23,1.601,L
2018-10-01 19:26,1.964,H
2018-10-02 02:43,-0.071,L
2018-10-02 11:04,2.067,H
2018-10-02 15:49,1.654,L
2018-10-02 20:24,1.889,H
2018-10-03 03:48,-0.055,L
2018-10-03 12:14,2.143,H
2018-10-03 17:17,1.587,L
2018-10-03 21:41,1.828,H
2018-10-04 04:56,-0.031,L
2018-10-04 13:06,2.212,H
2018-10-04 18:23,1.420,L
2018-10-04 23:07,1.813,H
2018-10-05 06:00,0.008,L
2018-10-05 13:46,2.264,H
2018-10-05 19:12,1.191,L
2018-10-06 00:31,1.862,H
2018-10-06 06:58,0.079,L
2018-10-06 14:21,2.297,H
2018-10-06 19:55,0.924,L
2018-10-07 01:45,1.949,H
2018-10-07 07:50,0.200,L
2018-10-07 14:53,2.313,H
2018-10-07 20:35,0.649,L
2018-10-08 02:50,2.041,H
2018-10-08 08:37,0.372,L
2018-10-08 15:22,2.313,H
2018-10-08 21:15,0.392,L
2018-10-09 03:50,2.114,H
2018-10-09 09:23,0.589,L
2018-10-09 15:51,2.296,H
2018-10-09 21:55,0.177,L
2018-10-10 04:47,2.163,H
2018-10-10 10:08,0.832,L
2018-10-10 16:20,2.256,H
2018-10-10 22:35,0.025,L
2018-10-11 05:44,2.189,H
2018-10-11 10:55,1.077,L
2018-10-11 16:49,2.192,H
2018-10-11 23:16,-0.055,L
2018-10-12 06:42,2.196,H
2018-10-12 11:46,1.305,L
2018-10-12 17:19,2.104,H
2018-10-12 23:59,-0.064,L
2018-10-13 07:43,2.189,H
2018-10-13 12:44,1.492,L
2018-10-13 17:51,1.995,H
2018-10-14 00:43,-0.009,L
2018-10-14 08:50,2.179,H
2018-10-14 14:00,1.617,L
2018-10-14 18:27,1.871,H
2018-10-15 01:32,0.093,L
2018-10-15 10:03,2.174,H
2018-10-15 16:04,1.639,L
2018-10-15 19:09,1.742,H
2018-10-16 02:26,0.219,L
2018-10-16 11:13,2.184,H
2018-10-16 17:49,1.553,L
2018-10-16 20:07,1.620,H
2018-10-17 03:27,0.342,L
2018-10-17 12:10,2.195,H
2018-10-17 18:46,1.427,L
2018-10-17 21:23,1.530,H
2018-10-18 04:31,0.441,L
2018-10-18 12:53,2.197,H
2018-10-18 19:21,1.289,L
2018-10-18 22:52,1.507,H
2018-10-19 05:33,0.513,L
2018-10-19 13:25,2.189,H
2018-10-19 19:45,1.140,L
2018-10-20 00:16,1.560,H
2018-10-20 06:26,0.574,L
2018-10-20 13:48,2.180,H
2018-10-20 20:02,0.973,L
2018-10-21 01:23,1.662,H
2018-10-21 07:12,0.642,L
2018-10-21 14:07,2.179,H
2018-10-21 20:18,0.779,L
2018-10-22 02:18,1.783,H
2018-10-22 07:53,0.731,L
2018-10-22 14:26,2.189,H
2018-10-22 20:40,0.559,L
2018-10-23 03:07,1.906,H
2018-10-23 08:32,0.847,L
2018-10-23 14:48,2.205,H
2018-10-23 21:06,0.324,L
2018-10-24 03:54,2.025,H
2018-10-24 09:10,0.989,L
2018-10-24 15:13,2.217,H
2018-10-24 21:37,0.094,L
2018-10-25 04:41,2.130,H
2018-10-25 09:49,1.150,L
2018-10-25 15:40,2.216,H
2018-10-25 22:12,-0.108,L
2018-10-26 05:31,2.215,H
2018-10-26 10:32,1.321,L
2018-10-26 16:09,2.197,H
2018-10-26 22:51,-0.262,L
2018-10-27 06:24,2.272,H
2018-10-27 11:18,1.484,L
2018-10-27 16:40,2.158,H
2018-10-27 23:34,-0.348,L
2018-10-28 07:20,2.303,H
2018-10-28 12:11,1.623,L
2018-10-28 17:14,2.094,H
2018-10-29 00:21,-0.356,L
2018-10-29 08:22,2.313,H
2018-10-29 13:15,1.712,L
2018-10-29 17:55,2.000,H
2018-10-30 01:14,-0.290,L
2018-10-30 09:27,2.316,H
2018-10-30 14:38,1.722,L
2018-10-30 18:50,1.874,H
2018-10-31 02:13,-0.164,L
2018-10-31 10:32,2.326,H
2018-10-31 16:24,1.613,L
2018-10-31 20:07,1.734,H
