Date Time, Prediction, Type
2018-11-01 03:43,0.002,L
2018-11-01 12:21,2.611,H
2018-11-01 18:13,1.459,L
2018-11-01 22:33,1.811,H
2018-11-02 04:51,0.191,L
2018-11-02 13:09,2.631,H
2018-11-02 19:00,1.172,L
2018-11-03 00:16,1.797,H
2018-11-03 05:56,0.388,L
2018-11-03 13:48,2.647,H
2018-11-03 19:39,0.855,L
2018-11-04 01:50,1.909,H
2018-11-04 06:56,0.594,L
2018-11-04 14:23,2.652,H
2018-11-04 20:14,0.535,L
2018-11-05 03:06,2.087,H
2018-11-05 07:51,0.813,L
2018-11-05 14:53,2.644,H
2018-11-05 20:49,0.239,L
2018-11-06 04:10,2.272,H
2018-11-06 08:41,1.040,L
2018-11-06 15:21,2.621,H
2018-11-06 21:24,-0.006,L
2018-11-07 05:06,2.430,H
2018-11-07 09:29,1.260,L
2018-11-07 15:49,2.576,H
2018-11-07 21:59,-0.185,L
2018-11-08 05:58,2.552,H
2018-11-08 10:17,1.462,L
2018-11-08 16:16,2.511,H
2018-11-08 22:35,-0.285,L
2018-11-09 06:48,2.632,H
2018-11-09 11:06,1.630,L
2018-11-09 16:43,2.422,H
2018-11-09 23:12,-0.309,L
2018-11-10 07:37,2.673,H
2018-11-10 12:01,1.755,L
2018-11-10 17:13,2.311,H
2018-11-10 23:51,-0.263,L
2018-11-11 08:27,2.679,H
2018-11-11 13:06,1.828,L
2018-11-11 17:45,2.180,H
2018-11-12 00:32,-0.158,L
2018-11-12 09:18,2.661,H
2018-11-12 14:41,1.833,L
2018-11-12 18:21,2.034,H
2018-11-13 01:16,-0.009,L
2018-11-13 10:10,2.628,H
2018-11-13 17:01,1.735,L
2018-11-13 19:07,1.875,H
2018-11-14 02:04,0.167,L
2018-11-14 11:01,2.593,H
2018-11-14 18:09,1.582,L
2018-11-14 20:11,1.716,H
2018-11-15 02:57,0.356,L
2018-11-15 11:47,2.563,H
2018-11-15 18:49,1.409,L
2018-11-15 21:34,1.585,H
2018-11-16 03:56,0.542,L
2018-11-16 12:24,2.538,H
2018-11-16 19:16,1.220,L
2018-11-16 23:10,1.530,H
2018-11-17 04:56,0.716,L
2018-11-17 12:54,2.524,H
2018-11-17 19:35,1.012,L
2018-11-18 00:53,1.593,H
2018-11-18 05:54,0.879,L
2018-11-18 13:20,2.523,H
2018-11-18 19:50,0.776,L
2018-11-19 02:17,1.757,H
2018-11-19 06:47,1.038,L
2018-11-19 13:45,2.534,H
2018-11-19 20:08,0.510,L
2018-11-20 03:18,1.965,H
2018-11-20 07:35,1.196,L
2018-11-20 14:11,2.554,H
2018-11-20 20:32,0.223,L
2018-11-21 04:08,2.181,H
2018-11-21 08:21,1.355,L
2018-11-21 14:38,2.575,H
2018-11-21 21:02,-0.063,L
2018-11-22 04:55,2.382,H
2018-11-22 09:05,1.509,L
2018-11-22 15:07,2.591,H
2018-11-22 21:35,-0.321,L
2018-11-23 05:41,2.554,H
2018-11-23 09:50,1.650,L
2018-11-23 15:37,2.591,H
2018-11-23 22:13,-0.521,L
2018-11-24 06:29,2.685,H
2018-11-24 10:38,1.769,L
2018-11-24 16:10,2.565,H
2018-11-24 22:54,-0.638,L
2018-11-25 07:17,2.769,H
2018-11-25 11:29,1.854,L
2018-11-25 16:47,2.501,H
2018-11-25 23:39,-0.660,L
2018-11-26 08:08,2.810,H
2018-11-26 12:28,1.889,L
2018-11-26 17:31,2.388,H
2018-11-27 00:27,-0.581,L
2018-11-27 09:00,2.818,H
2018-11-27 13:39,1.857,L
2018-11-27 18:25,2.223,H
2018-11-28 01:19,-0.407,L
2018-11-28 09:53,2.808,H
2018-11-28 15:08,1.732,L
2018-11-28 19:34,2.013,H
2018-11-29 02:14,-0.155,L
2018-11-29 10:44,2.791,H
2018-11-29 16:51,1.494,L
2018-11-29 21:00,1.798,H
2018-11-30 03:14,0.151,L
2018-11-30 11:32,2.775,H
2018-11-30 17:59,1.179,L
2018-11-30 22:43,1.656,H
