Date Time, Prediction, Type
2018-10-01 02:09,-0.067,L
2018-10-01 10:31,2.249,H
2018-10-01 14:49,1.673,L
2018-10-01 20:18,2.187,H
2018-10-02 03:09,-0.075,L
2018-10-02 11:56,2.302,H
2018-10-02 16:15,1.730,L
2018-10-02 21:16,2.104,H
2018-10-03 04:14,-0.058,L
2018-10-03 13:06,2.386,H
2018-10-03 17:43,1.659,L
2018-10-03 22:33,2.035,H
2018-10-04 05:22,-0.032,L
2018-10-04 13:58,2.464,H
2018-10-04 18:49,1.485,L
2018-10-04 23:59,2.019,H
2018-10-05 06:26,0.008,L
2018-10-05 14:38,2.522,H
2018-10-05 19:38,1.245,L
2018-10-06 01:23,2.074,H
2018-10-06 07:24,0.083,L
2018-10-06 15:13,2.558,H
2018-10-06 20:21,0.966,L
2018-10-07 02:37,2.171,H
2018-10-07 08:16,0.209,L
2018-10-07 15:45,2.575,H
2018-10-07 21:01,0.678,L
2018-10-08 03:42,2.273,H
2018-10-08 09:03,0.389,L
2018-10-08 16:14,2.575,H
2018-10-08 21:41,0.409,L
2018-10-09 04:42,2.354,H
2018-10-09 09:49,0.615,L
2018-10-09 16:43,2.557,H
2018-10-09 22:21,0.185,L
2018-10-10 05:39,2.409,H
2018-10-10 10:34,0.869,L
2018-10-10 17:12,2.513,H
2018-10-10 23:01,0.026,L
2018-10-11 06:36,2.438,H
2018-10-11 11:21,1.126,L
2018-10-11 17:41,2.441,H
2018-10-11 23:42,-0.058,L
2018-10-12 07:34,2.446,H
2018-10-12 12:12,1.364,L
2018-10-12 18:11,2.343,H
2018-10-13 00:25,-0.067,L
2018-10-13 08:35,2.438,H
2018-10-13 13:10,1.560,L
2018-10-13 18:43,2.222,H
2018-10-14 01:09,-0.009,L
2018-10-14 09:42,2.426,H
2018-10-14 14:26,1.690,L
2018-10-14 19:19,2.083,H
2018-10-15 01:58,0.098,L
2018-10-15 10:55,2.422,H
2018-10-15 16:30,1.714,L
2018-10-15 20:01,1.939,H
2018-10-16 02:52,0.229,L
2018-10-16 12:05,2.432,H
2018-10-16 18:15,1.624,L
2018-10-16 20:59,1.804,H
2018-10-17 03:53,0.358,L
2018-10-17 13:02,2.444,H
2018-10-17 19:12,1.492,L
2018-10-17 22:15,1.704,H
2018-10-18 04:57,0.461,L
2018-10-18 13:45,2.447,H
2018-10-18 19:47,1.348,L
2018-10-18 23:44,1.678,H
2018-10-19 05:59,0.536,L
2018-10-19 14:17,2.438,H
2018-10-19 20:11,1.192,L
2018-10-20 01:08,1.738,H
2018-10-20 06:52,0.600,L
2018-10-20 14:40,2.427,H
2018-10-20 20:28,1.018,L
2018-10-21 02:15,1.851,H
2018-10-21 07:38,0.671,L
2018-10-21 14:59,2.426,H
2018-10-21 20:44,0.814,L
2018-10-22 03:10,1.985,H
2018-10-22 08:19,0.765,L
2018-10-22 15:18,2.438,H
2018-10-22 21:06,0.584,L
2018-10-23 03:59,2.123,H
2018-10-23 08:58,0.886,L
2018-10-23 15:40,2.456,H
2018-10-23 21:32,0.339,L
2018-10-24 04:46,2.255,H
2018-10-24 09:36,1.034,L
2018-10-24 16:05,2.469,H
2018-10-24 22:03,0.098,L
2018-10-25 05:33,2.372,H
2018-10-25 10:15,1.202,L
2018-10-25 16:32,2.468,H
2018-10-25 22:38,-0.113,L
2018-10-26 06:23,2.467,H
2018-10-26 10:58,1.381,L
2018-10-26 17:01,2.447,H
2018-10-26 23:17,-0.274,L
2018-10-27 07:16,2.530,H
2018-10-27 11:44,1.551,L
2018-10-27 17:32,2.403,H
2018-10-28 00:00,-0.363,L
2018-10-28 08:12,2.565,H
2018-10-28 12:37,1.696,L
2018-10-28 18:06,2.331,H
2018-10-29 00:47,-0.373,L
2018-10-29 09:14,2.575,H
2018-10-29 13:41,1.790,L
2018-10-29 18:47,2.228,H
2018-10-30 01:40,-0.304,L
2018-10-30 10:19,2.579,H
2018-10-30 15:04,1.800,L
2018-10-30 19:42,2.087,H
2018-10-31 02:39,-0.171,L
2018-10-31 11:24,2.590,H
2018-10-31 16:50,1.686,L
2018-10-31 20:59,1.931,H
