Date Time, Prediction, Type
2019-10-01 06:30,2.303,H
2019-10-01 11:52,1.044,L
2019-10-01 17:57,2.403,H
2019-10-02 00:23,-0.117,L
2019-10-02 07:37,2.286,H
2019-10-02 12:45,1.389,L
2019-10-02 18:31,2.319,H
2019-10-03 01:12,-0.160,L
2019-10-03 08:51,2.268,H
2019-10-03 13:47,1.680,L
2019-10-03 19:08,2.199,H
2019-10-04 02:05,-0.107,L
2019-10-04 10:13,2.271,H
2019-10-04 15:10,1.874,L
2019-10-04 19:50,2.053,H
2019-10-05 03:02,0.012,L
2019-10-05 11:36,2.307,H
2019-10-05 17:20,1.907,L
2019-10-05 20:41,1.897,H
2019-10-06 04:05,0.159,L
2019-10-06 12:46,2.355,H
2019-10-06 19:00,1.792,L
2019-10-06 21:49,1.762,H
2019-10-07 05:12,0.292,L
2019-10-07 13:39,2.385,H
2019-10-07 19:56,1.632,L
2019-10-07 23:16,1.689,H
2019-10-08 06:17,0.394,L
2019-10-08 14:21,2.384,H
2019-10-08 20:32,1.465,L
2019-10-09 00:44,1.703,H
2019-10-09 07:13,0.473,L
2019-10-09 14:54,2.356,H
2019-10-09 20:57,1.295,L
2019-10-10 01:55,1.775,H
2019-10-10 08:00,0.555,L
2019-10-10 15:18,2.316,H
2019-10-10 21:15,1.115,L
2019-10-11 02:49,1.865,H
2019-10-11 08:40,0.654,L
2019-10-11 15:36,2.281,H
2019-10-11 21:33,0.917,L
2019-10-12 03:35,1.952,H
2019-10-12 09:16,0.780,L
2019-10-12 15:50,2.265,H
2019-10-12 21:55,0.704,L
2019-10-13 04:19,2.034,H
2019-10-13 09:51,0.936,L
2019-10-13 16:07,2.263,H
2019-10-13 22:20,0.488,L
2019-10-14 05:02,2.107,H
2019-10-14 10:26,1.118,L
2019-10-14 16:28,2.259,H
2019-10-14 22:49,0.284,L
2019-10-15 05:46,2.173,H
2019-10-15 11:03,1.319,L
2019-10-15 16:52,2.242,H
2019-10-15 23:21,0.106,L
2019-10-16 06:34,2.226,H
2019-10-16 11:42,1.527,L
2019-10-16 17:17,2.205,H
2019-10-16 23:57,-0.032,L
2019-10-17 07:25,2.263,H
2019-10-17 12:25,1.727,L
2019-10-17 17:43,2.153,H
2019-10-18 00:36,-0.119,L
2019-10-18 08:21,2.281,H
2019-10-18 13:16,1.903,L
2019-10-18 18:09,2.092,H
2019-10-19 01:21,-0.152,L
2019-10-19 09:25,2.291,H
2019-10-19 14:19,2.031,L
2019-10-19 18:33,2.023,H
2019-10-20 02:13,-0.133,L
2019-10-20 10:37,2.305,H
2019-10-20 15:46,2.072,L
2019-10-20 19:05,1.939,H
2019-10-21 03:12,-0.074,L
2019-10-21 11:46,2.339,H
2019-10-21 17:36,1.982,L
2019-10-21 20:32,1.838,H
2019-10-22 04:17,0.006,L
2019-10-22 12:40,2.380,H
2019-10-22 18:36,1.781,L
2019-10-22 22:15,1.766,H
2019-10-23 05:24,0.097,L
2019-10-23 13:22,2.417,H
2019-10-23 19:13,1.494,L
2019-10-23 23:53,1.776,H
2019-10-24 06:27,0.210,L
2019-10-24 13:57,2.451,H
2019-10-24 19:49,1.136,L
2019-10-25 01:21,1.877,H
2019-10-25 07:24,0.366,L
2019-10-25 14:28,2.482,H
2019-10-25 20:27,0.735,L
2019-10-26 02:38,2.030,H
2019-10-26 08:17,0.578,L
2019-10-26 14:58,2.508,H
2019-10-26 21:06,0.333,L
2019-10-27 03:45,2.193,H
2019-10-27 09:06,0.841,L
2019-10-27 15:27,2.522,H
2019-10-27 21:46,-0.027,L
2019-10-28 04:47,2.337,H
2019-10-28 09:55,1.134,L
2019-10-28 15:57,2.513,H
2019-10-28 22:27,-0.299,L
2019-10-29 05:46,2.446,H
2019-10-29 10:44,1.426,L
2019-10-29 16:28,2.469,H
2019-10-29 23:09,-0.458,L
2019-10-30 06:45,2.516,H
2019-10-30 11:36,1.688,L
2019-10-30 17:00,2.385,H
2019-10-30 23:52,-0.494,L
2019-10-31 07:44,2.547,H
2019-10-31 12:36,1.893,L
2019-10-31 17:34,2.262,H
