Date Time, Prediction, Type
2019-10-01 06:46,2.352,H
2019-10-01 12:15,0.973,L
2019-10-01 18:13,2.455,H
2019-10-02 00:46,-0.109,L
2019-10-02 07:53,2.335,H
2019-10-02 13:08,1.294,L
2019-10-02 18:47,2.369,H
2019-10-03 01:35,-0.149,L
2019-10-03 09:07,2.317,H
2019-10-03 14:10,1.565,L
2019-10-03 19:24,2.247,H
2019-10-04 02:28,-0.100,L
2019-10-04 10:29,2.320,H
2019-10-04 15:33,1.745,L
2019-10-04 20:06,2.097,H
2019-10-05 03:25,0.011,L
2019-10-05 11:52,2.357,H
2019-10-05 17:43,1.777,L
2019-10-05 20:57,1.938,H
2019-10-06 04:28,0.148,L
2019-10-06 13:02,2.405,H
2019-10-06 19:23,1.669,L
2019-10-06 22:05,1.800,H
2019-10-07 05:35,0.272,L
2019-10-07 13:55,2.436,H
2019-10-07 20:19,1.520,L
2019-10-07 23:32,1.725,H
2019-10-08 06:40,0.367,L
2019-10-08 14:37,2.435,H
2019-10-08 20:55,1.364,L
2019-10-09 01:00,1.739,H
2019-10-09 07:36,0.441,L
2019-10-09 15:10,2.406,H
2019-10-09 21:20,1.207,L
2019-10-10 02:11,1.814,H
2019-10-10 08:23,0.517,L
2019-10-10 15:34,2.366,H
2019-10-10 21:38,1.038,L
2019-10-11 03:05,1.905,H
2019-10-11 09:03,0.609,L
2019-10-11 15:52,2.330,H
2019-10-11 21:56,0.854,L
2019-10-12 03:51,1.994,H
2019-10-12 09:39,0.727,L
2019-10-12 16:06,2.313,H
2019-10-12 22:18,0.656,L
2019-10-13 04:35,2.078,H
2019-10-13 10:14,0.872,L
2019-10-13 16:23,2.311,H
2019-10-13 22:43,0.454,L
2019-10-14 05:18,2.153,H
2019-10-14 10:49,1.041,L
2019-10-14 16:44,2.308,H
2019-10-14 23:12,0.264,L
2019-10-15 06:02,2.220,H
2019-10-15 11:26,1.228,L
2019-10-15 17:08,2.290,H
2019-10-15 23:44,0.099,L
2019-10-16 06:50,2.274,H
2019-10-16 12:05,1.422,L
2019-10-16 17:33,2.252,H
2019-10-17 00:20,-0.029,L
2019-10-17 07:41,2.311,H
2019-10-17 12:48,1.608,L
2019-10-17 17:59,2.199,H
2019-10-18 00:59,-0.111,L
2019-10-18 08:37,2.330,H
2019-10-18 13:39,1.773,L
2019-10-18 18:25,2.137,H
2019-10-19 01:44,-0.142,L
2019-10-19 09:41,2.340,H
2019-10-19 14:42,1.891,L
2019-10-19 18:49,2.066,H
2019-10-20 02:36,-0.124,L
2019-10-20 10:53,2.355,H
2019-10-20 16:09,1.929,L
2019-10-20 19:21,1.981,H
2019-10-21 03:35,-0.069,L
2019-10-21 12:02,2.389,H
2019-10-21 17:59,1.846,L
2019-10-21 20:48,1.877,H
2019-10-22 04:40,0.006,L
2019-10-22 12:56,2.431,H
2019-10-22 18:59,1.659,L
2019-10-22 22:31,1.804,H
2019-10-23 05:47,0.090,L
2019-10-23 13:38,2.469,H
2019-10-23 19:36,1.392,L
2019-10-24 00:09,1.814,H
2019-10-24 06:50,0.196,L
2019-10-24 14:13,2.503,H
2019-10-24 20:12,1.058,L
2019-10-25 01:37,1.917,H
2019-10-25 07:47,0.341,L
2019-10-25 14:44,2.536,H
2019-10-25 20:50,0.685,L
2019-10-26 02:54,2.074,H
2019-10-26 08:40,0.539,L
2019-10-26 15:14,2.562,H
2019-10-26 21:29,0.310,L
2019-10-27 04:01,2.240,H
2019-10-27 09:29,0.784,L
2019-10-27 15:43,2.576,H
2019-10-27 22:09,-0.025,L
2019-10-28 05:03,2.387,H
2019-10-28 10:18,1.056,L
2019-10-28 16:13,2.567,H
2019-10-28 22:50,-0.278,L
2019-10-29 06:02,2.499,H
2019-10-29 11:07,1.328,L
2019-10-29 16:44,2.522,H
2019-10-29 23:32,-0.427,L
2019-10-30 07:01,2.570,H
2019-10-30 11:59,1.572,L
2019-10-30 17:16,2.436,H
2019-10-31 00:15,-0.460,L
2019-10-31 08:00,2.602,H
2019-10-31 12:59,1.763,L
2019-10-31 17:50,2.310,H
