Date Time, Prediction, Type
2019-11-01 01:42,-0.409,L
2019-11-01 09:29,2.769,H
2019-11-01 14:54,1.977,L
2019-11-01 18:55,2.294,H
2019-11-02 02:30,-0.246,L
2019-11-02 10:34,2.750,H
2019-11-02 17:00,1.979,L
2019-11-02 19:38,2.105,H
2019-11-03 03:22,-0.028,L
2019-11-03 11:39,2.724,H
2019-11-03 19:02,1.831,L
2019-11-03 20:34,1.910,H
2019-11-04 04:19,0.209,L
2019-11-04 12:37,2.698,H
2019-11-04 20:03,1.632,L
2019-11-04 21:53,1.740,H
2019-11-05 05:22,0.435,L
2019-11-05 13:25,2.667,H
2019-11-05 20:42,1.423,L
2019-11-05 23:33,1.647,H
2019-11-06 06:26,0.632,L
2019-11-06 14:02,2.628,H
2019-11-06 21:10,1.209,L
2019-11-07 01:22,1.683,H
2019-11-07 07:26,0.804,L
2019-11-07 14:29,2.588,H
2019-11-07 21:31,0.989,L
2019-11-08 02:45,1.817,H
2019-11-08 08:18,0.967,L
2019-11-08 14:48,2.558,H
2019-11-08 21:48,0.759,L
2019-11-09 03:44,1.983,H
2019-11-09 09:04,1.133,L
2019-11-09 15:05,2.546,H
2019-11-09 22:06,0.517,L
2019-11-10 04:33,2.153,H
2019-11-10 09:45,1.305,L
2019-11-10 15:23,2.549,H
2019-11-10 22:28,0.270,L
2019-11-11 05:17,2.314,H
2019-11-11 10:25,1.481,L
2019-11-11 15:45,2.552,H
2019-11-11 22:53,0.035,L
2019-11-12 05:58,2.460,H
2019-11-12 11:04,1.652,L
2019-11-12 16:08,2.544,H
2019-11-12 23:23,-0.173,L
2019-11-13 06:41,2.584,H
2019-11-13 11:45,1.812,L
2019-11-13 16:34,2.519,H
2019-11-13 23:56,-0.335,L
2019-11-14 07:25,2.679,H
2019-11-14 12:28,1.951,L
2019-11-14 16:59,2.476,H
2019-11-15 00:33,-0.438,L
2019-11-15 08:12,2.740,H
2019-11-15 13:17,2.060,L
2019-11-15 17:23,2.415,H
2019-11-16 01:15,-0.472,L
2019-11-16 09:02,2.770,H
2019-11-16 14:14,2.125,L
2019-11-16 17:44,2.333,H
2019-11-17 02:00,-0.431,L
2019-11-17 09:55,2.776,H
2019-11-17 15:26,2.122,L
2019-11-17 17:57,2.217,H
2019-11-18 02:51,-0.317,L
2019-11-18 10:50,2.773,H
2019-11-18 17:09,2.013,L
2019-11-18 19:03,2.048,H
2019-11-19 03:47,-0.135,L
2019-11-19 11:41,2.771,H
2019-11-19 18:58,1.777,L
2019-11-19 21:16,1.863,H
2019-11-20 04:48,0.099,L
2019-11-20 12:27,2.775,H
2019-11-20 19:30,1.458,L
2019-11-20 23:04,1.744,H
2019-11-21 05:53,0.368,L
2019-11-21 13:07,2.786,H
2019-11-21 20:05,1.073,L
2019-11-22 00:55,1.770,H
2019-11-22 06:57,0.658,L
2019-11-22 13:43,2.802,H
2019-11-22 20:41,0.651,L
2019-11-23 02:35,1.955,H
2019-11-23 07:58,0.955,L
2019-11-23 14:16,2.819,H
2019-11-23 21:17,0.232,L
2019-11-24 03:52,2.215,H
2019-11-24 08:55,1.248,L
2019-11-24 14:47,2.827,H
2019-11-24 21:55,-0.140,L
2019-11-25 04:55,2.473,H
2019-11-25 09:49,1.521,L
2019-11-25 15:18,2.816,H
2019-11-25 22:33,-0.427,L
2019-11-26 05:51,2.687,H
2019-11-26 10:42,1.754,L
2019-11-26 15:49,2.774,H
2019-11-26 23:11,-0.605,L
2019-11-27 06:43,2.839,H
2019-11-27 11:36,1.936,L
2019-11-27 16:22,2.696,H
2019-11-27 23:51,-0.666,L
2019-11-28 07:33,2.924,H
2019-11-28 12:32,2.056,L
2019-11-28 16:55,2.580,H
2019-11-29 00:32,-0.619,L
2019-11-29 08:23,2.951,H
2019-11-29 13:35,2.111,L
2019-11-29 17:31,2.430,H
2019-11-30 01:15,-0.483,L
2019-11-30 09:12,2.934,H
2019-11-30 14:56,2.093,L
2019-11-30 18:11,2.253,H
