Date Time, Prediction, Type
2019-10-01 00:40,0.029,L
2019-10-01 07:13,2.506,H
2019-10-01 12:57,1.024,L
2019-10-01 18:40,2.614,H
2019-10-02 01:28,-0.115,L
2019-10-02 08:20,2.488,H
2019-10-02 13:50,1.362,L
2019-10-02 19:14,2.524,H
2019-10-03 02:17,-0.157,L
2019-10-03 09:34,2.469,H
2019-10-03 14:52,1.647,L
2019-10-03 19:51,2.395,H
2019-10-04 03:10,-0.105,L
2019-10-04 10:56,2.472,H
2019-10-04 16:15,1.837,L
2019-10-04 20:33,2.237,H
2019-10-05 04:07,0.012,L
2019-10-05 12:19,2.511,H
2019-10-05 18:25,1.870,L
2019-10-05 21:24,2.070,H
2019-10-06 05:10,0.156,L
2019-10-06 13:29,2.562,H
2019-10-06 20:05,1.757,L
2019-10-06 22:32,1.925,H
2019-10-07 06:17,0.286,L
2019-10-07 14:22,2.594,H
2019-10-07 21:01,1.600,L
2019-10-07 23:59,1.846,H
2019-10-08 07:22,0.386,L
2019-10-08 15:04,2.593,H
2019-10-08 21:37,1.436,L
2019-10-09 01:27,1.861,H
2019-10-09 08:18,0.464,L
2019-10-09 15:37,2.563,H
2019-10-09 22:02,1.270,L
2019-10-10 02:38,1.939,H
2019-10-10 09:05,0.544,L
2019-10-10 16:01,2.520,H
2019-10-10 22:20,1.093,L
2019-10-11 03:32,2.035,H
2019-10-11 09:45,0.641,L
2019-10-11 16:19,2.483,H
2019-10-11 22:38,0.899,L
2019-10-12 04:18,2.129,H
2019-10-12 10:21,0.765,L
2019-10-12 16:33,2.465,H
2019-10-12 23:00,0.690,L
2019-10-13 05:02,2.217,H
2019-10-13 10:56,0.918,L
2019-10-13 16:50,2.463,H
2019-10-13 23:25,0.478,L
2019-10-14 05:45,2.296,H
2019-10-14 11:31,1.096,L
2019-10-14 17:11,2.459,H
2019-10-14 23:54,0.278,L
2019-10-15 06:29,2.367,H
2019-10-15 12:08,1.293,L
2019-10-15 17:35,2.441,H
2019-10-16 00:26,0.104,L
2019-10-16 07:17,2.424,H
2019-10-16 12:47,1.497,L
2019-10-16 18:00,2.401,H
2019-10-17 01:02,-0.031,L
2019-10-17 08:08,2.463,H
2019-10-17 13:30,1.693,L
2019-10-17 18:26,2.345,H
2019-10-18 01:41,-0.117,L
2019-10-18 09:04,2.483,H
2019-10-18 14:21,1.866,L
2019-10-18 18:52,2.279,H
2019-10-19 02:26,-0.149,L
2019-10-19 10:08,2.493,H
2019-10-19 15:24,1.991,L
2019-10-19 19:16,2.205,H
2019-10-20 03:18,-0.130,L
2019-10-20 11:20,2.509,H
2019-10-20 16:51,2.031,L
2019-10-20 19:48,2.115,H
2019-10-21 04:17,-0.073,L
2019-10-21 12:29,2.545,H
2019-10-21 18:41,1.943,L
2019-10-21 21:15,2.006,H
2019-10-22 05:22,0.006,L
2019-10-22 13:23,2.589,H
2019-10-22 19:41,1.746,L
2019-10-22 22:58,1.929,H
2019-10-23 06:29,0.095,L
2019-10-23 14:05,2.629,H
2019-10-23 20:18,1.465,L
2019-10-24 00:36,1.940,H
2019-10-24 07:32,0.206,L
2019-10-24 14:40,2.665,H
2019-10-24 20:54,1.114,L
2019-10-25 02:04,2.048,H
2019-10-25 08:29,0.359,L
2019-10-25 15:11,2.699,H
2019-10-25 21:32,0.721,L
2019-10-26 03:21,2.213,H
2019-10-26 09:22,0.567,L
2019-10-26 15:41,2.727,H
2019-10-26 22:11,0.326,L
2019-10-27 04:28,2.388,H
2019-10-27 10:11,0.825,L
2019-10-27 16:10,2.742,H
2019-10-27 22:51,-0.026,L
2019-10-28 05:30,2.543,H
2019-10-28 11:00,1.112,L
2019-10-28 16:40,2.732,H
2019-10-28 23:32,-0.293,L
2019-10-29 06:29,2.660,H
2019-10-29 11:49,1.398,L
2019-10-29 17:11,2.685,H
2019-10-30 00:14,-0.449,L
2019-10-30 07:28,2.735,H
2019-10-30 12:41,1.655,L
2019-10-30 17:43,2.594,H
2019-10-31 00:57,-0.484,L
2019-10-31 08:27,2.769,H
2019-10-31 13:41,1.856,L
2019-10-31 18:17,2.462,H
