Date Time, Prediction, Type
2019-11-01 01:19,-0.339,L
2019-11-01 09:28,2.690,H
2019-11-01 14:43,2.018,L
2019-11-01 17:55,2.181,H
2019-11-02 02:04,-0.195,L
2019-11-02 10:28,2.662,H
2019-11-03 02:52,-0.008,L
2019-11-03 11:26,2.626,H
2019-11-04 03:42,0.195,L
2019-11-04 12:17,2.588,H
2019-11-05 04:36,0.400,L
2019-11-05 12:59,2.550,H
2019-11-05 20:29,1.471,L
2019-11-05 22:43,1.491,H
2019-11-06 05:33,0.596,L
2019-11-06 13:34,2.509,H
2019-11-06 20:32,1.251,L
2019-11-07 00:59,1.521,H
2019-11-07 06:33,0.778,L
2019-11-07 14:02,2.470,H
2019-11-07 20:51,1.012,L
2019-11-08 02:17,1.649,H
2019-11-08 07:28,0.950,L
2019-11-08 14:26,2.436,H
2019-11-08 21:13,0.764,L
2019-11-09 03:19,1.816,H
2019-11-09 08:19,1.122,L
2019-11-09 14:47,2.407,H
2019-11-09 21:37,0.519,L
2019-11-10 04:15,2.000,H
2019-11-10 09:05,1.297,L
2019-11-10 15:06,2.385,H
2019-11-10 22:03,0.289,L
2019-11-11 05:05,2.183,H
2019-11-11 09:50,1.473,L
2019-11-11 15:22,2.367,H
2019-11-11 22:30,0.085,L
2019-11-12 05:52,2.351,H
2019-11-12 10:35,1.646,L
2019-11-12 15:38,2.353,H
2019-11-12 22:59,-0.086,L
2019-11-13 06:38,2.493,H
2019-11-13 11:21,1.808,L
2019-11-13 15:56,2.341,H
2019-11-13 23:31,-0.217,L
2019-11-14 07:25,2.602,H
2019-11-14 12:08,1.955,L
2019-11-14 16:16,2.325,H
2019-11-15 00:05,-0.304,L
2019-11-15 08:15,2.680,H
2019-11-15 13:01,2.073,L
2019-11-15 16:39,2.297,H
2019-11-16 00:43,-0.339,L
2019-11-16 09:07,2.730,H
2019-11-16 14:08,2.142,L
2019-11-16 17:03,2.244,H
2019-11-17 01:26,-0.313,L
2019-11-17 10:00,2.758,H
2019-11-18 02:13,-0.220,L
2019-11-18 10:50,2.767,H
2019-11-19 03:05,-0.055,L
2019-11-19 11:36,2.760,H
2019-11-20 04:02,0.178,L
2019-11-20 12:16,2.741,H
2019-11-20 19:11,1.419,L
2019-11-20 22:25,1.552,H
2019-11-21 05:03,0.468,L
2019-11-21 12:51,2.717,H
2019-11-21 19:43,1.032,L
2019-11-22 00:54,1.620,H
2019-11-22 06:11,0.788,L
2019-11-22 13:23,2.694,H
2019-11-22 20:18,0.612,L
2019-11-23 02:28,1.854,H
2019-11-23 07:19,1.108,L
2019-11-23 13:52,2.676,H
2019-11-23 20:55,0.205,L
2019-11-24 03:44,2.137,H
2019-11-24 08:25,1.407,L
2019-11-24 14:20,2.660,H
2019-11-24 21:33,-0.149,L
2019-11-25 04:49,2.411,H
2019-11-25 09:27,1.670,L
2019-11-25 14:48,2.638,H
2019-11-25 22:12,-0.413,L
2019-11-26 05:46,2.635,H
2019-11-26 10:27,1.883,L
2019-11-26 15:16,2.598,H
2019-11-26 22:52,-0.568,L
2019-11-27 06:39,2.788,H
2019-11-27 11:26,2.038,L
2019-11-27 15:44,2.534,H
2019-11-27 23:31,-0.613,L
2019-11-28 07:30,2.868,H
2019-11-28 12:26,2.134,L
2019-11-28 16:11,2.441,H
2019-11-29 00:10,-0.559,L
2019-11-29 08:20,2.889,H
2019-11-29 13:33,2.167,L
2019-11-29 16:37,2.321,H
2019-11-30 00:49,-0.428,L
2019-11-30 09:09,2.867,H
2019-11-30 14:57,2.129,L
2019-11-30 17:00,2.175,H
