Date Time, Prediction, Type
2019-11-01 00:57,-0.345,L
2019-11-01 09:18,2.498,H
2019-11-01 14:24,1.944,L
2019-11-01 17:29,2.085,H
2019-11-02 01:43,-0.212,L
2019-11-02 10:18,2.489,H
2019-11-03 02:32,-0.037,L
2019-11-03 11:15,2.472,H
2019-11-04 03:22,0.157,L
2019-11-04 12:05,2.453,H
2019-11-05 04:13,0.356,L
2019-11-05 12:46,2.429,H
2019-11-06 05:08,0.551,L
2019-11-06 13:20,2.399,H
2019-11-06 20:10,1.218,L
2019-11-07 00:38,1.432,H
2019-11-07 06:07,0.735,L
2019-11-07 13:46,2.364,H
2019-11-07 20:31,0.991,L
2019-11-08 01:58,1.552,H
2019-11-08 07:03,0.906,L
2019-11-08 14:08,2.328,H
2019-11-08 20:54,0.755,L
2019-11-09 03:01,1.702,H
2019-11-09 07:52,1.074,L
2019-11-09 14:24,2.297,H
2019-11-09 21:18,0.518,L
2019-11-10 03:59,1.866,H
2019-11-10 08:37,1.244,L
2019-11-10 14:36,2.274,H
2019-11-10 21:42,0.292,L
2019-11-11 04:51,2.030,H
2019-11-11 09:22,1.414,L
2019-11-11 14:49,2.261,H
2019-11-11 22:09,0.089,L
2019-11-12 05:39,2.183,H
2019-11-12 10:07,1.580,L
2019-11-12 15:07,2.250,H
2019-11-12 22:38,-0.083,L
2019-11-13 06:26,2.312,H
2019-11-13 10:53,1.738,L
2019-11-13 15:28,2.239,H
2019-11-13 23:10,-0.216,L
2019-11-14 07:14,2.414,H
2019-11-14 11:40,1.883,L
2019-11-14 15:52,2.223,H
2019-11-14 23:44,-0.303,L
2019-11-15 08:06,2.493,H
2019-11-15 12:32,2.004,L
2019-11-15 16:16,2.198,H
2019-11-16 00:22,-0.336,L
2019-11-16 09:01,2.553,H
2019-11-16 13:43,2.080,L
2019-11-16 16:40,2.152,H
2019-11-17 01:05,-0.308,L
2019-11-17 09:54,2.596,H
2019-11-18 01:53,-0.214,L
2019-11-18 10:43,2.619,H
2019-11-19 02:46,-0.054,L
2019-11-19 11:27,2.624,H
2019-11-20 03:41,0.169,L
2019-11-20 12:04,2.614,H
2019-11-20 19:00,1.403,L
2019-11-20 21:41,1.504,H
2019-11-21 04:40,0.449,L
2019-11-21 12:36,2.595,H
2019-11-21 19:28,1.037,L
2019-11-22 00:28,1.524,H
2019-11-22 05:44,0.761,L
2019-11-22 13:03,2.576,H
2019-11-22 20:01,0.635,L
2019-11-23 02:10,1.737,H
2019-11-23 06:52,1.072,L
2019-11-23 13:28,2.561,H
2019-11-23 20:36,0.239,L
2019-11-24 03:27,1.995,H
2019-11-24 07:56,1.362,L
2019-11-24 13:52,2.550,H
2019-11-24 21:13,-0.108,L
2019-11-25 04:34,2.247,H
2019-11-25 08:57,1.619,L
2019-11-25 14:16,2.534,H
2019-11-25 21:52,-0.371,L
2019-11-26 05:33,2.456,H
2019-11-26 09:57,1.829,L
2019-11-26 14:43,2.502,H
2019-11-26 22:31,-0.531,L
2019-11-27 06:26,2.601,H
2019-11-27 10:57,1.983,L
2019-11-27 15:11,2.445,H
2019-11-27 23:10,-0.583,L
2019-11-28 07:17,2.681,H
2019-11-28 11:58,2.080,L
2019-11-28 15:41,2.361,H
2019-11-28 23:48,-0.538,L
2019-11-29 08:08,2.709,H
2019-11-29 13:09,2.119,L
2019-11-29 16:10,2.251,H
2019-11-30 00:27,-0.413,L
2019-11-30 08:59,2.704,H
2019-11-30 14:47,2.083,L
2019-11-30 16:37,2.117,H
