Date Time, Prediction, Type
2019-10-01 06:35,2.076,H
2019-10-01 11:41,1.099,L
2019-10-01 17:38,2.156,H
2019-10-02 00:17,-0.035,L
2019-10-02 07:52,2.074,H
2019-10-02 12:34,1.392,L
2019-10-02 18:06,2.109,H
2019-10-03 01:07,-0.123,L
2019-10-03 09:13,2.085,H
2019-10-03 13:38,1.625,L
2019-10-03 18:37,2.031,H
2019-10-04 01:59,-0.120,L
2019-10-04 10:35,2.116,H
2019-10-04 15:19,1.768,L
2019-10-04 19:12,1.926,H
2019-10-05 02:55,-0.044,L
2019-10-05 11:51,2.158,H
2019-10-05 17:46,1.758,L
2019-10-05 19:54,1.800,H
2019-10-06 03:56,0.069,L
2019-10-06 12:54,2.195,H
2019-10-07 05:02,0.183,L
2019-10-07 13:44,2.214,H
2019-10-07 20:00,1.508,L
2019-10-07 22:26,1.576,H
2019-10-08 06:06,0.279,L
2019-10-08 14:24,2.209,H
2019-10-08 20:33,1.371,L
2019-10-09 00:08,1.548,H
2019-10-09 07:03,0.363,L
2019-10-09 14:57,2.184,H
2019-10-09 21:00,1.232,L
2019-10-10 01:37,1.585,H
2019-10-10 07:50,0.454,L
2019-10-10 15:22,2.144,H
2019-10-10 21:21,1.086,L
2019-10-11 02:42,1.650,H
2019-10-11 08:31,0.568,L
2019-10-11 15:40,2.100,H
2019-10-11 21:38,0.923,L
2019-10-12 03:35,1.721,H
2019-10-12 09:08,0.710,L
2019-10-12 15:51,2.066,H
2019-10-12 21:55,0.739,L
2019-10-13 04:24,1.791,H
2019-10-13 09:43,0.880,L
2019-10-13 16:00,2.050,H
2019-10-13 22:16,0.541,L
2019-10-14 05:12,1.859,H
2019-10-14 10:18,1.069,L
2019-10-14 16:15,2.043,H
2019-10-14 22:42,0.344,L
2019-10-15 06:01,1.925,H
2019-10-15 10:54,1.265,L
2019-10-15 16:36,2.034,H
2019-10-15 23:12,0.166,L
2019-10-16 06:54,1.986,H
2019-10-16 11:32,1.456,L
2019-10-16 16:58,2.017,H
2019-10-16 23:48,0.022,L
2019-10-17 07:51,2.041,H
2019-10-17 12:15,1.630,L
2019-10-17 17:22,1.992,H
2019-10-18 00:27,-0.076,L
2019-10-18 08:55,2.091,H
2019-10-18 13:06,1.777,L
2019-10-18 17:42,1.964,H
2019-10-19 01:11,-0.124,L
2019-10-19 10:05,2.141,H
2019-10-19 14:15,1.884,L
2019-10-19 17:49,1.931,H
2019-10-20 02:01,-0.121,L
2019-10-20 11:13,2.194,H
2019-10-21 02:57,-0.075,L
2019-10-21 12:11,2.243,H
2019-10-22 04:00,0.004,L
2019-10-22 12:57,2.278,H
2019-10-22 19:21,1.659,L
2019-10-22 21:38,1.710,H
2019-10-23 05:07,0.106,L
2019-10-23 13:34,2.292,H
2019-10-23 19:31,1.442,L
2019-10-23 23:20,1.689,H
2019-10-24 06:12,0.236,L
2019-10-24 14:04,2.290,H
2019-10-24 19:54,1.149,L
2019-10-25 00:58,1.744,H
2019-10-25 07:11,0.410,L
2019-10-25 14:30,2.279,H
2019-10-25 20:25,0.801,L
2019-10-26 02:29,1.863,H
2019-10-26 08:04,0.636,L
2019-10-26 14:52,2.270,H
2019-10-26 21:01,0.436,L
2019-10-27 03:45,2.009,H
2019-10-27 08:55,0.904,L
2019-10-27 15:14,2.264,H
2019-10-27 21:38,0.098,L
2019-10-28 04:53,2.147,H
2019-10-28 09:44,1.190,L
2019-10-28 15:36,2.257,H
2019-10-28 22:19,-0.173,L
2019-10-29 05:57,2.256,H
2019-10-29 10:34,1.460,L
2019-10-29 16:01,2.237,H
2019-10-29 23:00,-0.347,L
2019-10-30 07:00,2.331,H
2019-10-30 11:29,1.686,L
2019-10-30 16:28,2.190,H
2019-10-30 23:43,-0.412,L
2019-10-31 08:03,2.373,H
2019-10-31 12:35,1.846,L
2019-10-31 16:56,2.110,H
