Date Time, Prediction, Type
2019-10-01 06:07,2.003,H
2019-10-01 11:22,1.073,L
2019-10-01 17:00,2.145,H
2019-10-02 00:04,-0.026,L
2019-10-02 07:26,1.982,H
2019-10-02 12:10,1.352,L
2019-10-02 17:29,2.104,H
2019-10-03 00:55,-0.086,L
2019-10-03 08:54,1.981,H
2019-10-03 13:05,1.576,L
2019-10-03 17:59,2.036,H
2019-10-04 01:49,-0.074,L
2019-10-04 10:21,2.011,H
2019-10-04 14:14,1.725,L
2019-10-04 18:31,1.943,H
2019-10-05 02:44,-0.011,L
2019-10-05 11:36,2.061,H
2019-10-05 16:06,1.777,L
2019-10-05 19:10,1.830,H
2019-10-06 03:42,0.078,L
2019-10-06 12:32,2.103,H
2019-10-07 04:43,0.172,L
2019-10-07 13:16,2.121,H
2019-10-07 19:25,1.552,L
2019-10-07 21:36,1.610,H
2019-10-08 05:42,0.258,L
2019-10-08 13:52,2.118,H
2019-10-08 19:56,1.402,L
2019-10-08 23:13,1.571,H
2019-10-09 06:35,0.340,L
2019-10-09 14:21,2.098,H
2019-10-09 20:22,1.239,L
2019-10-10 00:36,1.594,H
2019-10-10 07:20,0.430,L
2019-10-10 14:44,2.071,H
2019-10-10 20:44,1.063,L
2019-10-11 01:42,1.642,H
2019-10-11 08:00,0.539,L
2019-10-11 14:59,2.043,H
2019-10-11 21:05,0.875,L
2019-10-12 02:41,1.698,H
2019-10-12 08:37,0.670,L
2019-10-12 15:10,2.024,H
2019-10-12 21:29,0.685,L
2019-10-13 03:36,1.755,H
2019-10-13 09:13,0.822,L
2019-10-13 15:21,2.015,H
2019-10-13 21:57,0.503,L
2019-10-14 04:28,1.810,H
2019-10-14 09:50,0.993,L
2019-10-14 15:37,2.009,H
2019-10-14 22:27,0.339,L
2019-10-15 05:18,1.860,H
2019-10-15 10:27,1.177,L
2019-10-15 15:57,1.999,H
2019-10-15 22:59,0.201,L
2019-10-16 06:10,1.902,H
2019-10-16 11:06,1.367,L
2019-10-16 16:18,1.987,H
2019-10-16 23:35,0.092,L
2019-10-17 07:11,1.939,H
2019-10-17 11:49,1.551,L
2019-10-17 16:37,1.974,H
2019-10-18 00:14,0.013,L
2019-10-18 08:27,1.983,H
2019-10-18 12:40,1.716,L
2019-10-18 16:52,1.963,H
2019-10-19 00:59,-0.035,L
2019-10-19 09:52,2.048,H
2019-10-19 13:45,1.836,L
2019-10-19 16:57,1.948,H
2019-10-20 01:50,-0.052,L
2019-10-20 11:06,2.128,H
2019-10-21 02:45,-0.036,L
2019-10-21 11:56,2.197,H
2019-10-22 03:44,0.018,L
2019-10-22 12:32,2.241,H
2019-10-23 04:46,0.111,L
2019-10-23 12:59,2.259,H
2019-10-23 19:04,1.388,L
2019-10-23 22:46,1.615,H
2019-10-24 05:49,0.245,L
2019-10-24 13:22,2.264,H
2019-10-24 19:33,1.072,L
2019-10-25 00:26,1.672,H
2019-10-25 06:48,0.425,L
2019-10-25 13:44,2.268,H
2019-10-25 20:09,0.715,L
2019-10-26 01:53,1.788,H
2019-10-26 07:43,0.649,L
2019-10-26 14:06,2.276,H
2019-10-26 20:47,0.358,L
2019-10-27 03:14,1.926,H
2019-10-27 08:35,0.906,L
2019-10-27 14:31,2.284,H
2019-10-27 21:28,0.040,L
2019-10-28 04:28,2.060,H
2019-10-28 09:25,1.172,L
2019-10-28 14:59,2.284,H
2019-10-28 22:09,-0.200,L
2019-10-29 05:34,2.165,H
2019-10-29 10:15,1.423,L
2019-10-29 15:27,2.264,H
2019-10-29 22:51,-0.342,L
2019-10-30 06:40,2.232,H
2019-10-30 11:05,1.638,L
2019-10-30 15:57,2.216,H
2019-10-30 23:34,-0.379,L
2019-10-31 07:47,2.268,H
2019-10-31 12:01,1.802,L
2019-10-31 16:26,2.137,H
