Date Time, Prediction, Type
2019-10-01 00:04,0.130,L
2019-10-01 07:05,2.150,H
2019-10-01 12:14,1.083,L
2019-10-01 18:09,2.242,H
2019-10-02 00:51,-0.033,L
2019-10-02 08:15,2.169,H
2019-10-02 13:08,1.387,L
2019-10-02 18:36,2.184,H
2019-10-03 01:40,-0.102,L
2019-10-03 09:32,2.195,H
2019-10-03 14:14,1.634,L
2019-10-03 19:04,2.097,H
2019-10-04 02:31,-0.083,L
2019-10-04 10:52,2.234,H
2019-10-04 15:51,1.782,L
2019-10-04 19:34,1.983,H
2019-10-05 03:27,0.001,L
2019-10-05 12:08,2.279,H
2019-10-05 17:47,1.790,L
2019-10-05 20:12,1.851,H
2019-10-06 04:27,0.118,L
2019-10-06 13:14,2.312,H
2019-10-07 05:31,0.238,L
2019-10-07 14:05,2.318,H
2019-10-07 20:15,1.545,L
2019-10-07 22:57,1.622,H
2019-10-08 06:35,0.340,L
2019-10-08 14:45,2.293,H
2019-10-08 20:48,1.395,L
2019-10-09 00:43,1.606,H
2019-10-09 07:32,0.426,L
2019-10-09 15:17,2.245,H
2019-10-09 21:15,1.238,L
2019-10-10 02:03,1.655,H
2019-10-10 08:20,0.516,L
2019-10-10 15:41,2.188,H
2019-10-10 21:39,1.072,L
2019-10-11 03:03,1.727,H
2019-10-11 09:00,0.625,L
2019-10-11 16:00,2.136,H
2019-10-11 22:00,0.893,L
2019-10-12 03:55,1.805,H
2019-10-12 09:35,0.758,L
2019-10-12 16:14,2.099,H
2019-10-12 22:21,0.702,L
2019-10-13 04:45,1.886,H
2019-10-13 10:09,0.915,L
2019-10-13 16:28,2.079,H
2019-10-13 22:45,0.507,L
2019-10-14 05:33,1.969,H
2019-10-14 10:43,1.090,L
2019-10-14 16:42,2.070,H
2019-10-14 23:12,0.320,L
2019-10-15 06:20,2.050,H
2019-10-15 11:20,1.277,L
2019-10-15 16:58,2.064,H
2019-10-15 23:43,0.154,L
2019-10-16 07:09,2.123,H
2019-10-16 12:00,1.464,L
2019-10-16 17:17,2.055,H
2019-10-17 00:17,0.021,L
2019-10-17 08:01,2.179,H
2019-10-17 12:44,1.642,L
2019-10-17 17:37,2.042,H
2019-10-18 00:56,-0.067,L
2019-10-18 09:02,2.220,H
2019-10-18 13:35,1.797,L
2019-10-18 17:58,2.024,H
2019-10-19 01:40,-0.107,L
2019-10-19 10:09,2.253,H
2019-10-19 14:42,1.908,L
2019-10-19 18:16,1.994,H
2019-10-20 02:31,-0.099,L
2019-10-20 11:19,2.286,H
2019-10-21 03:29,-0.054,L
2019-10-21 12:22,2.317,H
2019-10-22 04:32,0.021,L
2019-10-22 13:12,2.341,H
2019-10-22 19:35,1.669,L
2019-10-22 21:53,1.718,H
2019-10-23 05:37,0.121,L
2019-10-23 13:52,2.353,H
2019-10-23 19:57,1.425,L
2019-10-23 23:50,1.677,H
2019-10-24 06:42,0.251,L
2019-10-24 14:24,2.355,H
2019-10-24 20:27,1.111,L
2019-10-25 01:37,1.739,H
2019-10-25 07:42,0.423,L
2019-10-25 14:52,2.354,H
2019-10-25 21:00,0.753,L
2019-10-26 03:03,1.874,H
2019-10-26 08:36,0.644,L
2019-10-26 15:17,2.355,H
2019-10-26 21:36,0.388,L
2019-10-27 04:16,2.035,H
2019-10-27 09:26,0.907,L
2019-10-27 15:42,2.353,H
2019-10-27 22:14,0.058,L
2019-10-28 05:23,2.196,H
2019-10-28 10:16,1.188,L
2019-10-28 16:06,2.343,H
2019-10-28 22:54,-0.199,L
2019-10-29 06:24,2.335,H
2019-10-29 11:09,1.457,L
2019-10-29 16:31,2.312,H
2019-10-29 23:35,-0.358,L
2019-10-30 07:24,2.435,H
2019-10-30 12:06,1.683,L
2019-10-30 16:57,2.252,H
2019-10-31 00:17,-0.408,L
2019-10-31 08:24,2.492,H
2019-10-31 13:12,1.845,L
2019-10-31 17:25,2.159,H
