Date Time, Prediction, Type
2019-11-01 01:04,-0.405,L
2019-11-01 08:59,2.465,H
2019-11-01 14:16,1.957,L
2019-11-01 18:25,2.038,H
2019-11-02 01:52,-0.244,L
2019-11-02 10:04,2.448,H
2019-11-02 16:22,1.959,L
2019-11-02 19:08,1.868,H
2019-11-03 02:44,-0.028,L
2019-11-03 11:09,2.425,H
2019-11-03 18:24,1.813,L
2019-11-03 20:04,1.692,H
2019-11-04 03:41,0.207,L
2019-11-04 12:07,2.401,H
2019-11-04 19:25,1.616,L
2019-11-04 21:23,1.539,H
2019-11-05 04:44,0.431,L
2019-11-05 12:55,2.373,H
2019-11-05 20:04,1.409,L
2019-11-05 23:03,1.455,H
2019-11-06 05:48,0.626,L
2019-11-06 13:32,2.338,H
2019-11-06 20:32,1.197,L
2019-11-07 00:52,1.488,H
2019-11-07 06:48,0.796,L
2019-11-07 13:59,2.302,H
2019-11-07 20:53,0.979,L
2019-11-08 02:15,1.608,H
2019-11-08 07:40,0.957,L
2019-11-08 14:18,2.275,H
2019-11-08 21:10,0.751,L
2019-11-09 03:14,1.758,H
2019-11-09 08:26,1.122,L
2019-11-09 14:35,2.264,H
2019-11-09 21:28,0.512,L
2019-11-10 04:03,1.911,H
2019-11-10 09:07,1.292,L
2019-11-10 14:53,2.267,H
2019-11-10 21:50,0.267,L
2019-11-11 04:47,2.056,H
2019-11-11 09:47,1.466,L
2019-11-11 15:15,2.270,H
2019-11-11 22:15,0.035,L
2019-11-12 05:28,2.187,H
2019-11-12 10:26,1.635,L
2019-11-12 15:38,2.263,H
2019-11-12 22:45,-0.171,L
2019-11-13 06:11,2.299,H
2019-11-13 11:07,1.794,L
2019-11-13 16:04,2.240,H
2019-11-13 23:18,-0.332,L
2019-11-14 06:55,2.384,H
2019-11-14 11:50,1.931,L
2019-11-14 16:29,2.201,H
2019-11-14 23:55,-0.434,L
2019-11-15 07:42,2.439,H
2019-11-15 12:39,2.039,L
2019-11-15 16:53,2.147,H
2019-11-16 00:37,-0.467,L
2019-11-16 08:32,2.466,H
2019-11-16 13:36,2.104,L
2019-11-16 17:14,2.073,H
2019-11-17 01:22,-0.427,L
2019-11-17 09:25,2.471,H
2019-11-17 14:48,2.101,L
2019-11-17 17:27,1.968,H
2019-11-18 02:13,-0.314,L
2019-11-18 10:20,2.469,H
2019-11-18 16:31,1.993,L
2019-11-18 18:33,1.816,H
2019-11-19 03:09,-0.134,L
2019-11-19 11:11,2.467,H
2019-11-19 18:20,1.759,L
2019-11-19 20:46,1.650,H
2019-11-20 04:10,0.098,L
2019-11-20 11:57,2.471,H
2019-11-20 18:52,1.443,L
2019-11-20 22:34,1.543,H
2019-11-21 05:15,0.364,L
2019-11-21 12:37,2.480,H
2019-11-21 19:27,1.062,L
2019-11-22 00:25,1.566,H
2019-11-22 06:19,0.651,L
2019-11-22 13:13,2.495,H
2019-11-22 20:03,0.644,L
2019-11-23 02:05,1.733,H
2019-11-23 07:20,0.945,L
2019-11-23 13:46,2.510,H
2019-11-23 20:39,0.230,L
2019-11-24 03:22,1.967,H
2019-11-24 08:17,1.236,L
2019-11-24 14:17,2.517,H
2019-11-24 21:17,-0.139,L
2019-11-25 04:25,2.199,H
2019-11-25 09:11,1.506,L
2019-11-25 14:48,2.507,H
2019-11-25 21:55,-0.423,L
2019-11-26 05:21,2.391,H
2019-11-26 10:04,1.736,L
2019-11-26 15:19,2.470,H
2019-11-26 22:33,-0.599,L
2019-11-27 06:13,2.528,H
2019-11-27 10:58,1.917,L
2019-11-27 15:52,2.399,H
2019-11-27 23:13,-0.659,L
2019-11-28 07:03,2.605,H
2019-11-28 11:54,2.035,L
2019-11-28 16:25,2.295,H
2019-11-28 23:54,-0.613,L
2019-11-29 07:53,2.629,H
2019-11-29 12:57,2.090,L
2019-11-29 17:01,2.160,H
2019-11-30 00:37,-0.478,L
2019-11-30 08:42,2.614,H
2019-11-30 14:18,2.072,L
2019-11-30 17:41,2.001,H
