Date Time, Prediction, Type
2019-10-01 06:53,2.199,H
2019-10-01 12:09,1.096,L
2019-10-01 17:46,2.227,H
2019-10-02 00:45,-0.046,L
2019-10-02 08:07,2.188,H
2019-10-02 13:01,1.390,L
2019-10-02 18:10,2.165,H
2019-10-03 01:35,-0.105,L
2019-10-03 09:23,2.181,H
2019-10-03 13:59,1.625,L
2019-10-03 18:35,2.085,H
2019-10-04 02:26,-0.086,L
2019-10-04 10:42,2.192,H
2019-10-04 15:13,1.781,L
2019-10-04 19:03,1.988,H
2019-10-05 03:20,-0.011,L
2019-10-05 11:54,2.223,H
2019-10-05 17:14,1.826,L
2019-10-05 19:35,1.873,H
2019-10-06 04:19,0.094,L
2019-10-06 12:54,2.253,H
2019-10-07 05:22,0.198,L
2019-10-07 13:41,2.268,H
2019-10-07 20:00,1.596,L
2019-10-07 22:08,1.637,H
2019-10-08 06:24,0.287,L
2019-10-08 14:19,2.265,H
2019-10-08 20:31,1.440,L
2019-10-09 00:19,1.614,H
2019-10-09 07:17,0.369,L
2019-10-09 14:52,2.250,H
2019-10-09 20:58,1.269,L
2019-10-10 01:39,1.664,H
2019-10-10 08:03,0.458,L
2019-10-10 15:20,2.225,H
2019-10-10 21:23,1.086,L
2019-10-11 02:43,1.737,H
2019-10-11 08:43,0.566,L
2019-10-11 15:44,2.194,H
2019-10-11 21:47,0.893,L
2019-10-12 03:39,1.818,H
2019-10-12 09:21,0.696,L
2019-10-12 16:02,2.159,H
2019-10-12 22:12,0.699,L
2019-10-13 04:29,1.898,H
2019-10-13 09:57,0.849,L
2019-10-13 16:14,2.125,H
2019-10-13 22:37,0.512,L
2019-10-14 05:17,1.970,H
2019-10-14 10:33,1.021,L
2019-10-14 16:25,2.098,H
2019-10-14 23:06,0.344,L
2019-10-15 06:05,2.030,H
2019-10-15 11:09,1.208,L
2019-10-15 16:38,2.078,H
2019-10-15 23:36,0.200,L
2019-10-16 06:56,2.079,H
2019-10-16 11:49,1.400,L
2019-10-16 16:55,2.062,H
2019-10-17 00:10,0.084,L
2019-10-17 07:54,2.121,H
2019-10-17 12:32,1.589,L
2019-10-17 17:14,2.049,H
2019-10-18 00:49,-0.001,L
2019-10-18 08:59,2.167,H
2019-10-18 13:24,1.756,L
2019-10-18 17:34,2.034,H
2019-10-19 01:32,-0.053,L
2019-10-19 10:10,2.225,H
2019-10-19 14:28,1.881,L
2019-10-19 17:52,2.008,H
2019-10-20 02:21,-0.067,L
2019-10-20 11:18,2.297,H
2019-10-20 15:54,1.932,L
2019-10-20 18:03,1.953,H
2019-10-21 03:16,-0.042,L
2019-10-21 12:14,2.367,H
2019-10-22 04:17,0.024,L
2019-10-22 12:57,2.415,H
2019-10-22 19:21,1.663,L
2019-10-22 21:23,1.704,H
2019-10-23 05:23,0.126,L
2019-10-23 13:33,2.437,H
2019-10-23 19:45,1.405,L
2019-10-23 23:30,1.665,H
2019-10-24 06:29,0.262,L
2019-10-24 14:04,2.437,H
2019-10-24 20:16,1.078,L
2019-10-25 01:21,1.759,H
2019-10-25 07:30,0.441,L
2019-10-25 14:32,2.424,H
2019-10-25 20:52,0.711,L
2019-10-26 02:49,1.924,H
2019-10-26 08:28,0.667,L
2019-10-26 14:58,2.406,H
2019-10-26 21:30,0.343,L
2019-10-27 04:03,2.108,H
2019-10-27 09:22,0.926,L
2019-10-27 15:23,2.387,H
2019-10-27 22:09,0.017,L
2019-10-28 05:09,2.272,H
2019-10-28 10:14,1.197,L
2019-10-28 15:47,2.361,H
2019-10-28 22:49,-0.229,L
2019-10-29 06:10,2.391,H
2019-10-29 11:05,1.456,L
2019-10-29 16:12,2.323,H
2019-10-29 23:30,-0.372,L
2019-10-30 07:12,2.459,H
2019-10-30 11:59,1.678,L
2019-10-30 16:38,2.264,H
2019-10-31 00:13,-0.407,L
2019-10-31 08:14,2.486,H
2019-10-31 13:00,1.845,L
2019-10-31 17:03,2.180,H
