Date Time, Prediction, Type
2019-11-01 00:36,-0.408,L
2019-11-01 09:13,2.557,H
2019-11-01 14:22,1.980,L
2019-11-01 17:38,2.126,H
2019-11-02 01:22,-0.250,L
2019-11-02 10:17,2.556,H
2019-11-02 16:29,1.922,L
2019-11-02 18:14,1.954,H
2019-11-03 02:12,-0.033,L
2019-11-03 11:18,2.536,H
2019-11-04 03:06,0.210,L
2019-11-04 12:11,2.500,H
2019-11-05 04:07,0.448,L
2019-11-05 12:56,2.450,H
2019-11-05 19:34,1.375,L
2019-11-05 22:29,1.474,H
2019-11-06 05:13,0.660,L
2019-11-06 13:30,2.392,H
2019-11-06 20:04,1.179,L
2019-11-07 00:44,1.499,H
2019-11-07 06:18,0.842,L
2019-11-07 13:56,2.336,H
2019-11-07 20:29,0.978,L
2019-11-08 02:10,1.615,H
2019-11-08 07:13,1.008,L
2019-11-08 14:13,2.294,H
2019-11-08 20:49,0.768,L
2019-11-09 03:13,1.762,H
2019-11-09 07:59,1.172,L
2019-11-09 14:23,2.278,H
2019-11-09 21:06,0.542,L
2019-11-10 04:05,1.918,H
2019-11-10 08:39,1.340,L
2019-11-10 14:32,2.286,H
2019-11-10 21:24,0.303,L
2019-11-11 04:52,2.072,H
2019-11-11 09:16,1.509,L
2019-11-11 14:47,2.303,H
2019-11-11 21:46,0.066,L
2019-11-12 05:37,2.216,H
2019-11-12 09:54,1.676,L
2019-11-12 15:07,2.311,H
2019-11-12 22:15,-0.146,L
2019-11-13 06:22,2.342,H
2019-11-13 10:34,1.832,L
2019-11-13 15:29,2.301,H
2019-11-13 22:48,-0.312,L
2019-11-14 07:08,2.442,H
2019-11-14 11:18,1.970,L
2019-11-14 15:51,2.272,H
2019-11-14 23:25,-0.416,L
2019-11-15 07:58,2.511,H
2019-11-15 12:09,2.079,L
2019-11-15 16:09,2.224,H
2019-11-16 00:06,-0.447,L
2019-11-16 08:52,2.549,H
2019-11-16 13:17,2.140,L
2019-11-16 15:35,2.163,H
2019-11-17 00:51,-0.404,L
2019-11-17 09:48,2.565,H
2019-11-18 01:40,-0.288,L
2019-11-18 10:41,2.566,H
2019-11-19 02:33,-0.105,L
2019-11-19 11:28,2.557,H
2019-11-20 03:31,0.134,L
2019-11-20 12:07,2.543,H
2019-11-20 19:07,1.390,L
2019-11-20 21:57,1.503,H
2019-11-21 04:33,0.415,L
2019-11-21 12:38,2.530,H
2019-11-21 19:27,1.039,L
2019-11-22 00:22,1.510,H
2019-11-22 05:38,0.719,L
2019-11-22 13:05,2.528,H
2019-11-22 19:53,0.641,L
2019-11-23 02:12,1.695,H
2019-11-23 06:42,1.027,L
2019-11-23 13:27,2.540,H
2019-11-23 20:23,0.237,L
2019-11-24 03:31,1.954,H
2019-11-24 07:43,1.323,L
2019-11-24 13:48,2.560,H
2019-11-24 20:56,-0.129,L
2019-11-25 04:36,2.215,H
2019-11-25 08:41,1.592,L
2019-11-25 14:11,2.574,H
2019-11-25 21:31,-0.417,L
2019-11-26 05:33,2.439,H
2019-11-26 09:37,1.818,L
2019-11-26 14:37,2.563,H
2019-11-26 22:08,-0.598,L
2019-11-27 06:25,2.603,H
2019-11-27 10:34,1.990,L
2019-11-27 15:06,2.512,H
2019-11-27 22:46,-0.661,L
2019-11-28 07:16,2.701,H
2019-11-28 11:37,2.098,L
2019-11-28 15:38,2.417,H
2019-11-28 23:25,-0.612,L
2019-11-29 08:05,2.738,H
2019-11-29 12:56,2.131,L
2019-11-29 16:12,2.282,H
2019-11-30 00:06,-0.470,L
2019-11-30 08:54,2.728,H
2019-11-30 14:46,2.071,L
2019-11-30 16:48,2.115,H
