Date Time, Prediction, Type
2019-11-01 00:07,-0.371,L
2019-11-01 08:36,2.289,H
2019-11-01 13:11,1.883,L
2019-11-01 17:04,1.997,H
2019-11-02 00:56,-0.238,L
2019-11-02 09:45,2.301,H
2019-11-03 01:47,-0.054,L
2019-11-03 10:47,2.295,H
2019-11-04 02:42,0.151,L
2019-11-04 11:40,2.273,H
2019-11-05 03:39,0.355,L
2019-11-05 12:22,2.234,H
2019-11-05 19:31,1.331,L
2019-11-05 21:34,1.383,H
2019-11-06 04:38,0.546,L
2019-11-06 12:54,2.187,H
2019-11-06 19:54,1.164,L
2019-11-06 23:32,1.368,H
2019-11-07 05:34,0.721,L
2019-11-07 13:14,2.142,H
2019-11-07 20:12,0.990,L
2019-11-08 01:17,1.448,H
2019-11-08 06:25,0.888,L
2019-11-08 13:21,2.117,H
2019-11-08 20:22,0.796,L
2019-11-09 02:25,1.570,H
2019-11-09 07:09,1.051,L
2019-11-09 13:28,2.125,H
2019-11-09 20:31,0.572,L
2019-11-10 03:17,1.705,H
2019-11-10 07:49,1.214,L
2019-11-10 13:44,2.150,H
2019-11-10 20:48,0.330,L
2019-11-11 04:02,1.844,H
2019-11-11 08:26,1.375,L
2019-11-11 14:06,2.174,H
2019-11-11 21:13,0.096,L
2019-11-12 04:45,1.978,H
2019-11-12 09:04,1.530,L
2019-11-12 14:29,2.184,H
2019-11-12 21:44,-0.108,L
2019-11-13 05:27,2.096,H
2019-11-13 09:43,1.676,L
2019-11-13 14:51,2.177,H
2019-11-13 22:19,-0.262,L
2019-11-14 06:12,2.189,H
2019-11-14 10:26,1.807,L
2019-11-14 15:09,2.156,H
2019-11-14 22:58,-0.357,L
2019-11-15 07:02,2.252,H
2019-11-15 11:14,1.913,L
2019-11-15 15:11,2.128,H
2019-11-15 23:40,-0.389,L
2019-11-16 07:57,2.286,H
2019-11-16 12:10,1.983,L
2019-11-16 15:06,2.095,H
2019-11-17 00:27,-0.359,L
2019-11-17 08:56,2.301,H
2019-11-17 13:21,1.996,L
2019-11-17 15:17,2.031,H
2019-11-18 01:16,-0.267,L
2019-11-18 09:52,2.306,H
2019-11-19 02:09,-0.117,L
2019-11-19 10:39,2.304,H
2019-11-20 03:05,0.089,L
2019-11-20 11:14,2.303,H
2019-11-20 18:57,1.390,L
2019-11-20 21:02,1.435,H
2019-11-21 04:03,0.341,L
2019-11-21 11:42,2.312,H
2019-11-21 18:52,1.061,L
2019-11-21 23:06,1.388,H
2019-11-22 05:02,0.626,L
2019-11-22 12:07,2.336,H
2019-11-22 19:14,0.676,L
2019-11-23 01:13,1.504,H
2019-11-23 06:02,0.924,L
2019-11-23 12:33,2.375,H
2019-11-23 19:45,0.281,L
2019-11-24 02:47,1.724,H
2019-11-24 07:01,1.212,L
2019-11-24 13:01,2.416,H
2019-11-24 20:21,-0.078,L
2019-11-25 03:56,1.959,H
2019-11-25 07:57,1.473,L
2019-11-25 13:31,2.441,H
2019-11-25 20:57,-0.362,L
2019-11-26 04:54,2.164,H
2019-11-26 08:51,1.693,L
2019-11-26 14:03,2.433,H
2019-11-26 21:36,-0.542,L
2019-11-27 05:47,2.317,H
2019-11-27 09:45,1.861,L
2019-11-27 14:35,2.382,H
2019-11-27 22:15,-0.610,L
2019-11-28 06:38,2.411,H
2019-11-28 10:42,1.972,L
2019-11-28 15:08,2.289,H
2019-11-28 22:56,-0.572,L
2019-11-29 07:28,2.453,H
2019-11-29 11:50,2.025,L
2019-11-29 15:40,2.160,H
2019-11-29 23:38,-0.449,L
2019-11-30 08:19,2.454,H
