Date Time, Prediction, Type
2019-10-01 05:44,1.972,H
2019-10-01 11:07,0.982,L
2019-10-01 16:58,2.176,H
2019-10-01 23:49,-0.057,L
2019-10-02 07:03,1.964,H
2019-10-02 11:57,1.294,L
2019-10-02 17:32,2.120,H
2019-10-03 00:41,-0.123,L
2019-10-03 08:34,1.979,H
2019-10-03 12:58,1.553,L
2019-10-03 18:08,2.026,H
2019-10-04 01:36,-0.107,L
2019-10-04 10:09,2.028,H
2019-10-04 14:25,1.727,L
2019-10-04 18:47,1.904,H
2019-10-05 02:33,-0.028,L
2019-10-05 11:30,2.090,H
2019-10-05 17:35,1.728,L
2019-10-05 19:35,1.771,H
2019-10-06 03:35,0.083,L
2019-10-06 12:34,2.131,H
2019-10-06 18:56,1.612,L
2019-10-06 20:42,1.648,H
2019-10-07 04:39,0.197,L
2019-10-07 13:23,2.138,H
2019-10-07 19:43,1.486,L
2019-10-07 22:07,1.571,H
2019-10-08 05:42,0.296,L
2019-10-08 14:02,2.113,H
2019-10-08 20:15,1.364,L
2019-10-08 23:33,1.559,H
2019-10-09 06:38,0.383,L
2019-10-09 14:31,2.068,H
2019-10-09 20:39,1.241,L
2019-10-10 00:47,1.597,H
2019-10-10 07:23,0.472,L
2019-10-10 14:50,2.020,H
2019-10-10 20:52,1.104,L
2019-10-11 01:45,1.654,H
2019-10-11 08:01,0.576,L
2019-10-11 14:57,1.992,H
2019-10-11 21:00,0.936,L
2019-10-12 02:35,1.718,H
2019-10-12 08:34,0.699,L
2019-10-12 15:00,1.996,H
2019-10-12 21:16,0.737,L
2019-10-13 03:21,1.782,H
2019-10-13 09:05,0.844,L
2019-10-13 15:14,2.018,H
2019-10-13 21:41,0.529,L
2019-10-14 04:07,1.846,H
2019-10-14 09:38,1.009,L
2019-10-14 15:34,2.034,H
2019-10-14 22:12,0.333,L
2019-10-15 04:56,1.906,H
2019-10-15 10:12,1.189,L
2019-10-15 15:58,2.031,H
2019-10-15 22:47,0.166,L
2019-10-16 05:47,1.959,H
2019-10-16 10:50,1.375,L
2019-10-16 16:22,2.007,H
2019-10-16 23:26,0.038,L
2019-10-17 06:43,1.999,H
2019-10-17 11:31,1.554,L
2019-10-17 16:41,1.973,H
2019-10-18 00:08,-0.047,L
2019-10-18 07:46,2.025,H
2019-10-18 12:19,1.710,L
2019-10-18 16:43,1.942,H
2019-10-19 00:55,-0.088,L
2019-10-19 09:03,2.047,H
2019-10-19 13:18,1.826,L
2019-10-19 16:17,1.930,H
2019-10-20 01:47,-0.091,L
2019-10-20 10:31,2.077,H
2019-10-21 02:43,-0.062,L
2019-10-21 11:37,2.111,H
2019-10-22 03:44,-0.006,L
2019-10-22 12:21,2.133,H
2019-10-23 04:46,0.076,L
2019-10-23 12:51,2.147,H
2019-10-23 19:02,1.422,L
2019-10-23 22:45,1.607,H
2019-10-24 05:46,0.192,L
2019-10-24 13:14,2.165,H
2019-10-24 19:21,1.116,L
2019-10-25 00:16,1.651,H
2019-10-25 06:42,0.351,L
2019-10-25 13:35,2.199,H
2019-10-25 19:54,0.759,L
2019-10-26 01:39,1.747,H
2019-10-26 07:34,0.559,L
2019-10-26 13:59,2.246,H
2019-10-26 20:32,0.389,L
2019-10-27 02:57,1.870,H
2019-10-27 08:23,0.808,L
2019-10-27 14:26,2.292,H
2019-10-27 21:12,0.052,L
2019-10-28 04:08,1.997,H
2019-10-28 09:10,1.080,L
2019-10-28 14:55,2.316,H
2019-10-28 21:53,-0.212,L
2019-10-29 05:15,2.111,H
2019-10-29 09:59,1.349,L
2019-10-29 15:26,2.302,H
2019-10-29 22:36,-0.374,L
2019-10-30 06:21,2.199,H
2019-10-30 10:50,1.588,L
2019-10-30 15:58,2.242,H
2019-10-30 23:20,-0.424,L
2019-10-31 07:28,2.257,H
2019-10-31 11:49,1.773,L
2019-10-31 16:31,2.137,H
