Date Time, Prediction, Type
2019-10-01 06:23,1.709,H
2019-10-01 11:27,0.893,L
2019-10-01 17:10,1.810,H
2019-10-02 00:10,-0.050,L
2019-10-02 07:41,1.692,H
2019-10-02 12:13,1.127,L
2019-10-02 17:37,1.777,H
2019-10-03 01:00,-0.096,L
2019-10-03 09:03,1.690,H
2019-10-03 13:04,1.318,L
2019-10-03 18:05,1.722,H
2019-10-04 01:53,-0.080,L
2019-10-04 10:23,1.709,H
2019-10-04 14:07,1.450,L
2019-10-04 18:35,1.644,H
2019-10-05 02:48,-0.021,L
2019-10-05 11:35,1.742,H
2019-10-05 15:38,1.507,L
2019-10-05 19:09,1.549,H
2019-10-06 03:46,0.061,L
2019-10-06 12:33,1.773,H
2019-10-07 04:47,0.145,L
2019-10-07 13:19,1.790,H
2019-10-07 19:40,1.319,L
2019-10-07 21:41,1.355,H
2019-10-08 05:48,0.222,L
2019-10-08 13:57,1.790,H
2019-10-08 20:08,1.192,L
2019-10-08 23:31,1.322,H
2019-10-09 06:42,0.291,L
2019-10-09 14:28,1.778,H
2019-10-09 20:31,1.054,L
2019-10-10 01:02,1.349,H
2019-10-10 07:27,0.367,L
2019-10-10 14:55,1.756,H
2019-10-10 20:50,0.904,L
2019-10-11 02:07,1.397,H
2019-10-11 08:05,0.456,L
2019-10-11 15:15,1.730,H
2019-10-11 21:09,0.742,L
2019-10-12 03:03,1.448,H
2019-10-12 08:42,0.564,L
2019-10-12 15:28,1.706,H
2019-10-12 21:32,0.576,L
2019-10-13 03:57,1.498,H
2019-10-13 09:18,0.689,L
2019-10-13 15:36,1.690,H
2019-10-13 22:00,0.417,L
2019-10-14 04:48,1.546,H
2019-10-14 09:54,0.831,L
2019-10-14 15:48,1.683,H
2019-10-14 22:31,0.273,L
2019-10-15 05:37,1.586,H
2019-10-15 10:32,0.983,L
2019-10-15 16:04,1.679,H
2019-10-15 23:04,0.150,L
2019-10-16 06:30,1.619,H
2019-10-16 11:10,1.141,L
2019-10-16 16:23,1.676,H
2019-10-16 23:40,0.053,L
2019-10-17 07:33,1.649,H
2019-10-17 11:52,1.296,L
2019-10-17 16:41,1.676,H
2019-10-18 00:20,-0.016,L
2019-10-18 08:48,1.687,H
2019-10-18 12:40,1.437,L
2019-10-18 16:55,1.676,H
2019-10-19 01:05,-0.056,L
2019-10-19 10:04,1.741,H
2019-10-19 13:39,1.544,L
2019-10-19 17:02,1.670,H
2019-10-20 01:55,-0.067,L
2019-10-20 11:11,1.804,H
2019-10-20 14:52,1.593,L
2019-10-20 17:11,1.640,H
2019-10-21 02:51,-0.049,L
2019-10-21 12:03,1.860,H
2019-10-22 03:50,0.001,L
2019-10-22 12:42,1.895,H
2019-10-23 04:52,0.085,L
2019-10-23 13:13,1.910,H
2019-10-23 19:06,1.188,L
2019-10-23 22:51,1.369,H
2019-10-24 05:54,0.203,L
2019-10-24 13:38,1.913,H
2019-10-24 19:36,0.912,L
2019-10-25 00:41,1.418,H
2019-10-25 06:54,0.357,L
2019-10-25 14:00,1.914,H
2019-10-25 20:12,0.602,L
2019-10-26 02:13,1.527,H
2019-10-26 07:48,0.547,L
2019-10-26 14:21,1.920,H
2019-10-26 20:52,0.293,L
2019-10-27 03:32,1.653,H
2019-10-27 08:40,0.764,L
2019-10-27 14:44,1.929,H
2019-10-27 21:33,0.021,L
2019-10-28 04:42,1.770,H
2019-10-28 09:29,0.989,L
2019-10-28 15:09,1.931,H
2019-10-28 22:15,-0.185,L
2019-10-29 05:46,1.859,H
2019-10-29 10:18,1.199,L
2019-10-29 15:36,1.918,H
2019-10-29 22:57,-0.306,L
2019-10-30 06:49,1.912,H
2019-10-30 11:08,1.380,L
2019-10-30 16:05,1.881,H
2019-10-30 23:40,-0.338,L
2019-10-31 07:54,1.938,H
2019-10-31 12:00,1.518,L
2019-10-31 16:33,1.817,H
