Date Time, Prediction, Type
2019-11-01 00:00,-0.360,L
2019-11-01 08:10,2.410,H
2019-11-01 13:12,1.740,L
2019-11-01 17:36,1.992,H
2019-11-02 00:48,-0.216,L
2019-11-02 09:15,2.394,H
2019-11-02 15:18,1.742,L
2019-11-02 18:19,1.826,H
2019-11-03 01:40,-0.025,L
2019-11-03 10:20,2.371,H
2019-11-03 17:20,1.611,L
2019-11-03 19:15,1.654,H
2019-11-04 02:37,0.184,L
2019-11-04 11:18,2.348,H
2019-11-04 18:21,1.436,L
2019-11-04 20:34,1.505,H
2019-11-05 03:40,0.383,L
2019-11-05 12:06,2.321,H
2019-11-05 19:00,1.252,L
2019-11-05 22:14,1.423,H
2019-11-06 04:44,0.556,L
2019-11-06 12:43,2.286,H
2019-11-06 19:28,1.064,L
2019-11-07 00:03,1.455,H
2019-11-07 05:44,0.708,L
2019-11-07 13:10,2.251,H
2019-11-07 19:49,0.870,L
2019-11-08 01:26,1.573,H
2019-11-08 06:36,0.851,L
2019-11-08 13:29,2.225,H
2019-11-08 20:06,0.668,L
2019-11-09 02:25,1.719,H
2019-11-09 07:22,0.997,L
2019-11-09 13:46,2.214,H
2019-11-09 20:24,0.455,L
2019-11-10 03:14,1.868,H
2019-11-10 08:03,1.148,L
2019-11-10 14:04,2.217,H
2019-11-10 20:46,0.238,L
2019-11-11 03:58,2.010,H
2019-11-11 08:43,1.303,L
2019-11-11 14:26,2.219,H
2019-11-11 21:11,0.031,L
2019-11-12 04:39,2.138,H
2019-11-12 09:22,1.454,L
2019-11-12 14:49,2.212,H
2019-11-12 21:41,-0.152,L
2019-11-13 05:22,2.248,H
2019-11-13 10:03,1.595,L
2019-11-13 15:15,2.190,H
2019-11-13 22:14,-0.295,L
2019-11-14 06:06,2.331,H
2019-11-14 10:46,1.717,L
2019-11-14 15:40,2.152,H
2019-11-14 22:51,-0.385,L
2019-11-15 06:53,2.385,H
2019-11-15 11:35,1.813,L
2019-11-15 16:04,2.099,H
2019-11-15 23:33,-0.415,L
2019-11-16 07:43,2.411,H
2019-11-16 12:32,1.870,L
2019-11-16 16:25,2.027,H
2019-11-17 00:18,-0.379,L
2019-11-17 08:36,2.416,H
2019-11-17 13:44,1.867,L
2019-11-17 16:38,1.925,H
2019-11-18 01:09,-0.279,L
2019-11-18 09:31,2.414,H
2019-11-18 15:27,1.771,L
2019-11-18 17:44,1.776,H
2019-11-19 02:05,-0.119,L
2019-11-19 10:22,2.412,H
2019-11-19 17:16,1.564,L
2019-11-19 19:57,1.613,H
2019-11-20 03:06,0.087,L
2019-11-20 11:08,2.416,H
2019-11-20 17:48,1.283,L
2019-11-20 21:45,1.508,H
2019-11-21 04:11,0.324,L
2019-11-21 11:48,2.425,H
2019-11-21 18:23,0.944,L
2019-11-21 23:36,1.531,H
2019-11-22 05:15,0.579,L
2019-11-22 12:24,2.439,H
2019-11-22 18:59,0.573,L
2019-11-23 01:16,1.694,H
2019-11-23 06:16,0.840,L
2019-11-23 12:57,2.454,H
2019-11-23 19:35,0.204,L
2019-11-24 02:33,1.923,H
2019-11-24 07:13,1.098,L
2019-11-24 13:28,2.461,H
2019-11-24 20:13,-0.123,L
2019-11-25 03:36,2.150,H
2019-11-25 08:07,1.338,L
2019-11-25 13:59,2.452,H
2019-11-25 20:51,-0.376,L
2019-11-26 04:32,2.338,H
2019-11-26 09:00,1.544,L
2019-11-26 14:30,2.415,H
2019-11-26 21:29,-0.532,L
2019-11-27 05:24,2.472,H
2019-11-27 09:54,1.704,L
2019-11-27 15:03,2.346,H
2019-11-27 22:09,-0.586,L
2019-11-28 06:14,2.547,H
2019-11-28 10:50,1.809,L
2019-11-28 15:36,2.244,H
2019-11-28 22:50,-0.545,L
2019-11-29 07:04,2.570,H
2019-11-29 11:53,1.858,L
2019-11-29 16:12,2.112,H
2019-11-29 23:33,-0.425,L
2019-11-30 07:53,2.556,H
2019-11-30 13:14,1.842,L
2019-11-30 16:52,1.956,H
