Date Time, Prediction, Type
2019-10-01 05:54,2.179,H
2019-10-01 11:15,0.901,L
2019-10-01 17:21,2.274,H
2019-10-01 23:46,-0.101,L
2019-10-02 07:01,2.163,H
2019-10-02 12:08,1.199,L
2019-10-02 17:55,2.195,H
2019-10-03 00:35,-0.138,L
2019-10-03 08:15,2.146,H
2019-10-03 13:10,1.449,L
2019-10-03 18:32,2.081,H
2019-10-04 01:28,-0.092,L
2019-10-04 09:37,2.149,H
2019-10-04 14:33,1.617,L
2019-10-04 19:14,1.942,H
2019-10-05 02:25,0.011,L
2019-10-05 11:00,2.183,H
2019-10-05 16:43,1.646,L
2019-10-05 20:05,1.795,H
2019-10-06 03:28,0.137,L
2019-10-06 12:10,2.228,H
2019-10-06 18:23,1.546,L
2019-10-06 21:13,1.668,H
2019-10-07 04:35,0.252,L
2019-10-07 13:03,2.256,H
2019-10-07 19:19,1.408,L
2019-10-07 22:40,1.598,H
2019-10-08 05:40,0.340,L
2019-10-08 13:45,2.255,H
2019-10-08 19:55,1.264,L
2019-10-09 00:08,1.611,H
2019-10-09 06:36,0.408,L
2019-10-09 14:18,2.229,H
2019-10-09 20:20,1.118,L
2019-10-10 01:19,1.680,H
2019-10-10 07:23,0.479,L
2019-10-10 14:42,2.191,H
2019-10-10 20:38,0.962,L
2019-10-11 02:13,1.764,H
2019-10-11 08:03,0.564,L
2019-10-11 15:00,2.159,H
2019-10-11 20:56,0.791,L
2019-10-12 02:59,1.847,H
2019-10-12 08:39,0.673,L
2019-10-12 15:14,2.143,H
2019-10-12 21:18,0.607,L
2019-10-13 03:43,1.925,H
2019-10-13 09:14,0.808,L
2019-10-13 15:31,2.141,H
2019-10-13 21:43,0.421,L
2019-10-14 04:26,1.994,H
2019-10-14 09:49,0.964,L
2019-10-14 15:52,2.138,H
2019-10-14 22:12,0.245,L
2019-10-15 05:10,2.057,H
2019-10-15 10:26,1.138,L
2019-10-15 16:16,2.122,H
2019-10-15 22:44,0.092,L
2019-10-16 05:58,2.107,H
2019-10-16 11:05,1.317,L
2019-10-16 16:41,2.086,H
2019-10-16 23:20,-0.027,L
2019-10-17 06:49,2.141,H
2019-10-17 11:48,1.490,L
2019-10-17 17:07,2.037,H
2019-10-17 23:59,-0.103,L
2019-10-18 07:45,2.159,H
2019-10-18 12:39,1.642,L
2019-10-18 17:33,1.979,H
2019-10-19 00:44,-0.131,L
2019-10-19 08:49,2.167,H
2019-10-19 13:42,1.752,L
2019-10-19 17:57,1.914,H
2019-10-20 01:36,-0.114,L
2019-10-20 10:01,2.182,H
2019-10-20 15:09,1.787,L
2019-10-20 18:29,1.835,H
2019-10-21 02:35,-0.064,L
2019-10-21 11:10,2.213,H
2019-10-21 16:59,1.710,L
2019-10-21 19:56,1.739,H
2019-10-22 03:40,0.005,L
2019-10-22 12:04,2.252,H
2019-10-22 17:59,1.536,L
2019-10-22 21:39,1.671,H
2019-10-23 04:47,0.084,L
2019-10-23 12:46,2.287,H
2019-10-23 18:36,1.289,L
2019-10-23 23:17,1.681,H
2019-10-24 05:50,0.181,L
2019-10-24 13:21,2.319,H
2019-10-24 19:12,0.980,L
2019-10-25 00:45,1.776,H
2019-10-25 06:47,0.316,L
2019-10-25 13:52,2.349,H
2019-10-25 19:50,0.634,L
2019-10-26 02:02,1.921,H
2019-10-26 07:40,0.499,L
2019-10-26 14:22,2.373,H
2019-10-26 20:29,0.287,L
2019-10-27 03:09,2.075,H
2019-10-27 08:29,0.726,L
2019-10-27 14:51,2.387,H
2019-10-27 21:09,-0.023,L
2019-10-28 04:11,2.211,H
2019-10-28 09:18,0.979,L
2019-10-28 15:21,2.378,H
2019-10-28 21:50,-0.258,L
2019-10-29 05:10,2.314,H
2019-10-29 10:07,1.230,L
2019-10-29 15:52,2.336,H
2019-10-29 22:32,-0.395,L
2019-10-30 06:09,2.380,H
2019-10-30 10:59,1.456,L
2019-10-30 16:24,2.256,H
2019-10-30 23:15,-0.426,L
2019-10-31 07:08,2.410,H
2019-10-31 11:59,1.633,L
2019-10-31 16:58,2.140,H
