Date Time, Prediction, Type
2019-11-01 00:26,-0.376,L
2019-11-01 09:02,2.684,H
2019-11-01 13:38,1.819,L
2019-11-01 18:28,2.219,H
2019-11-02 01:14,-0.226,L
2019-11-02 10:07,2.666,H
2019-11-02 15:44,1.821,L
2019-11-02 19:11,2.034,H
2019-11-03 02:06,-0.026,L
2019-11-03 11:12,2.640,H
2019-11-03 17:46,1.685,L
2019-11-03 20:07,1.842,H
2019-11-04 03:03,0.192,L
2019-11-04 12:10,2.615,H
2019-11-04 18:47,1.501,L
2019-11-04 21:26,1.676,H
2019-11-05 04:06,0.400,L
2019-11-05 12:58,2.584,H
2019-11-05 19:26,1.309,L
2019-11-05 23:06,1.585,H
2019-11-06 05:10,0.581,L
2019-11-06 13:35,2.546,H
2019-11-06 19:54,1.112,L
2019-11-07 00:55,1.620,H
2019-11-07 06:10,0.740,L
2019-11-07 14:02,2.507,H
2019-11-07 20:15,0.910,L
2019-11-08 02:18,1.751,H
2019-11-08 07:02,0.890,L
2019-11-08 14:21,2.477,H
2019-11-08 20:32,0.698,L
2019-11-09 03:17,1.914,H
2019-11-09 07:48,1.042,L
2019-11-09 14:38,2.466,H
2019-11-09 20:50,0.476,L
2019-11-10 04:06,2.081,H
2019-11-10 08:29,1.201,L
2019-11-10 14:56,2.469,H
2019-11-10 21:12,0.248,L
2019-11-11 04:50,2.238,H
2019-11-11 09:09,1.363,L
2019-11-11 15:18,2.472,H
2019-11-11 21:37,0.032,L
2019-11-12 05:31,2.381,H
2019-11-12 09:48,1.520,L
2019-11-12 15:41,2.464,H
2019-11-12 22:07,-0.159,L
2019-11-13 06:14,2.503,H
2019-11-13 10:29,1.667,L
2019-11-13 16:07,2.439,H
2019-11-13 22:40,-0.308,L
2019-11-14 06:58,2.596,H
2019-11-14 11:12,1.795,L
2019-11-14 16:32,2.397,H
2019-11-14 23:17,-0.403,L
2019-11-15 07:45,2.656,H
2019-11-15 12:01,1.895,L
2019-11-15 16:56,2.337,H
2019-11-15 23:59,-0.434,L
2019-11-16 08:35,2.685,H
2019-11-16 12:58,1.955,L
2019-11-16 17:17,2.257,H
2019-11-17 00:44,-0.397,L
2019-11-17 09:28,2.691,H
2019-11-17 14:10,1.952,L
2019-11-17 17:30,2.143,H
2019-11-18 01:35,-0.292,L
2019-11-18 10:23,2.688,H
2019-11-18 15:53,1.852,L
2019-11-18 18:36,1.978,H
2019-11-19 02:31,-0.124,L
2019-11-19 11:14,2.686,H
2019-11-19 17:42,1.635,L
2019-11-19 20:49,1.796,H
2019-11-20 03:32,0.091,L
2019-11-20 12:00,2.690,H
2019-11-20 18:14,1.341,L
2019-11-20 22:37,1.680,H
2019-11-21 04:37,0.339,L
2019-11-21 12:40,2.701,H
2019-11-21 18:49,0.987,L
2019-11-22 00:28,1.705,H
2019-11-22 05:41,0.605,L
2019-11-22 13:16,2.717,H
2019-11-22 19:25,0.599,L
2019-11-23 02:08,1.887,H
2019-11-23 06:42,0.879,L
2019-11-23 13:49,2.733,H
2019-11-23 20:01,0.213,L
2019-11-24 03:25,2.141,H
2019-11-24 07:39,1.148,L
2019-11-24 14:20,2.741,H
2019-11-24 20:39,-0.129,L
2019-11-25 04:28,2.394,H
2019-11-25 08:33,1.399,L
2019-11-25 14:51,2.730,H
2019-11-25 21:17,-0.393,L
2019-11-26 05:24,2.604,H
2019-11-26 09:26,1.614,L
2019-11-26 15:22,2.689,H
2019-11-26 21:55,-0.557,L
2019-11-27 06:16,2.753,H
2019-11-27 10:20,1.781,L
2019-11-27 15:55,2.613,H
2019-11-27 22:35,-0.613,L
2019-11-28 07:06,2.836,H
2019-11-28 11:16,1.892,L
2019-11-28 16:28,2.499,H
2019-11-28 23:16,-0.569,L
2019-11-29 07:56,2.863,H
2019-11-29 12:19,1.942,L
2019-11-29 17:04,2.352,H
2019-11-29 23:59,-0.444,L
2019-11-30 08:45,2.846,H
2019-11-30 13:40,1.926,L
2019-11-30 17:44,2.179,H
