Date Time, Prediction, Type
2020-11-01 06:07,2.316,H
2020-11-01 11:02,1.564,L
2020-11-01 16:15,2.309,H
2020-11-01 23:14,-0.079,L
2020-11-02 06:49,2.399,H
2020-11-02 11:43,1.728,L
2020-11-02 16:37,2.267,H
2020-11-02 23:46,-0.176,L
2020-11-03 07:33,2.458,H
2020-11-03 12:29,1.868,L
2020-11-03 16:59,2.206,H
2020-11-04 00:21,-0.220,L
2020-11-04 08:20,2.490,H
2020-11-04 13:22,1.975,L
2020-11-04 17:15,2.135,H
2020-11-05 01:01,-0.217,L
2020-11-05 09:13,2.499,H
2020-11-06 01:45,-0.169,L
2020-11-06 10:10,2.498,H
2020-11-07 02:36,-0.084,L
2020-11-07 11:08,2.498,H
2020-11-08 03:33,0.030,L
2020-11-08 11:58,2.503,H
2020-11-09 04:36,0.168,L
2020-11-09 12:39,2.515,H
2020-11-09 19:30,1.474,L
2020-11-09 22:49,1.629,H
2020-11-10 05:40,0.327,L
2020-11-10 13:12,2.533,H
2020-11-10 19:41,1.146,L
2020-11-11 00:33,1.682,H
2020-11-11 06:41,0.517,L
2020-11-11 13:42,2.560,H
2020-11-11 20:10,0.743,L
2020-11-12 02:04,1.851,H
2020-11-12 07:37,0.744,L
2020-11-12 14:10,2.597,H
2020-11-12 20:44,0.307,L
2020-11-13 03:20,2.082,H
2020-11-13 08:30,1.004,L
2020-11-13 14:39,2.635,H
2020-11-13 21:22,-0.113,L
2020-11-14 04:25,2.321,H
2020-11-14 09:21,1.279,L
2020-11-14 15:09,2.662,H
2020-11-14 22:02,-0.463,L
2020-11-15 05:25,2.525,H
2020-11-15 10:12,1.542,L
2020-11-15 15:40,2.659,H
2020-11-15 22:44,-0.700,L
2020-11-16 06:23,2.673,H
2020-11-16 11:05,1.767,L
2020-11-16 16:14,2.612,H
2020-11-16 23:28,-0.801,L
2020-11-17 07:20,2.759,H
2020-11-17 12:03,1.931,L
2020-11-17 16:51,2.512,H
2020-11-18 00:14,-0.766,L
2020-11-18 08:17,2.785,H
2020-11-18 13:09,2.022,L
2020-11-18 17:31,2.360,H
2020-11-19 01:02,-0.613,L
2020-11-19 09:15,2.769,H
2020-11-19 14:38,2.018,L
2020-11-19 18:18,2.162,H
2020-11-20 01:53,-0.374,L
2020-11-20 10:13,2.729,H
2020-11-20 17:08,1.876,L
2020-11-20 19:16,1.936,H
2020-11-21 02:48,-0.085,L
2020-11-21 11:09,2.682,H
2020-11-21 18:28,1.636,L
2020-11-21 20:33,1.709,H
2020-11-22 03:46,0.222,L
2020-11-22 11:59,2.632,H
2020-11-22 19:18,1.372,L
2020-11-22 22:11,1.536,H
2020-11-23 04:48,0.523,L
2020-11-23 12:40,2.579,H
2020-11-23 19:55,1.105,L
2020-11-24 00:18,1.503,H
2020-11-24 05:51,0.806,L
2020-11-24 13:13,2.526,H
2020-11-24 20:24,0.845,L
2020-11-25 02:06,1.640,H
2020-11-25 06:50,1.066,L
2020-11-25 13:36,2.477,H
2020-11-25 20:46,0.598,L
2020-11-26 03:17,1.844,H
2020-11-26 07:43,1.305,L
2020-11-26 13:54,2.441,H
2020-11-26 21:05,0.362,L
2020-11-27 04:11,2.053,H
2020-11-27 08:32,1.520,L
2020-11-27 14:11,2.422,H
2020-11-27 21:25,0.141,L
2020-11-28 04:58,2.240,H
2020-11-28 09:18,1.707,L
2020-11-28 14:30,2.411,H
2020-11-28 21:49,-0.057,L
2020-11-29 05:38,2.397,H
2020-11-29 10:02,1.861,L
2020-11-29 14:52,2.398,H
2020-11-29 22:16,-0.220,L
2020-11-30 06:16,2.517,H
2020-11-30 10:45,1.980,L
2020-11-30 15:16,2.370,H
2020-11-30 22:46,-0.341,L
