Date Time, Prediction, Type
2020-10-01 04:17,2.026,H
2020-10-01 10:03,0.593,L
2020-10-01 16:45,2.286,H
2020-10-01 22:38,0.690,L
2020-10-02 05:02,2.067,H
2020-10-02 10:38,0.781,L
2020-10-02 17:00,2.262,H
2020-10-02 23:06,0.504,L
2020-10-03 05:46,2.104,H
2020-10-03 11:13,0.991,L
2020-10-03 17:18,2.243,H
2020-10-03 23:36,0.340,L
2020-10-04 06:32,2.137,H
2020-10-04 11:51,1.213,L
2020-10-04 17:40,2.214,H
2020-10-05 00:10,0.210,L
2020-10-05 07:22,2.163,H
2020-10-05 12:32,1.434,L
2020-10-05 18:04,2.166,H
2020-10-06 00:46,0.122,L
2020-10-06 08:16,2.178,H
2020-10-06 13:18,1.638,L
2020-10-06 18:29,2.100,H
2020-10-07 01:25,0.078,L
2020-10-07 09:18,2.186,H
2020-10-07 14:16,1.809,L
2020-10-07 18:53,2.026,H
2020-10-08 02:11,0.073,L
2020-10-08 10:34,2.198,H
2020-10-08 15:39,1.921,L
2020-10-08 19:10,1.953,H
2020-10-09 03:03,0.091,L
2020-10-09 12:01,2.237,H
2020-10-10 04:04,0.112,L
2020-10-10 13:05,2.294,H
2020-10-11 05:10,0.118,L
2020-10-11 13:47,2.341,H
2020-10-11 19:49,1.702,L
2020-10-11 22:52,1.780,H
2020-10-12 06:13,0.114,L
2020-10-12 14:18,2.375,H
2020-10-12 19:55,1.496,L
2020-10-13 00:23,1.827,H
2020-10-13 07:11,0.131,L
2020-10-13 14:45,2.405,H
2020-10-13 20:21,1.205,L
2020-10-14 01:42,1.938,H
2020-10-14 08:03,0.204,L
2020-10-14 15:10,2.439,H
2020-10-14 20:55,0.847,L
2020-10-15 02:53,2.080,H
2020-10-15 08:51,0.354,L
2020-10-15 15:36,2.476,H
2020-10-15 21:32,0.458,L
2020-10-16 03:58,2.223,H
2020-10-16 09:37,0.582,L
2020-10-16 16:04,2.511,H
2020-10-16 22:12,0.083,L
2020-10-17 05:01,2.347,H
2020-10-17 10:23,0.868,L
2020-10-17 16:33,2.530,H
2020-10-17 22:55,-0.231,L
2020-10-18 06:04,2.439,H
2020-10-18 11:11,1.179,L
2020-10-18 17:04,2.518,H
2020-10-18 23:40,-0.441,L
2020-10-19 07:07,2.496,H
2020-10-19 12:03,1.476,L
2020-10-19 17:38,2.465,H
2020-10-20 00:27,-0.526,L
2020-10-20 08:14,2.519,H
2020-10-20 13:01,1.723,L
2020-10-20 18:14,2.361,H
2020-10-21 01:18,-0.486,L
2020-10-21 09:25,2.522,H
2020-10-21 14:15,1.886,L
2020-10-21 18:55,2.211,H
2020-10-22 02:12,-0.343,L
2020-10-22 10:41,2.522,H
2020-10-22 16:13,1.917,L
2020-10-22 19:46,2.027,H
2020-10-23 03:12,-0.135,L
2020-10-23 11:52,2.528,H
2020-10-23 18:29,1.767,L
2020-10-23 20:54,1.834,H
2020-10-24 04:17,0.090,L
2020-10-24 12:51,2.529,H
2020-10-24 19:33,1.549,L
2020-10-24 22:26,1.683,H
2020-10-25 05:27,0.297,L
2020-10-25 13:39,2.514,H
2020-10-25 20:14,1.321,L
2020-10-26 00:14,1.639,H
2020-10-26 06:32,0.477,L
2020-10-26 14:16,2.482,H
2020-10-26 20:45,1.098,L
2020-10-27 01:48,1.711,H
2020-10-27 07:28,0.644,L
2020-10-27 14:45,2.433,H
2020-10-27 21:08,0.881,L
2020-10-28 02:56,1.831,H
2020-10-28 08:15,0.817,L
2020-10-28 15:06,2.381,H
2020-10-28 21:26,0.665,L
2020-10-29 03:51,1.959,H
2020-10-29 08:56,1.000,L
2020-10-29 15:21,2.342,H
2020-10-29 21:45,0.451,L
2020-10-30 04:38,2.080,H
2020-10-30 09:35,1.191,L
2020-10-30 15:35,2.321,H
2020-10-30 22:08,0.246,L
2020-10-31 05:22,2.193,H
2020-10-31 10:12,1.381,L
2020-10-31 15:51,2.307,H
2020-10-31 22:34,0.065,L
