Date Time, Prediction, Type
2020-11-01 06:21,2.433,H
2020-11-01 11:25,1.604,L
2020-11-01 16:27,2.337,H
2020-11-01 23:36,-0.057,L
2020-11-02 07:05,2.536,H
2020-11-02 12:08,1.779,L
2020-11-02 16:41,2.279,H
2020-11-03 00:04,-0.135,L
2020-11-03 07:52,2.607,H
2020-11-03 12:55,1.933,L
2020-11-03 16:51,2.225,H
2020-11-04 00:35,-0.177,L
2020-11-04 08:42,2.651,H
2020-11-04 13:52,2.054,L
2020-11-04 16:57,2.178,H
2020-11-05 01:09,-0.186,L
2020-11-05 09:35,2.682,H
2020-11-06 01:47,-0.161,L
2020-11-06 10:29,2.709,H
2020-11-07 02:32,-0.099,L
2020-11-07 11:21,2.735,H
2020-11-08 03:24,0.008,L
2020-11-08 12:06,2.759,H
2020-11-09 04:22,0.164,L
2020-11-09 12:43,2.774,H
2020-11-09 20:05,1.447,L
2020-11-09 22:35,1.508,H
2020-11-10 05:27,0.369,L
2020-11-10 13:16,2.781,H
2020-11-10 20:10,1.101,L
2020-11-11 00:52,1.609,H
2020-11-11 06:36,0.612,L
2020-11-11 13:46,2.781,H
2020-11-11 20:36,0.681,L
2020-11-12 02:24,1.876,H
2020-11-12 07:42,0.882,L
2020-11-12 14:14,2.777,H
2020-11-12 21:08,0.230,L
2020-11-13 03:38,2.205,H
2020-11-13 08:45,1.172,L
2020-11-13 14:43,2.769,H
2020-11-13 21:44,-0.201,L
2020-11-14 04:45,2.535,H
2020-11-14 09:46,1.466,L
2020-11-14 15:13,2.751,H
2020-11-14 22:24,-0.562,L
2020-11-15 05:45,2.814,H
2020-11-15 10:46,1.736,L
2020-11-15 15:44,2.715,H
2020-11-15 23:05,-0.811,L
2020-11-16 06:42,3.009,H
2020-11-16 11:46,1.959,L
2020-11-16 16:16,2.649,H
2020-11-16 23:48,-0.923,L
2020-11-17 07:40,3.110,H
2020-11-17 12:50,2.114,L
2020-11-17 16:49,2.541,H
2020-11-18 00:33,-0.896,L
2020-11-18 08:38,3.133,H
2020-11-18 14:05,2.179,L
2020-11-18 17:20,2.386,H
2020-11-19 01:19,-0.744,L
2020-11-19 09:35,3.101,H
2020-11-19 15:39,2.129,L
2020-11-19 17:48,2.184,H
2020-11-20 02:07,-0.500,L
2020-11-20 10:30,3.038,H
2020-11-21 02:57,-0.196,L
2020-11-21 11:21,2.961,H
2020-11-22 03:48,0.137,L
2020-11-22 12:06,2.881,H
2020-11-22 19:56,1.369,L
2020-11-22 22:10,1.414,H
2020-11-23 04:42,0.477,L
2020-11-23 12:43,2.803,H
2020-11-23 20:13,1.079,L
2020-11-24 00:29,1.404,H
2020-11-24 05:40,0.805,L
2020-11-24 13:14,2.730,H
2020-11-24 20:35,0.796,L
2020-11-25 02:07,1.568,H
2020-11-25 06:42,1.104,L
2020-11-25 13:40,2.664,H
2020-11-25 20:57,0.527,L
2020-11-26 03:19,1.804,H
2020-11-26 07:42,1.366,L
2020-11-26 14:02,2.607,H
2020-11-26 21:21,0.277,L
2020-11-27 04:17,2.058,H
2020-11-27 08:38,1.591,L
2020-11-27 14:23,2.558,H
2020-11-27 21:45,0.056,L
2020-11-28 05:05,2.300,H
2020-11-28 09:31,1.782,L
2020-11-28 14:42,2.512,H
2020-11-28 22:11,-0.131,L
2020-11-29 05:48,2.510,H
2020-11-29 10:23,1.938,L
2020-11-29 15:01,2.466,H
2020-11-29 22:38,-0.278,L
2020-11-30 06:28,2.678,H
2020-11-30 11:15,2.062,L
2020-11-30 15:19,2.416,H
2020-11-30 23:07,-0.383,L
