Date Time, Prediction, Type
2020-11-01 06:34,2.468,H
2020-11-01 11:44,1.646,L
2020-11-01 16:42,2.460,H
2020-11-01 23:56,-0.083,L
2020-11-02 07:16,2.555,H
2020-11-02 12:25,1.819,L
2020-11-02 17:04,2.416,H
2020-11-03 00:28,-0.185,L
2020-11-03 08:00,2.617,H
2020-11-03 13:11,1.966,L
2020-11-03 17:26,2.352,H
2020-11-04 01:03,-0.232,L
2020-11-04 08:47,2.651,H
2020-11-04 14:04,2.079,L
2020-11-04 17:42,2.277,H
2020-11-05 01:43,-0.228,L
2020-11-05 09:40,2.661,H
2020-11-05 15:13,2.146,L
2020-11-05 16:57,2.207,H
2020-11-06 02:27,-0.178,L
2020-11-06 10:37,2.659,H
2020-11-07 03:18,-0.088,L
2020-11-07 11:35,2.659,H
2020-11-08 04:15,0.032,L
2020-11-08 12:25,2.665,H
2020-11-08 20:59,1.787,L
2020-11-08 21:11,1.818,H
2020-11-09 05:18,0.177,L
2020-11-09 13:06,2.677,H
2020-11-09 20:12,1.552,L
2020-11-09 23:16,1.745,H
2020-11-10 06:22,0.344,L
2020-11-10 13:39,2.696,H
2020-11-10 20:23,1.206,L
2020-11-11 01:00,1.801,H
2020-11-11 07:23,0.544,L
2020-11-11 14:09,2.725,H
2020-11-11 20:52,0.782,L
2020-11-12 02:31,1.978,H
2020-11-12 08:19,0.783,L
2020-11-12 14:37,2.764,H
2020-11-12 21:26,0.323,L
2020-11-13 03:47,2.222,H
2020-11-13 09:12,1.057,L
2020-11-13 15:06,2.804,H
2020-11-13 22:04,-0.119,L
2020-11-14 04:52,2.473,H
2020-11-14 10:03,1.346,L
2020-11-14 15:36,2.832,H
2020-11-14 22:44,-0.487,L
2020-11-15 05:52,2.688,H
2020-11-15 10:54,1.623,L
2020-11-15 16:07,2.829,H
2020-11-15 23:26,-0.737,L
2020-11-16 06:50,2.844,H
2020-11-16 11:47,1.860,L
2020-11-16 16:41,2.779,H
2020-11-17 00:10,-0.843,L
2020-11-17 07:47,2.934,H
2020-11-17 12:45,2.033,L
2020-11-17 17:18,2.674,H
2020-11-18 00:56,-0.806,L
2020-11-18 08:44,2.962,H
2020-11-18 13:51,2.128,L
2020-11-18 17:58,2.514,H
2020-11-19 01:44,-0.645,L
2020-11-19 09:42,2.945,H
2020-11-19 15:20,2.124,L
2020-11-19 18:45,2.306,H
2020-11-20 02:35,-0.394,L
2020-11-20 10:40,2.903,H
2020-11-20 17:50,1.975,L
2020-11-20 19:43,2.068,H
2020-11-21 03:30,-0.090,L
2020-11-21 11:36,2.853,H
2020-11-21 19:10,1.722,L
2020-11-21 21:00,1.829,H
2020-11-22 04:28,0.234,L
2020-11-22 12:26,2.800,H
2020-11-22 20:00,1.444,L
2020-11-22 22:38,1.647,H
2020-11-23 05:30,0.551,L
2020-11-23 13:07,2.745,H
2020-11-23 20:37,1.163,L
2020-11-24 00:45,1.612,H
2020-11-24 06:33,0.848,L
2020-11-24 13:40,2.689,H
2020-11-24 21:06,0.890,L
2020-11-25 02:33,1.756,H
2020-11-25 07:32,1.122,L
2020-11-25 14:03,2.637,H
2020-11-25 21:28,0.629,L
2020-11-26 03:44,1.971,H
2020-11-26 08:25,1.374,L
2020-11-26 14:21,2.599,H
2020-11-26 21:47,0.381,L
2020-11-27 04:38,2.191,H
2020-11-27 09:14,1.600,L
2020-11-27 14:38,2.579,H
2020-11-27 22:07,0.148,L
2020-11-28 05:25,2.388,H
2020-11-28 10:00,1.797,L
2020-11-28 14:57,2.568,H
2020-11-28 22:31,-0.060,L
2020-11-29 06:05,2.553,H
2020-11-29 10:44,1.959,L
2020-11-29 15:19,2.554,H
2020-11-29 22:58,-0.232,L
2020-11-30 06:43,2.680,H
2020-11-30 11:27,2.084,L
2020-11-30 15:43,2.525,H
2020-11-30 23:28,-0.359,L
