Date Time, Prediction, Type
2020-10-01 04:28,1.999,H
2020-10-01 10:26,0.605,L
2020-10-01 17:05,2.320,H
2020-10-01 23:12,0.774,L
2020-10-02 05:19,2.053,H
2020-10-02 11:01,0.801,L
2020-10-02 17:23,2.264,H
2020-10-02 23:39,0.604,L
2020-10-03 06:08,2.102,H
2020-10-03 11:35,1.016,L
2020-10-03 17:38,2.209,H
2020-10-04 00:06,0.460,L
2020-10-04 06:56,2.141,H
2020-10-04 12:11,1.240,L
2020-10-04 17:48,2.163,H
2020-10-05 00:36,0.348,L
2020-10-05 07:49,2.170,H
2020-10-05 12:48,1.461,L
2020-10-05 17:58,2.131,H
2020-10-06 01:10,0.268,L
2020-10-06 08:48,2.192,H
2020-10-06 13:29,1.668,L
2020-10-06 18:10,2.110,H
2020-10-07 01:47,0.217,L
2020-10-07 09:54,2.219,H
2020-10-07 14:20,1.845,L
2020-10-07 18:23,2.093,H
2020-10-08 02:30,0.187,L
2020-10-08 11:06,2.265,H
2020-10-08 15:27,1.974,L
2020-10-08 18:36,2.069,H
2020-10-09 03:20,0.169,L
2020-10-09 12:16,2.335,H
2020-10-10 04:15,0.160,L
2020-10-10 13:11,2.411,H
2020-10-11 05:17,0.157,L
2020-10-11 13:53,2.473,H
2020-10-12 06:22,0.167,L
2020-10-12 14:27,2.511,H
2020-10-12 20:30,1.555,L
2020-10-13 00:17,1.788,H
2020-10-13 07:23,0.212,L
2020-10-13 14:57,2.527,H
2020-10-13 20:58,1.254,L
2020-10-14 01:56,1.900,H
2020-10-14 08:20,0.318,L
2020-10-14 15:24,2.526,H
2020-10-14 21:30,0.893,L
2020-10-15 03:14,2.072,H
2020-10-15 09:13,0.503,L
2020-10-15 15:50,2.516,H
2020-10-15 22:07,0.505,L
2020-10-16 04:25,2.262,H
2020-10-16 10:05,0.762,L
2020-10-16 16:15,2.505,H
2020-10-16 22:46,0.132,L
2020-10-17 05:31,2.438,H
2020-10-17 10:56,1.069,L
2020-10-17 16:41,2.494,H
2020-10-17 23:28,-0.178,L
2020-10-18 06:35,2.572,H
2020-10-18 11:47,1.390,L
2020-10-18 17:06,2.477,H
2020-10-19 00:11,-0.388,L
2020-10-19 07:40,2.652,H
2020-10-19 12:41,1.687,L
2020-10-19 17:32,2.442,H
2020-10-20 00:57,-0.476,L
2020-10-20 08:48,2.683,H
2020-10-20 13:41,1.923,L
2020-10-20 17:58,2.376,H
2020-10-21 01:47,-0.446,L
2020-10-21 09:58,2.684,H
2020-10-21 14:58,2.063,L
2020-10-21 18:24,2.269,H
2020-10-22 02:40,-0.320,L
2020-10-22 11:07,2.670,H
2020-10-22 16:42,2.074,L
2020-10-22 18:48,2.118,H
2020-10-23 03:37,-0.134,L
2020-10-23 12:11,2.648,H
2020-10-24 04:37,0.079,L
2020-10-24 13:03,2.619,H
2020-10-25 05:40,0.291,L
2020-10-25 13:45,2.578,H
2020-10-25 20:33,1.452,L
2020-10-26 00:16,1.608,H
2020-10-26 06:43,0.487,L
2020-10-26 14:19,2.529,H
2020-10-26 20:58,1.199,L
2020-10-27 01:48,1.666,H
2020-10-27 07:39,0.670,L
2020-10-27 14:47,2.476,H
2020-10-27 21:23,0.949,L
2020-10-28 02:57,1.781,H
2020-10-28 08:28,0.853,L
2020-10-28 15:11,2.424,H
2020-10-28 21:48,0.709,L
2020-10-29 03:56,1.921,H
2020-10-29 09:12,1.041,L
2020-10-29 15:32,2.374,H
2020-10-29 22:12,0.488,L
2020-10-30 04:49,2.070,H
2020-10-30 09:54,1.232,L
2020-10-30 15:50,2.329,H
2020-10-30 22:37,0.294,L
2020-10-31 05:37,2.212,H
2020-10-31 10:34,1.421,L
2020-10-31 16:03,2.290,H
2020-10-31 23:03,0.136,L
